period,interval,year,category,registrations,source
2014M01,monthly,2013,BEV,5,pxdata.stat.fi
2014M01,monthly,2013,DIESEL,4975,pxdata.stat.fi
2014M01,monthly,2013,OTHER,55,pxdata.stat.fi
2014M01,monthly,2013,PETROL,7642,pxdata.stat.fi
2014M01,monthly,2013,PHEV,20,pxdata.stat.fi
2014M01,monthly,2013,TOTAL,12697,pxdata.stat.fi
2014M02,monthly,2013.083333,BEV,10,pxdata.stat.fi
2014M02,monthly,2013.083333,DIESEL,3294,pxdata.stat.fi
2014M02,monthly,2013.083333,OTHER,31,pxdata.stat.fi
2014M02,monthly,2013.083333,PETROL,4835,pxdata.stat.fi
2014M02,monthly,2013.083333,PHEV,10,pxdata.stat.fi
2014M02,monthly,2013.083333,TOTAL,8180,pxdata.stat.fi
2014M03,monthly,2013.166667,BEV,10,pxdata.stat.fi
2014M03,monthly,2013.166667,DIESEL,3653,pxdata.stat.fi
2014M03,monthly,2013.166667,OTHER,45,pxdata.stat.fi
2014M03,monthly,2013.166667,PETROL,5881,pxdata.stat.fi
2014M03,monthly,2013.166667,PHEV,37,pxdata.stat.fi
2014M03,monthly,2013.166667,TOTAL,9626,pxdata.stat.fi
2014M04,monthly,2013.25,BEV,21,pxdata.stat.fi
2014M04,monthly,2013.25,DIESEL,3645,pxdata.stat.fi
2014M04,monthly,2013.25,OTHER,51,pxdata.stat.fi
2014M04,monthly,2013.25,PETROL,5574,pxdata.stat.fi
2014M04,monthly,2013.25,PHEV,26,pxdata.stat.fi
2014M04,monthly,2013.25,TOTAL,9317,pxdata.stat.fi
2014M05,monthly,2013.333333,BEV,21,pxdata.stat.fi
2014M05,monthly,2013.333333,DIESEL,3715,pxdata.stat.fi
2014M05,monthly,2013.333333,OTHER,24,pxdata.stat.fi
2014M05,monthly,2013.333333,PETROL,6335,pxdata.stat.fi
2014M05,monthly,2013.333333,PHEV,19,pxdata.stat.fi
2014M05,monthly,2013.333333,TOTAL,10114,pxdata.stat.fi
2014M06,monthly,2013.416667,BEV,8,pxdata.stat.fi
2014M06,monthly,2013.416667,DIESEL,3506,pxdata.stat.fi
2014M06,monthly,2013.416667,OTHER,40,pxdata.stat.fi
2014M06,monthly,2013.416667,PETROL,5635,pxdata.stat.fi
2014M06,monthly,2013.416667,PHEV,20,pxdata.stat.fi
2014M06,monthly,2013.416667,TOTAL,9209,pxdata.stat.fi
2014M07,monthly,2013.5,BEV,12,pxdata.stat.fi
2014M07,monthly,2013.5,DIESEL,3077,pxdata.stat.fi
2014M07,monthly,2013.5,OTHER,37,pxdata.stat.fi
2014M07,monthly,2013.5,PETROL,4873,pxdata.stat.fi
2014M07,monthly,2013.5,PHEV,18,pxdata.stat.fi
2014M07,monthly,2013.5,TOTAL,8017,pxdata.stat.fi
2014M08,monthly,2013.583333,BEV,13,pxdata.stat.fi
2014M08,monthly,2013.583333,DIESEL,2875,pxdata.stat.fi
2014M08,monthly,2013.583333,OTHER,42,pxdata.stat.fi
2014M08,monthly,2013.583333,PETROL,4572,pxdata.stat.fi
2014M08,monthly,2013.583333,PHEV,23,pxdata.stat.fi
2014M08,monthly,2013.583333,TOTAL,7525,pxdata.stat.fi
2014M09,monthly,2013.666667,BEV,22,pxdata.stat.fi
2014M09,monthly,2013.666667,DIESEL,3092,pxdata.stat.fi
2014M09,monthly,2013.666667,OTHER,32,pxdata.stat.fi
2014M09,monthly,2013.666667,PETROL,5239,pxdata.stat.fi
2014M09,monthly,2013.666667,PHEV,17,pxdata.stat.fi
2014M09,monthly,2013.666667,TOTAL,8402,pxdata.stat.fi
2014M10,monthly,2013.75,BEV,33,pxdata.stat.fi
2014M10,monthly,2013.75,DIESEL,3363,pxdata.stat.fi
2014M10,monthly,2013.75,OTHER,35,pxdata.stat.fi
2014M10,monthly,2013.75,PETROL,5384,pxdata.stat.fi
2014M10,monthly,2013.75,PHEV,23,pxdata.stat.fi
2014M10,monthly,2013.75,TOTAL,8838,pxdata.stat.fi
2014M11,monthly,2013.833333,BEV,6,pxdata.stat.fi
2014M11,monthly,2013.833333,DIESEL,2758,pxdata.stat.fi
2014M11,monthly,2013.833333,OTHER,35,pxdata.stat.fi
2014M11,monthly,2013.833333,PETROL,4399,pxdata.stat.fi
2014M11,monthly,2013.833333,PHEV,21,pxdata.stat.fi
2014M11,monthly,2013.833333,TOTAL,7219,pxdata.stat.fi
2014M12,monthly,2013.916667,BEV,22,pxdata.stat.fi
2014M12,monthly,2013.916667,DIESEL,3400,pxdata.stat.fi
2014M12,monthly,2013.916667,OTHER,40,pxdata.stat.fi
2014M12,monthly,2013.916667,PETROL,3601,pxdata.stat.fi
2014M12,monthly,2013.916667,PHEV,29,pxdata.stat.fi
2014M12,monthly,2013.916667,TOTAL,7092,pxdata.stat.fi
2015M01,monthly,2014,BEV,13,pxdata.stat.fi
2015M01,monthly,2014,DIESEL,4311,pxdata.stat.fi
2015M01,monthly,2014,OTHER,52,pxdata.stat.fi
2015M01,monthly,2014,PETROL,5867,pxdata.stat.fi
2015M01,monthly,2014,PHEV,25,pxdata.stat.fi
2015M01,monthly,2014,TOTAL,10268,pxdata.stat.fi
2015M02,monthly,2014.083333,BEV,10,pxdata.stat.fi
2015M02,monthly,2014.083333,DIESEL,3290,pxdata.stat.fi
2015M02,monthly,2014.083333,OTHER,24,pxdata.stat.fi
2015M02,monthly,2014.083333,PETROL,4637,pxdata.stat.fi
2015M02,monthly,2014.083333,PHEV,29,pxdata.stat.fi
2015M02,monthly,2014.083333,TOTAL,7990,pxdata.stat.fi
2015M03,monthly,2014.166667,BEV,42,pxdata.stat.fi
2015M03,monthly,2014.166667,DIESEL,3730,pxdata.stat.fi
2015M03,monthly,2014.166667,OTHER,28,pxdata.stat.fi
2015M03,monthly,2014.166667,PETROL,7272,pxdata.stat.fi
2015M03,monthly,2014.166667,PHEV,26,pxdata.stat.fi
2015M03,monthly,2014.166667,TOTAL,11098,pxdata.stat.fi
2015M04,monthly,2014.25,BEV,18,pxdata.stat.fi
2015M04,monthly,2014.25,DIESEL,3543,pxdata.stat.fi
2015M04,monthly,2014.25,OTHER,20,pxdata.stat.fi
2015M04,monthly,2014.25,PETROL,6011,pxdata.stat.fi
2015M04,monthly,2014.25,PHEV,45,pxdata.stat.fi
2015M04,monthly,2014.25,TOTAL,9637,pxdata.stat.fi
2015M05,monthly,2014.333333,BEV,21,pxdata.stat.fi
2015M05,monthly,2014.333333,DIESEL,3032,pxdata.stat.fi
2015M05,monthly,2014.333333,OTHER,27,pxdata.stat.fi
2015M05,monthly,2014.333333,PETROL,5991,pxdata.stat.fi
2015M05,monthly,2014.333333,PHEV,46,pxdata.stat.fi
2015M05,monthly,2014.333333,TOTAL,9117,pxdata.stat.fi
2015M06,monthly,2014.416667,BEV,20,pxdata.stat.fi
2015M06,monthly,2014.416667,DIESEL,3196,pxdata.stat.fi
2015M06,monthly,2014.416667,OTHER,25,pxdata.stat.fi
2015M06,monthly,2014.416667,PETROL,5702,pxdata.stat.fi
2015M06,monthly,2014.416667,PHEV,37,pxdata.stat.fi
2015M06,monthly,2014.416667,TOTAL,8980,pxdata.stat.fi
2015M07,monthly,2014.5,BEV,34,pxdata.stat.fi
2015M07,monthly,2014.5,DIESEL,2803,pxdata.stat.fi
2015M07,monthly,2014.5,OTHER,16,pxdata.stat.fi
2015M07,monthly,2014.5,PETROL,5840,pxdata.stat.fi
2015M07,monthly,2014.5,PHEV,30,pxdata.stat.fi
2015M07,monthly,2014.5,TOTAL,8723,pxdata.stat.fi
2015M08,monthly,2014.583333,BEV,15,pxdata.stat.fi
2015M08,monthly,2014.583333,DIESEL,2682,pxdata.stat.fi
2015M08,monthly,2014.583333,OTHER,17,pxdata.stat.fi
2015M08,monthly,2014.583333,PETROL,5652,pxdata.stat.fi
2015M08,monthly,2014.583333,PHEV,36,pxdata.stat.fi
2015M08,monthly,2014.583333,TOTAL,8402,pxdata.stat.fi
2015M09,monthly,2014.666667,BEV,33,pxdata.stat.fi
2015M09,monthly,2014.666667,DIESEL,2946,pxdata.stat.fi
2015M09,monthly,2014.666667,OTHER,7,pxdata.stat.fi
2015M09,monthly,2014.666667,PETROL,5493,pxdata.stat.fi
2015M09,monthly,2014.666667,PHEV,36,pxdata.stat.fi
2015M09,monthly,2014.666667,TOTAL,8515,pxdata.stat.fi
2015M10,monthly,2014.75,BEV,16,pxdata.stat.fi
2015M10,monthly,2014.75,DIESEL,3079,pxdata.stat.fi
