period,interval,year,category,registrations,source
2014M01,monthly,2013,BEV,0,pxdata.stat.fi
2014M01,monthly,2013,DIESEL,228,pxdata.stat.fi
2014M01,monthly,2013,HEV,0,pxdata.stat.fi
2014M01,monthly,2013,OTHER,0,pxdata.stat.fi
2014M01,monthly,2013,PETROL,2,pxdata.stat.fi
2014M01,monthly,2013,PHEV,0,pxdata.stat.fi
2014M01,monthly,2013,TOTAL,230,pxdata.stat.fi
2014M02,monthly,2013.083333,BEV,0,pxdata.stat.fi
2014M02,monthly,2013.083333,DIESEL,221,pxdata.stat.fi
2014M02,monthly,2013.083333,HEV,0,pxdata.stat.fi
2014M02,monthly,2013.083333,OTHER,2,pxdata.stat.fi
2014M02,monthly,2013.083333,PETROL,3,pxdata.stat.fi
2014M02,monthly,2013.083333,PHEV,0,pxdata.stat.fi
2014M02,monthly,2013.083333,TOTAL,226,pxdata.stat.fi
2014M03,monthly,2013.166667,BEV,0,pxdata.stat.fi
2014M03,monthly,2013.166667,DIESEL,214,pxdata.stat.fi
2014M03,monthly,2013.166667,HEV,0,pxdata.stat.fi
2014M03,monthly,2013.166667,OTHER,0,pxdata.stat.fi
2014M03,monthly,2013.166667,PETROL,7,pxdata.stat.fi
2014M03,monthly,2013.166667,PHEV,0,pxdata.stat.fi
2014M03,monthly,2013.166667,TOTAL,221,pxdata.stat.fi
2014M04,monthly,2013.25,BEV,0,pxdata.stat.fi
2014M04,monthly,2013.25,DIESEL,192,pxdata.stat.fi
2014M04,monthly,2013.25,HEV,0,pxdata.stat.fi
2014M04,monthly,2013.25,OTHER,0,pxdata.stat.fi
2014M04,monthly,2013.25,PETROL,1,pxdata.stat.fi
2014M04,monthly,2013.25,PHEV,0,pxdata.stat.fi
2014M04,monthly,2013.25,TOTAL,193,pxdata.stat.fi
2014M05,monthly,2013.333333,BEV,0,pxdata.stat.fi
2014M05,monthly,2013.333333,DIESEL,250,pxdata.stat.fi
2014M05,monthly,2013.333333,HEV,0,pxdata.stat.fi
2014M05,monthly,2013.333333,OTHER,4,pxdata.stat.fi
2014M05,monthly,2013.333333,PETROL,1,pxdata.stat.fi
