period,interval,year,category,registrations,source
2014M01,monthly,2013,BEV,4,pxdata.stat.fi
2014M01,monthly,2013,DIESEL,2129,pxdata.stat.fi
2014M01,monthly,2013,HEV,0,pxdata.stat.fi
2014M01,monthly,2013,OTHER,22,pxdata.stat.fi
2014M01,monthly,2013,PETROL,1928,pxdata.stat.fi
2014M01,monthly,2013,PHEV,13,pxdata.stat.fi
2014M01,monthly,2013,TOTAL,4096,pxdata.stat.fi
2014M02,monthly,2013.083333,BEV,9,pxdata.stat.fi
2014M02,monthly,2013.083333,DIESEL,1565,pxdata.stat.fi
2014M02,monthly,2013.083333,HEV,0,pxdata.stat.fi
2014M02,monthly,2013.083333,OTHER,8,pxdata.stat.fi
2014M02,monthly,2013.083333,PETROL,1172,pxdata.stat.fi
2014M02,monthly,2013.083333,PHEV,5,pxdata.stat.fi
2014M02,monthly,2013.083333,TOTAL,2759,pxdata.stat.fi
2014M03,monthly,2013.166667,BEV,7,pxdata.stat.fi
2014M03,monthly,2013.166667,DIESEL,1775,pxdata.stat.fi
2014M03,monthly,2013.166667,HEV,0,pxdata.stat.fi
2014M03,monthly,2013.166667,OTHER,16,pxdata.stat.fi
2014M03,monthly,2013.166667,PETROL,1378,pxdata.stat.fi
2014M03,monthly,2013.166667,PHEV,16,pxdata.stat.fi
2014M03,monthly,2013.166667,TOTAL,3192,pxdata.stat.fi
2014M04,monthly,2013.25,BEV,17,pxdata.stat.fi
2014M04,monthly,2013.25,DIESEL,1672,pxdata.stat.fi
2014M04,monthly,2013.25,HEV,0,pxdata.stat.fi
2014M04,monthly,2013.25,OTHER,17,pxdata.stat.fi
2014M04,monthly,2013.25,PETROL,1207,pxdata.stat.fi
2014M04,monthly,2013.25,PHEV,14,pxdata.stat.fi
2014M04,monthly,2013.25,TOTAL,2927,pxdata.stat.fi
2014M05,monthly,2013.333333,BEV,18,pxdata.stat.fi
2014M05,monthly,2013.333333,DIESEL,1862,pxdata.stat.fi
2014M05,monthly,2013.333333,HEV,0,pxdata.stat.fi
2014M05,monthly,2013.333333,OTHER,9,pxdata.stat.fi
2014M05,monthly,2013.333333,PETROL,1855,pxdata.stat.fi
2014M05,monthly,2013.333333,PHEV,14,pxdata.stat.fi
2014M05,monthly,2013.333333,TOTAL,3758,pxdata.stat.fi
