period,interval,year,category,registrations,source
2014M01,monthly,2013,BEV,1,pxdata.stat.fi
2014M01,monthly,2013,DIESEL,2846,pxdata.stat.fi
2014M01,monthly,2013,OTHER,33,pxdata.stat.fi
2014M01,monthly,2013,PETROL,5714,pxdata.stat.fi
2014M01,monthly,2013,PHEV,7,pxdata.stat.fi
2014M01,monthly,2013,TOTAL,8601,pxdata.stat.fi
2014M02,monthly,2013.083333,BEV,1,pxdata.stat.fi
2014M02,monthly,2013.083333,DIESEL,1729,pxdata.stat.fi
2014M02,monthly,2013.083333,OTHER,23,pxdata.stat.fi
2014M02,monthly,2013.083333,PETROL,3663,pxdata.stat.fi
2014M02,monthly,2013.083333,PHEV,5,pxdata.stat.fi
2014M02,monthly,2013.083333,TOTAL,5421,pxdata.stat.fi
2014M03,monthly,2013.166667,BEV,3,pxdata.stat.fi
2014M03,monthly,2013.166667,DIESEL,1878,pxdata.stat.fi
2014M03,monthly,2013.166667,OTHER,29,pxdata.stat.fi
2014M03,monthly,2013.166667,PETROL,4503,pxdata.stat.fi
2014M03,monthly,2013.166667,PHEV,21,pxdata.stat.fi
2014M03,monthly,2013.166667,TOTAL,6434,pxdata.stat.fi
2014M04,monthly,2013.25,BEV,4,pxdata.stat.fi
2014M04,monthly,2013.25,DIESEL,1973,pxdata.stat.fi
2014M04,monthly,2013.25,OTHER,34,pxdata.stat.fi
2014M04,monthly,2013.25,PETROL,4367,pxdata.stat.fi
2014M04,monthly,2013.25,PHEV,12,pxdata.stat.fi
2014M04,monthly,2013.25,TOTAL,6390,pxdata.stat.fi
2014M05,monthly,2013.333333,BEV,3,pxdata.stat.fi
2014M05,monthly,2013.333333,DIESEL,1853,pxdata.stat.fi
2014M05,monthly,2013.333333,OTHER,15,pxdata.stat.fi
2014M05,monthly,2013.333333,PETROL,4480,pxdata.stat.fi
2014M05,monthly,2013.333333,PHEV,5,pxdata.stat.fi
2014M05,monthly,2013.333333,TOTAL,6356,pxdata.stat.fi
2014M06,monthly,2013.416667,BEV,0,pxdata.stat.fi
2014M06,monthly,2013.416667,DIESEL,1604,pxdata.stat.fi
2014M06,monthly,2013.416667,OTHER,16,pxdata.stat.fi
2014M06,monthly,2013.416667,PETROL,3991,pxdata.stat.fi
2014M06,monthly,2013.416667,PHEV,10,pxdata.stat.fi
2014M06,monthly,2013.416667,TOTAL,5621,pxdata.stat.fi
2014M07,monthly,2013.5,BEV,2,pxdata.stat.fi
2014M07,monthly,2013.5,DIESEL,1547,pxdata.stat.fi
2014M07,monthly,2013.5,OTHER,23,pxdata.stat.fi
2014M07,monthly,2013.5,PETROL,3667,pxdata.stat.fi
2014M07,monthly,2013.5,PHEV,7,pxdata.stat.fi
2014M07,monthly,2013.5,TOTAL,5246,pxdata.stat.fi
2014M08,monthly,2013.583333,BEV,3,pxdata.stat.fi
2014M08,monthly,2013.583333,DIESEL,1237,pxdata.stat.fi
2014M08,monthly,2013.583333,OTHER,20,pxdata.stat.fi
2014M08,monthly,2013.583333,PETROL,3404,pxdata.stat.fi
2014M08,monthly,2013.583333,PHEV,4,pxdata.stat.fi
2014M08,monthly,2013.583333,TOTAL,4668,pxdata.stat.fi
2014M09,monthly,2013.666667,BEV,2,pxdata.stat.fi
2014M09,monthly,2013.666667,DIESEL,1383,pxdata.stat.fi
2014M09,monthly,2013.666667,OTHER,12,pxdata.stat.fi
