period,interval,year,category,registrations,source
2015M01,quarterly,2014,BEV,1371.4002624958196,ACEA
2015M01,quarterly,2014,PHEV,843.196850050163,ACEA
2015M01,quarterly,2014,TOTAL,159766.6667,ACEA
2015M02,quarterly,2014.083333,BEV,1369.7715802279388,ACEA
2015M02,quarterly,2014.083333,PHEV,862.7410372647373,ACEA
2015M02,quarterly,2014.083333,TOTAL,159766.6667,ACEA
2015M03,quarterly,2014.166667,BEV,1368.083778593517,ACEA
2015M03,quarterly,2014.166667,PHEV,882.9946568777976,ACEA
2015M03,quarterly,2014.166667,TOTAL,159766.6667,ACEA
2015M04,quarterly,2014.25,BEV,1366.1423435665108,ACEA
2015M04,quarterly,2014.25,PHEV,906.291877201872,ACEA
2015M04,quarterly,2014.25,TOTAL,159766.6667,ACEA
2015M05,quarterly,2014.333333,BEV,1364.1368025519998,ACEA
2015M05,quarterly,2014.333333,PHEV,930.3583693760011,ACEA
2015M05,quarterly,2014.333333,TOTAL,159766.6667,ACEA
2015M06,quarterly,2014.416667,BEV,1363.4106647567985,ACEA
2015M06,quarterly,2014.416667,PHEV,939.0720229184196,ACEA
2015M06,quarterly,2014.416667,TOTAL,159766.6667,ACEA
2015M07,quarterly,2014.5,BEV,1361.426652215951,ACEA
2015M07,quarterly,2014.5,PHEV,962.8801734085877,ACEA
2015M07,quarterly,2014.5,TOTAL,159766.6667,ACEA
2015M08,quarterly,2014.583333,BEV,1361.24947458959,ACEA
2015M08,quarterly,2014.583333,PHEV,965.0063049249201,ACEA
2015M08,quarterly,2014.583333,TOTAL,159766.6667,ACEA
2015M09,quarterly,2014.666667,BEV,1361.320502313257,ACEA
2015M09,quarterly,2014.666667,PHEV,964.1539722409152,ACEA
2015M09,quarterly,2014.666667,TOTAL,159766.6667,ACEA
2015M10,quarterly,2014.75,BEV,1361.182756864965,ACEA
2015M10,quarterly,2014.75,PHEV,965.8069176204197,ACEA
2015M10,quarterly,2014.75,TOTAL,159766.6667,ACEA
2015M11,quarterly,2014.833333,BEV,1362.2927822192376,ACEA
2015M11,quarterly,2014.833333,PHEV,952.4866133691503,ACEA
2015M11,quarterly,2014.833333,TOTAL,159766.6667,ACEA
2015M12,quarterly,2014.916667,BEV,1340.5280350190344,ACEA
2015M12,quarterly,2014.916667,PHEV,1213.6635797715876,ACEA
2015M12,quarterly,2014.916667,TOTAL,159766.6667,ACEA
2016M01,quarterly,2015,BEV,1715.2678518022094,ACEA
2016M01,quarterly,2015,PHEV,1216.7857783734878,ACEA
2016M01,quarterly,2015,TOTAL,167933.3333,ACEA
2016M02,quarterly,2015.083333,BEV,1715.1456038857377,ACEA
2016M02,quarterly,2015.083333,PHEV,1218.2527533711484,ACEA
2016M02,quarterly,2015.083333,TOTAL,167933.3333,ACEA
2016M03,quarterly,2015.166667,BEV,1715.9912206007946,ACEA
2016M03,quarterly,2015.166667,PHEV,1208.1053527904671,ACEA
2016M03,quarterly,2015.166667,TOTAL,167933.3333,ACEA
2016M04,quarterly,2015.25,BEV,1715.5916230367231,ACEA
2016M04,quarterly,2015.25,PHEV,1212.9005235593222,ACEA
2016M04,quarterly,2015.25,TOTAL,167933.3333,ACEA
2016M05,quarterly,2015.333333,BEV,1715.377537801676,ACEA
2016M05,quarterly,2015.333333,PHEV,1215.4695463798903,ACEA
2016M05,quarterly,2015.333333,TOTAL,167933.3333,ACEA
2016M06,quarterly,2015.416667,BEV,1716.424318742316,ACEA
2016M06,quarterly,2015.416667,PHEV,1202.90817509221,ACEA
2016M06,quarterly,2015.416667,TOTAL,167933.3333,ACEA
2016M07,quarterly,2015.5,BEV,1716.861954231148,ACEA
2016M07,quarterly,2015.5,PHEV,1197.656549226225,ACEA
2016M07,quarterly,2015.5,TOTAL,167933.3333,ACEA
2016M08,quarterly,2015.583333,BEV,1717.318431642612,ACEA
2016M08,quarterly,2015.583333,PHEV,1192.178820288655,ACEA
2016M08,quarterly,2015.583333,TOTAL,167933.3333,ACEA
2016M09,quarterly,2015.666667,BEV,1718.4119634671233,ACEA
2016M09,quarterly,2015.666667,PHEV,1179.05643839452,ACEA
