period,interval,year,category,registrations,source
2017M02,quarterly,2016.083333,BEV,29,National Statistics Office of Georgia
2017M02,quarterly,2016.083333,DIESEL,4457,National Statistics Office of Georgia
2017M02,quarterly,2016.083333,OTHER,76,National Statistics Office of Georgia
2017M02,quarterly,2016.083333,PETROL,16181,National Statistics Office of Georgia
2017M02,quarterly,2016.083333,PETROL-GAS,315,National Statistics Office of Georgia
2017M02,quarterly,2016.083333,TOTAL,23713,National Statistics Office of Georgia
2017M05,quarterly,2016.333333,BEV,148,National Statistics Office of Georgia
2017M05,quarterly,2016.333333,DIESEL,4520,National Statistics Office of Georgia
2017M05,quarterly,2016.333333,OTHER,52,National Statistics Office of Georgia
2017M05,quarterly,2016.333333,PETROL,9337,National Statistics Office of Georgia
2017M05,quarterly,2016.333333,PETROL-GAS,114,National Statistics Office of Georgia
2017M05,quarterly,2016.333333,TOTAL,18796,National Statistics Office of Georgia
2017M08,quarterly,2016.583333,BEV,297,National Statistics Office of Georgia
2017M08,quarterly,2016.583333,DIESEL,4683,National Statistics Office of Georgia
2017M08,quarterly,2016.583333,OTHER,6,National Statistics Office of Georgia
2017M08,quarterly,2016.583333,PETROL,5661,National Statistics Office of Georgia
2017M08,quarterly,2016.583333,PETROL-GAS,89,National Statistics Office of Georgia
2017M08,quarterly,2016.583333,TOTAL,15063,National Statistics Office of Georgia
2017M11,quarterly,2016.833333,BEV,293,National Statistics Office of Georgia
2017M11,quarterly,2016.833333,DIESEL,4944,National Statistics Office of Georgia
2017M11,quarterly,2016.833333,OTHER,7,National Statistics Office of Georgia
2017M11,quarterly,2016.833333,PETROL,5280,National Statistics Office of Georgia
2017M11,quarterly,2016.833333,PETROL-GAS,76,National Statistics Office of Georgia
2017M11,quarterly,2016.833333,TOTAL,15489,National Statistics Office of Georgia
2018M02,quarterly,2017.083333,BEV,178,National Statistics Office of Georgia
2018M02,quarterly,2017.083333,DIESEL,4590,National Statistics Office of Georgia
2018M02,quarterly,2017.083333,OTHER,12,National Statistics Office of Georgia
2018M02,quarterly,2017.083333,PETROL,6420,National Statistics Office of Georgia
2018M02,quarterly,2017.083333,PETROL-GAS,45,National Statistics Office of Georgia
2018M02,quarterly,2017.083333,TOTAL,16052,National Statistics Office of Georgia
2018M05,quarterly,2017.333333,BEV,155,National Statistics Office of Georgia
2018M05,quarterly,2017.333333,DIESEL,5362,National Statistics Office of Georgia
2018M05,quarterly,2017.333333,OTHER,18,National Statistics Office of Georgia
2018M05,quarterly,2017.333333,PETROL,7285,National Statistics Office of Georgia
2018M05,quarterly,2017.333333,PETROL-GAS,50,National Statistics Office of Georgia
2018M05,quarterly,2017.333333,TOTAL,19666,National Statistics Office of Georgia
2018M08,quarterly,2017.583333,BEV,151,National Statistics Office of Georgia
2018M08,quarterly,2017.583333,DIESEL,5194,National Statistics Office of Georgia
2018M08,quarterly,2017.583333,OTHER,15,National Statistics Office of Georgia
2018M08,quarterly,2017.583333,PETROL,7131,National Statistics Office of Georgia
2018M08,quarterly,2017.583333,PETROL-GAS,72,National Statistics Office of Georgia
2018M08,quarterly,2017.583333,TOTAL,20141,National Statistics Office of Georgia
2018M11,quarterly,2017.833333,BEV,131,National Statistics Office of Georgia
2018M11,quarterly,2017.833333,DIESEL,5328,National Statistics Office of Georgia
2018M11,quarterly,2017.833333,OTHER,33,National Statistics Office of Georgia
2018M11,quarterly,2017.833333,PETROL,6250,National Statistics Office of Georgia
2018M11,quarterly,2017.833333,PETROL-GAS,91,National Statistics Office of Georgia
2018M11,quarterly,2017.833333,TOTAL,18296,National Statistics Office of Georgia
2019M02,quarterly,2018.083333,BEV,227,National Statistics Office of Georgia
2019M02,quarterly,2018.083333,DIESEL,4628,National Statistics Office of Georgia
2019M02,quarterly,2018.083333,OTHER,24,National Statistics Office of Georgia
2019M02,quarterly,2018.083333,PETROL,6836,National Statistics Office of Georgia
2019M02,quarterly,2018.083333,PETROL-GAS,97,National Statistics Office of Georgia
2019M02,quarterly,2018.083333,TOTAL,16123,National Statistics Office of Georgia
2019M05,quarterly,2018.333333,BEV,294,National Statistics Office of Georgia
2019M05,quarterly,2018.333333,DIESEL,5957,National Statistics Office of Georgia
2019M05,quarterly,2018.333333,OTHER,37,National Statistics Office of Georgia
2019M05,quarterly,2018.333333,PETROL,7286,National Statistics Office of Georgia
2019M05,quarterly,2018.333333,PETROL-GAS,117,National Statistics Office of Georgia
2019M05,quarterly,2018.333333,TOTAL,19574,National Statistics Office of Georgia
2019M08,quarterly,2018.583333,BEV,150,National Statistics Office of Georgia
2019M08,quarterly,2018.583333,DIESEL,5691,National Statistics Office of Georgia
2019M08,quarterly,2018.583333,OTHER,58,National Statistics Office of Georgia
2019M08,quarterly,2018.583333,PETROL,6038,National Statistics Office of Georgia
2019M08,quarterly,2018.583333,PETROL-GAS,135,National Statistics Office of Georgia
2019M08,quarterly,2018.583333,TOTAL,17793,National Statistics Office of Georgia
2019M11,quarterly,2018.833333,BEV,119,National Statistics Office of Georgia
2019M11,quarterly,2018.833333,DIESEL,6028,National Statistics Office of Georgia
2019M11,quarterly,2018.833333,OTHER,98,National Statistics Office of Georgia
2019M11,quarterly,2018.833333,PETROL,6245,National Statistics Office of Georgia
2019M11,quarterly,2018.833333,PETROL-GAS,190,National Statistics Office of Georgia
2019M11,quarterly,2018.833333,TOTAL,18266,National Statistics Office of Georgia
2020M02,quarterly,2019.083333,BEV,128,National Statistics Office of Georgia
2020M02,quarterly,2019.083333,DIESEL,5845,National Statistics Office of Georgia
2020M02,quarterly,2019.083333,OTHER,112,National Statistics Office of Georgia
2020M02,quarterly,2019.083333,PETROL,10072,National Statistics Office of Georgia
2020M02,quarterly,2019.083333,PETROL-GAS,261,National Statistics Office of Georgia
2020M02,quarterly,2019.083333,TOTAL,21632,National Statistics Office of Georgia
2020M05,quarterly,2019.333333,BEV,62,National Statistics Office of Georgia
2020M05,quarterly,2019.333333,DIESEL,2512,National Statistics Office of Georgia
2020M05,quarterly,2019.333333,OTHER,44,National Statistics Office of Georgia
2020M05,quarterly,2019.333333,PETROL,4448,National Statistics Office of Georgia
2020M05,quarterly,2019.333333,PETROL-GAS,85,National Statistics Office of Georgia
2020M05,quarterly,2019.333333,TOTAL,10025,National Statistics Office of Georgia
2020M08,quarterly,2019.583333,BEV,93,National Statistics Office of Georgia
2020M08,quarterly,2019.583333,DIESEL,5381,National Statistics Office of Georgia
2020M08,quarterly,2019.583333,OTHER,114,National Statistics Office of Georgia
2020M08,quarterly,2019.583333,PETROL,12237,National Statistics Office of Georgia
2020M08,quarterly,2019.583333,PETROL-GAS,164,National Statistics Office of Georgia
2020M08,quarterly,2019.583333,TOTAL,24850,National Statistics Office of Georgia
2020M11,quarterly,2019.833333,BEV,76,National Statistics Office of Georgia
2020M11,quarterly,2019.833333,DIESEL,6190,National Statistics Office of Georgia
2020M11,quarterly,2019.833333,OTHER,137,National Statistics Office of Georgia
2020M11,quarterly,2019.833333,PETROL,8505,National Statistics Office of Georgia
2020M11,quarterly,2019.833333,PETROL-GAS,165,National Statistics Office of Georgia
2020M11,quarterly,2019.833333,TOTAL,20049,National Statistics Office of Georgia
2021M02,quarterly,2020.083333,BEV,72,National Statistics Office of Georgia
2021M02,quarterly,2020.083333,DIESEL,6658,National Statistics Office of Georgia
2021M02,quarterly,2020.083333,OTHER,106,National Statistics Office of Georgia
2021M02,quarterly,2020.083333,PETROL,11686,National Statistics Office of Georgia
2021M02,quarterly,2020.083333,PETROL-GAS,182,National Statistics Office of Georgia
2021M02,quarterly,2020.083333,TOTAL,22930,National Statistics Office of Georgia
2021M05,quarterly,2020.333333,BEV,55,National Statistics Office of Georgia
2021M05,quarterly,2020.333333,DIESEL,6918,National Statistics Office of Georgia
2021M05,quarterly,2020.333333,OTHER,113,National Statistics Office of Georgia
2021M05,quarterly,2020.333333,PETROL,12325,National Statistics Office of Georgia
2021M05,quarterly,2020.333333,PETROL-GAS,197,National Statistics Office of Georgia
2021M05,quarterly,2020.333333,TOTAL,24282,National Statistics Office of Georgia
2021M08,quarterly,2020.583333,BEV,90,National Statistics Office of Georgia
2021M08,quarterly,2020.583333,DIESEL,6464,National Statistics Office of Georgia
2021M08,quarterly,2020.583333,OTHER,20,National Statistics Office of Georgia
2021M08,quarterly,2020.583333,PETROL,12750,National Statistics Office of Georgia
2021M08,quarterly,2020.583333,PETROL-GAS,202,National Statistics Office of Georgia
2021M08,quarterly,2020.583333,TOTAL,24171,National Statistics Office of Georgia
2021M11,quarterly,2020.833333,BEV,107,National Statistics Office of Georgia
2021M11,quarterly,2020.833333,DIESEL,7532,National Statistics Office of Georgia
2021M11,quarterly,2020.833333,OTHER,25,National Statistics Office of Georgia
2021M11,quarterly,2020.833333,PETROL,13323,National Statistics Office of Georgia
2021M11,quarterly,2020.833333,PETROL-GAS,243,National Statistics Office of Georgia
2021M11,quarterly,2020.833333,TOTAL,26296,National Statistics Office of Georgia
2022M02,quarterly,2021.083333,BEV,106,National Statistics Office of Georgia
2022M02,quarterly,2021.083333,DIESEL,5950,National Statistics Office of Georgia
2022M02,quarterly,2021.083333,OTHER,24,National Statistics Office of Georgia
2022M02,quarterly,2021.083333,PETROL,11705,National Statistics Office of Georgia
2022M02,quarterly,2021.083333,PETROL-GAS,223,National Statistics Office of Georgia
2022M02,quarterly,2021.083333,TOTAL,21100,National Statistics Office of Georgia
2022M05,quarterly,2021.333333,BEV,204,National Statistics Office of Georgia
2022M05,quarterly,2021.333333,DIESEL,7561,National Statistics Office of Georgia
2022M05,quarterly,2021.333333,OTHER,39,National Statistics Office of Georgia
2022M05,quarterly,2021.333333,PETROL,17566,National Statistics Office of Georgia
2022M05,quarterly,2021.333333,PETROL-GAS,496,National Statistics Office of Georgia
2022M05,quarterly,2021.333333,TOTAL,31022,National Statistics Office of Georgia
2022M08,quarterly,2021.583333,BEV,363,National Statistics Office of Georgia
2022M08,quarterly,2021.583333,DIESEL,7358,National Statistics Office of Georgia
2022M08,quarterly,2021.583333,OTHER,79,National Statistics Office of Georgia
2022M08,quarterly,2021.583333,PETROL,14506,National Statistics Office of Georgia
2022M08,quarterly,2021.583333,PETROL-GAS,544,National Statistics Office of Georgia
2022M08,quarterly,2021.583333,TOTAL,27752,National Statistics Office of Georgia
2022M11,quarterly,2021.833333,BEV,308,National Statistics Office of Georgia
2022M11,quarterly,2021.833333,DIESEL,8315,National Statistics Office of Georgia
2022M11,quarterly,2021.833333,OTHER,49,National Statistics Office of Georgia
2022M11,quarterly,2021.833333,PETROL,16069,National Statistics Office of Georgia
2022M11,quarterly,2021.833333,PETROL-GAS,770,National Statistics Office of Georgia
2022M11,quarterly,2021.833333,TOTAL,30203,National Statistics Office of Georgia
2023M02,quarterly,2022.083333,BEV,335,National Statistics Office of Georgia
2023M02,quarterly,2022.083333,DIESEL,7302,National Statistics Office of Georgia
2023M02,quarterly,2022.083333,OTHER,45,National Statistics Office of Georgia
2023M02,quarterly,2022.083333,PETROL,16083,National Statistics Office of Georgia
2023M02,quarterly,2022.083333,PETROL-GAS,606,National Statistics Office of Georgia
2023M02,quarterly,2022.083333,TOTAL,27948,National Statistics Office of Georgia
2023M05,quarterly,2022.333333,BEV,410,National Statistics Office of Georgia
2023M05,quarterly,2022.333333,DIESEL,8923,National Statistics Office of Georgia
2023M05,quarterly,2022.333333,OTHER,49,National Statistics Office of Georgia
2023M05,quarterly,2022.333333,PETROL,20703,National Statistics Office of Georgia
2023M05,quarterly,2022.333333,PETROL-GAS,622,National Statistics Office of Georgia
2023M05,quarterly,2022.333333,TOTAL,36916,National Statistics Office of Georgia
2023M08,quarterly,2022.583333,BEV,463,National Statistics Office of Georgia
2023M08,quarterly,2022.583333,DIESEL,9430,National Statistics Office of Georgia
2023M08,quarterly,2022.583333,OTHER,140,National Statistics Office of Georgia
2023M08,quarterly,2022.583333,PETROL,25659,National Statistics Office of Georgia
2023M08,quarterly,2022.583333,PETROL-GAS,771,National Statistics Office of Georgia
2023M08,quarterly,2022.583333,TOTAL,44923,National Statistics Office of Georgia
2023M11,quarterly,2022.833333,BEV,716,National Statistics Office of Georgia
2023M11,quarterly,2022.833333,DIESEL,9036,National Statistics Office of Georgia
2023M11,quarterly,2022.833333,OTHER,147,National Statistics Office of Georgia
2023M11,quarterly,2022.833333,PETROL,24339,National Statistics Office of Georgia
2023M11,quarterly,2022.833333,PETROL-GAS,1130,National Statistics Office of Georgia
2023M11,quarterly,2022.833333,TOTAL,43828,National Statistics Office of Georgia
2024M02,quarterly,2023.083333,BEV,676,National Statistics Office of Georgia
2024M02,quarterly,2023.083333,DIESEL,6668,National Statistics Office of Georgia
2024M02,quarterly,2023.083333,OTHER,178,National Statistics Office of Georgia
2024M02,quarterly,2023.083333,PETROL,15959,National Statistics Office of Georgia
2024M02,quarterly,2023.083333,PETROL-GAS,621,National Statistics Office of Georgia
2024M02,quarterly,2023.083333,TOTAL,29018,National Statistics Office of Georgia
2024M05,quarterly,2023.333333,BEV,1038,National Statistics Office of Georgia
2024M05,quarterly,2023.333333,DIESEL,7107,National Statistics Office of Georgia
2024M05,quarterly,2023.333333,OTHER,142,National Statistics Office of Georgia
2024M05,quarterly,2023.333333,PETROL,18235,National Statistics Office of Georgia
2024M05,quarterly,2023.333333,PETROL-GAS,669,National Statistics Office of Georgia
2024M05,quarterly,2023.333333,TOTAL,34758,National Statistics Office of Georgia
2024M08,quarterly,2023.583333,BEV,1234,National Statistics Office of Georgia
2024M08,quarterly,2023.583333,DIESEL,7976,National Statistics Office of Georgia
2024M08,quarterly,2023.583333,OTHER,173,National Statistics Office of Georgia
2024M08,quarterly,2023.583333,PETROL,20674,National Statistics Office of Georgia
2024M08,quarterly,2023.583333,PETROL-GAS,762,National Statistics Office of Georgia
2024M08,quarterly,2023.583333,TOTAL,39259,National Statistics Office of Georgia
2024M11,quarterly,2023.833333,BEV,1358,National Statistics Office of Georgia
2024M11,quarterly,2023.833333,DIESEL,9189,National Statistics Office of Georgia
2024M11,quarterly,2023.833333,OTHER,212,National Statistics Office of Georgia
2024M11,quarterly,2023.833333,PETROL,19286,National Statistics Office of Georgia
2024M11,quarterly,2023.833333,PETROL-GAS,648,National Statistics Office of Georgia
2024M11,quarterly,2023.833333,TOTAL,38625,National Statistics Office of Georgia
2025M02,quarterly,2024.083333,BEV,1316,National Statistics Office of Georgia
2025M02,quarterly,2024.083333,DIESEL,6860,National Statistics Office of Georgia
2025M02,quarterly,2024.083333,OTHER,186,National Statistics Office of Georgia
2025M02,quarterly,2024.083333,PETROL,15965,National Statistics Office of Georgia
2025M02,quarterly,2024.083333,PETROL-GAS,474,National Statistics Office of Georgia
2025M02,quarterly,2024.083333,TOTAL,30426,National Statistics Office of Georgia
2025M05,quarterly,2024.333333,BEV,1907,National Statistics Office of Georgia
2025M05,quarterly,2024.333333,DIESEL,5637,National Statistics Office of Georgia
2025M05,quarterly,2024.333333,OTHER,194,National Statistics Office of Georgia
2025M05,quarterly,2024.333333,PETROL,24214,National Statistics Office of Georgia
2025M05,quarterly,2024.333333,PETROL-GAS,930,National Statistics Office of Georgia
2025M05,quarterly,2024.333333,TOTAL,42445,National Statistics Office of Georgia
2025M08,quarterly,2024.583333,BEV,2150,National Statistics Office of Georgia
2025M08,quarterly,2024.583333,DIESEL,5049,National Statistics Office of Georgia
2025M08,quarterly,2024.583333,OTHER,180,National Statistics Office of Georgia
2025M08,quarterly,2024.583333,PETROL,27106,National Statistics Office of Georgia
2025M08,quarterly,2024.583333,PETROL-GAS,1228,National Statistics Office of Georgia
2025M08,quarterly,2024.583333,TOTAL,46542,National Statistics Office of Georgia
2025M11,quarterly,2024.833333,BEV,1805,National Statistics Office of Georgia
2025M11,quarterly,2024.833333,DIESEL,4847,National Statistics Office of Georgia
2025M11,quarterly,2024.833333,OTHER,157,National Statistics Office of Georgia
2025M11,quarterly,2024.833333,PETROL,23817,National Statistics Office of Georgia
2025M11,quarterly,2024.833333,PETROL-GAS,1005,National Statistics Office of Georgia
2025M11,quarterly,2024.833333,TOTAL,41719,National Statistics Office of Georgia
2026M02,quarterly,2025.083333,BEV,2109,National Statistics Office of Georgia
2026M02,quarterly,2025.083333,DIESEL,4265,National Statistics Office of Georgia
2026M02,quarterly,2025.083333,OTHER,123,National Statistics Office of Georgia
2026M02,quarterly,2025.083333,PETROL,20019,National Statistics Office of Georgia
2026M02,quarterly,2025.083333,PETROL-GAS,593,National Statistics Office of Georgia
2026M02,quarterly,2025.083333,TOTAL,35300,National Statistics Office of Georgia
