period,interval,year,category,registrations,source
2012M01,quarterly,2011,BEV,244.2021021574774,KBA
2012M01,quarterly,2011,HEV,1051.3565909571403,KBA
2012M01,quarterly,2011,PHEV,735.1434090428598,KBA
2012M01,quarterly,2011,TOTAL,210195,KBA
2012M02,quarterly,2011.083333,BEV,244.2021021574774,KBA
2012M02,quarterly,2011.083333,HEV,1051.3565909571403,KBA
2012M02,quarterly,2011.083333,PHEV,735.1434090428598,KBA
2012M02,quarterly,2011.083333,TOTAL,224318,KBA
2012M03,quarterly,2011.166667,BEV,244.2021021574774,KBA
2012M03,quarterly,2011.166667,HEV,1051.3565909571403,KBA
2012M03,quarterly,2011.166667,PHEV,735.1434090428598,KBA
2012M03,quarterly,2011.166667,TOTAL,339123,KBA
2012M04,quarterly,2011.25,BEV,244.2021021574774,KBA
2012M04,quarterly,2011.25,HEV,1051.3565909571403,KBA
2012M04,quarterly,2011.25,PHEV,735.1434090428598,KBA
2012M04,quarterly,2011.25,TOTAL,274066,KBA
2012M05,quarterly,2011.333333,BEV,244.2021021574774,KBA
2012M05,quarterly,2011.333333,HEV,1051.3565909571403,KBA
2012M05,quarterly,2011.333333,PHEV,735.1434090428598,KBA
2012M05,quarterly,2011.333333,TOTAL,289977,KBA
2012M06,quarterly,2011.416667,BEV,244.2021021574774,KBA
2012M06,quarterly,2011.416667,HEV,1051.3565909571403,KBA
2012M06,quarterly,2011.416667,PHEV,735.1434090428598,KBA
2012M06,quarterly,2011.416667,TOTAL,296722,KBA
2012M07,quarterly,2011.5,BEV,244.2021021574774,KBA
2012M07,quarterly,2011.5,HEV,1051.3565909571403,KBA
2012M07,quarterly,2011.5,PHEV,735.1434090428598,KBA
2012M07,quarterly,2011.5,TOTAL,543321,KBA
2012M08,quarterly,2011.583333,BEV,244.2021021574774,KBA
2012M08,quarterly,2011.583333,HEV,1051.3565909571403,KBA
2012M08,quarterly,2011.583333,PHEV,735.1434090428598,KBA
2012M08,quarterly,2011.583333,TOTAL,226455,KBA
2012M09,quarterly,2011.666667,BEV,269.7768762677485,KBA
2012M09,quarterly,2011.666667,HEV,1051.3565909571403,KBA
2012M09,quarterly,2011.666667,PHEV,735.1434090428598,KBA
2012M09,quarterly,2011.666667,TOTAL,250082,KBA
2012M10,quarterly,2011.75,BEV,244.2021021574774,KBA
2012M10,quarterly,2011.75,HEV,1051.3565909571403,KBA
2012M10,quarterly,2011.75,PHEV,735.1434090428598,KBA
2012M10,quarterly,2011.75,TOTAL,259529,KBA
2012M11,quarterly,2011.833333,BEV,244.2021021574774,KBA
2012M11,quarterly,2011.833333,HEV,1051.3565909571403,KBA
2012M11,quarterly,2011.833333,PHEV,735.1434090428598,KBA
2012M11,quarterly,2011.833333,TOTAL,259846,KBA
2012M12,quarterly,2011.916667,BEV,244.2021021574774,KBA
2012M12,quarterly,2011.916667,HEV,1051.3565909571403,KBA
2012M12,quarterly,2011.916667,PHEV,735.1434090428598,KBA
2012M12,quarterly,2011.916667,TOTAL,204331,KBA
2013M01,quarterly,2012,BEV,362,KBA
2013M01,quarterly,2012,HEV,1040.4693270709342,KBA
2013M01,quarterly,2012,PHEV,727.5306729290659,KBA
2013M01,quarterly,2012,TOTAL,192090,KBA
2013M02,quarterly,2012.083333,BEV,362,KBA
2013M02,quarterly,2012.083333,HEV,1040.4693270709342,KBA
2013M02,quarterly,2012.083333,PHEV,727.5306729290659,KBA
2013M02,quarterly,2012.083333,TOTAL,200683,KBA
2013M03,quarterly,2012.166667,BEV,308,KBA
2013M03,quarterly,2012.166667,HEV,1468.897873511907,KBA
2013M03,quarterly,2012.166667,PHEV,1027.102126488093,KBA
2013M03,quarterly,2012.166667,TOTAL,281184,KBA
2013M04,quarterly,2012.25,BEV,362,KBA
2013M04,quarterly,2012.25,HEV,1753.66279371651,KBA
2013M04,quarterly,2012.25,PHEV,1226.2192062834902,KBA
2013M04,quarterly,2012.25,TOTAL,284444,KBA
2013M05,quarterly,2012.333333,BEV,362,KBA
2013M05,quarterly,2012.333333,HEV,1538.134692570296,KBA
2013M05,quarterly,2012.333333,PHEV,1075.514807429704,KBA
2013M05,quarterly,2012.333333,TOTAL,261316,KBA
2013M06,quarterly,2012.416667,BEV,362,KBA
2013M06,quarterly,2012.416667,HEV,1414.0746148373535,KBA
2013M06,quarterly,2012.416667,PHEV,988.7678851626464,KBA
2013M06,quarterly,2012.416667,TOTAL,282913,KBA
2013M07,quarterly,2012.5,BEV,515,KBA
2013M07,quarterly,2012.5,HEV,1291.7591475795816,KBA
2013M07,quarterly,2012.5,PHEV,903.2408524204183,KBA
