period,interval,year,category,registrations,source
2015M06,yearly,2014.416667,BEV,35,ACEA
2015M06,yearly,2014.416667,HEV,985,ACEA
2015M06,yearly,2014.416667,PHEV,22,ACEA
2015M06,yearly,2014.416667,TOTAL,75805,ACEA
2016M02,quarterly,2015.083333,BEV,7,ACEA
2016M02,quarterly,2015.083333,HEV,242,ACEA
2016M02,quarterly,2015.083333,PHEV,11,ACEA
2016M02,quarterly,2015.083333,TOTAL,15326,ACEA
2016M05,quarterly,2015.333333,BEV,2,ACEA
2016M05,quarterly,2015.333333,HEV,439,ACEA
2016M05,quarterly,2015.333333,PHEV,9,ACEA
2016M05,quarterly,2015.333333,TOTAL,32087,ACEA
2016M08,quarterly,2015.583333,BEV,2,ACEA
2016M08,quarterly,2015.583333,HEV,470,ACEA
2016M08,quarterly,2015.583333,PHEV,6,ACEA
2016M08,quarterly,2015.583333,TOTAL,15803,ACEA
2016M11,quarterly,2015.833333,BEV,1,ACEA
2016M11,quarterly,2015.833333,HEV,394,ACEA
2016M11,quarterly,2015.833333,PHEV,5,ACEA
2016M11,quarterly,2015.833333,TOTAL,15657,ACEA
2017M02,quarterly,2016.083333,BEV,4,ACEA
2017M02,quarterly,2016.083333,HEV,489,ACEA
2017M02,quarterly,2016.083333,PHEV,33,ACEA
2017M02,quarterly,2016.083333,TOTAL,21097,ACEA
2017M05,quarterly,2016.333333,BEV,8,ACEA
2017M05,quarterly,2016.333333,HEV,509,ACEA
2017M05,quarterly,2016.333333,PHEV,37,ACEA
2017M05,quarterly,2016.333333,TOTAL,29259,ACEA
2017M08,quarterly,2016.583333,BEV,9,ACEA
2017M08,quarterly,2016.583333,HEV,613,ACEA
2017M08,quarterly,2016.583333,PHEV,39,ACEA
2017M08,quarterly,2016.583333,TOTAL,19502,ACEA
2017M11,quarterly,2016.833333,BEV,17,ACEA
2017M11,quarterly,2016.833333,HEV,737,ACEA
2017M11,quarterly,2016.833333,PHEV,52,ACEA
2017M11,quarterly,2016.833333,TOTAL,18225,ACEA
2018M01,quarterly,2017,BEV,5,ACEA
2018M01,quarterly,2017,DIESEL,3500,ACEA
2018M01,quarterly,2017,HEV,283,ACEA
2018M01,quarterly,2017,OTHER,90,ACEA
2018M01,quarterly,2017,PETROL,5010,ACEA
2018M01,quarterly,2017,PHEV,16,ACEA
2018M01,quarterly,2017,TOTAL,8906,ACEA
2018M02,quarterly,2017.083333,BEV,5,ACEA
2018M02,quarterly,2017.083333,DIESEL,3500,ACEA
2018M02,quarterly,2017.083333,HEV,283,ACEA
2018M02,quarterly,2017.083333,OTHER,90,ACEA
2018M02,quarterly,2017.083333,PETROL,5010,ACEA
2018M02,quarterly,2017.083333,PHEV,16,ACEA
2018M02,quarterly,2017.083333,TOTAL,8906,ACEA
2018M03,quarterly,2017.166667,BEV,5,ACEA
2018M03,quarterly,2017.166667,DIESEL,3500,ACEA
2018M03,quarterly,2017.166667,HEV,283,ACEA
2018M03,quarterly,2017.166667,OTHER,90,ACEA
2018M03,quarterly,2017.166667,PETROL,5010,ACEA
2018M03,quarterly,2017.166667,PHEV,16,ACEA
2018M03,quarterly,2017.166667,TOTAL,8906,ACEA
2018M04,quarterly,2017.25,BEV,8,ACEA
2018M04,quarterly,2017.25,DIESEL,3738,ACEA
2018M04,quarterly,2017.25,HEV,285,ACEA
2018M04,quarterly,2017.25,OTHER,114,ACEA
2018M04,quarterly,2017.25,PETROL,7657,ACEA
2018M04,quarterly,2017.25,PHEV,25,ACEA
2018M04,quarterly,2017.25,TOTAL,11829,ACEA
2018M05,quarterly,2017.333333,BEV,8,ACEA
2018M05,quarterly,2017.333333,DIESEL,3738,ACEA
2018M05,quarterly,2017.333333,HEV,285,ACEA
2018M05,quarterly,2017.333333,OTHER,114,ACEA
2018M05,quarterly,2017.333333,PETROL,7657,ACEA
2018M05,quarterly,2017.333333,PHEV,25,ACEA
2018M05,quarterly,2017.333333,TOTAL,11829,ACEA
2018M06,quarterly,2017.416667,BEV,8,ACEA
2018M06,quarterly,2017.416667,DIESEL,3738,ACEA
2018M06,quarterly,2017.416667,HEV,285,ACEA
2018M06,quarterly,2017.416667,OTHER,114,ACEA
2018M06,quarterly,2017.416667,PETROL,7657,ACEA
2018M06,quarterly,2017.416667,PHEV,25,ACEA
2018M06,quarterly,2017.416667,TOTAL,11829,ACEA
2018M07,quarterly,2017.5,BEV,4,ACEA
2018M07,quarterly,2017.5,DIESEL,2721,ACEA
2018M07,quarterly,2017.5,HEV,272,ACEA
2018M07,quarterly,2017.5,OTHER,71,ACEA
2018M07,quarterly,2017.5,PETROL,4148,ACEA
2018M07,quarterly,2017.5,PHEV,16,ACEA
2018M07,quarterly,2017.5,TOTAL,7234,ACEA
2018M08,quarterly,2017.583333,BEV,4,ACEA
2018M08,quarterly,2017.583333,DIESEL,2721,ACEA
2018M08,quarterly,2017.583333,HEV,272,ACEA
2018M08,quarterly,2017.583333,OTHER,71,ACEA
2018M08,quarterly,2017.583333,PETROL,4148,ACEA
2018M08,quarterly,2017.583333,PHEV,16,ACEA
2018M08,quarterly,2017.583333,TOTAL,7234,ACEA
2018M09,quarterly,2017.666667,BEV,4,ACEA
2018M09,quarterly,2017.666667,DIESEL,2721,ACEA
2018M09,quarterly,2017.666667,HEV,272,ACEA
2018M09,quarterly,2017.666667,OTHER,71,ACEA
2018M09,quarterly,2017.666667,PETROL,4148,ACEA
2018M09,quarterly,2017.666667,PHEV,16,ACEA
2018M09,quarterly,2017.666667,TOTAL,7234,ACEA
2018M10,quarterly,2017.75,BEV,10,ACEA
2018M10,quarterly,2017.75,DIESEL,2334,ACEA
2018M10,quarterly,2017.75,HEV,371,ACEA
2018M10,quarterly,2017.75,OTHER,66,ACEA
2018M10,quarterly,2017.75,PETROL,3624,ACEA
2018M10,quarterly,2017.75,PHEV,17,ACEA
2018M10,quarterly,2017.75,TOTAL,6424,ACEA
2018M11,quarterly,2017.833333,BEV,10,ACEA
2018M11,quarterly,2017.833333,DIESEL,2334,ACEA
2018M11,quarterly,2017.833333,HEV,371,ACEA
2018M11,quarterly,2017.833333,OTHER,66,ACEA
2018M11,quarterly,2017.833333,PETROL,3624,ACEA
2018M11,quarterly,2017.833333,PHEV,17,ACEA
2018M11,quarterly,2017.833333,TOTAL,6424,ACEA
2018M12,quarterly,2017.916667,BEV,10,ACEA
2018M12,quarterly,2017.916667,DIESEL,2334,ACEA
2018M12,quarterly,2017.916667,HEV,371,ACEA
2018M12,quarterly,2017.916667,OTHER,66,ACEA
2018M12,quarterly,2017.916667,PETROL,3624,ACEA
2018M12,quarterly,2017.916667,PHEV,17,ACEA
2018M12,quarterly,2017.916667,TOTAL,6424,ACEA
2019M01,quarterly,2018,BEV,12,ACEA
