period,interval,year,category,registrations,source
2014M01,quarterly,2013,BEV,0,ACEA
2014M01,quarterly,2013,HEV,32,ACEA
2014M01,quarterly,2013,PHEV,0,ACEA
2014M01,quarterly,2013,TOTAL,5982,ACEA
2014M02,quarterly,2013.083333,BEV,0,ACEA
2014M02,quarterly,2013.083333,HEV,32,ACEA
2014M02,quarterly,2013.083333,PHEV,0,ACEA
2014M02,quarterly,2013.083333,TOTAL,5982,ACEA
2014M03,quarterly,2013.166667,BEV,0,ACEA
2014M03,quarterly,2013.166667,HEV,32,ACEA
2014M03,quarterly,2013.166667,PHEV,0,ACEA
2014M03,quarterly,2013.166667,TOTAL,5982,ACEA
2014M04,quarterly,2013.25,BEV,0,ACEA
2014M04,quarterly,2013.25,HEV,41,ACEA
2014M04,quarterly,2013.25,PHEV,0,ACEA
2014M04,quarterly,2013.25,TOTAL,5982,ACEA
2014M05,quarterly,2013.333333,BEV,0,ACEA
2014M05,quarterly,2013.333333,HEV,41,ACEA
2014M05,quarterly,2013.333333,PHEV,0,ACEA
2014M05,quarterly,2013.333333,TOTAL,5982,ACEA
2014M06,quarterly,2013.416667,BEV,0,ACEA
2014M06,quarterly,2013.416667,HEV,41,ACEA
2014M06,quarterly,2013.416667,PHEV,0,ACEA
2014M06,quarterly,2013.416667,TOTAL,5982,ACEA
2014M07,quarterly,2013.5,BEV,0,ACEA
2014M07,quarterly,2013.5,HEV,37,ACEA
2014M07,quarterly,2013.5,PHEV,0,ACEA
2014M07,quarterly,2013.5,TOTAL,5982,ACEA
2014M08,quarterly,2013.583333,BEV,0,ACEA
2014M08,quarterly,2013.583333,HEV,37,ACEA
2014M08,quarterly,2013.583333,PHEV,0,ACEA
2014M08,quarterly,2013.583333,TOTAL,5982,ACEA
2014M09,quarterly,2013.666667,BEV,0,ACEA
2014M09,quarterly,2013.666667,HEV,37,ACEA
2014M09,quarterly,2013.666667,PHEV,0,ACEA
2014M09,quarterly,2013.666667,TOTAL,5982,ACEA
2014M10,quarterly,2013.75,BEV,0,ACEA
2014M10,quarterly,2013.75,HEV,63,ACEA
2014M10,quarterly,2013.75,PHEV,0,ACEA
2014M10,quarterly,2013.75,TOTAL,5982,ACEA
2014M11,quarterly,2013.833333,BEV,0,ACEA
2014M11,quarterly,2013.833333,HEV,63,ACEA
2014M11,quarterly,2013.833333,PHEV,0,ACEA
2014M11,quarterly,2013.833333,TOTAL,5982,ACEA
2014M12,quarterly,2013.916667,BEV,0,ACEA
2014M12,quarterly,2013.916667,HEV,63,ACEA
2014M12,quarterly,2013.916667,PHEV,0,ACEA
2014M12,quarterly,2013.916667,TOTAL,5982,ACEA
2015M01,quarterly,2014,BEV,0,ACEA
2015M01,quarterly,2014,HEV,46,ACEA
2015M01,quarterly,2014,PHEV,0,ACEA
2015M01,quarterly,2014,TOTAL,6788,ACEA
2015M02,quarterly,2014.083333,BEV,0,ACEA
2015M02,quarterly,2014.083333,HEV,46,ACEA
2015M02,quarterly,2014.083333,PHEV,0,ACEA
2015M02,quarterly,2014.083333,TOTAL,6788,ACEA
2015M03,quarterly,2014.166667,BEV,0,ACEA
2015M03,quarterly,2014.166667,HEV,46,ACEA
2015M03,quarterly,2014.166667,PHEV,0,ACEA
2015M03,quarterly,2014.166667,TOTAL,6788,ACEA
2015M04,quarterly,2014.25,BEV,0,ACEA
2015M04,quarterly,2014.25,HEV,63,ACEA
2015M04,quarterly,2014.25,PHEV,0,ACEA
2015M04,quarterly,2014.25,TOTAL,6788,ACEA
2015M05,quarterly,2014.333333,BEV,0,ACEA
2015M05,quarterly,2014.333333,HEV,63,ACEA
2015M05,quarterly,2014.333333,PHEV,0,ACEA
2015M05,quarterly,2014.333333,TOTAL,6788,ACEA
2015M06,quarterly,2014.416667,BEV,0,ACEA
2015M06,quarterly,2014.416667,HEV,63,ACEA
2015M06,quarterly,2014.416667,PHEV,0,ACEA
2015M06,quarterly,2014.416667,TOTAL,6788,ACEA
2015M07,quarterly,2014.5,BEV,0,ACEA
2015M07,quarterly,2014.5,HEV,83,ACEA
2015M07,quarterly,2014.5,PHEV,0,ACEA
2015M07,quarterly,2014.5,TOTAL,6788,ACEA
2015M08,quarterly,2014.583333,BEV,0,ACEA
2015M08,quarterly,2014.583333,HEV,83,ACEA
2015M08,quarterly,2014.583333,PHEV,0,ACEA
2015M08,quarterly,2014.583333,TOTAL,6788,ACEA
2015M09,quarterly,2014.666667,BEV,0,ACEA
2015M09,quarterly,2014.666667,HEV,83,ACEA
2015M09,quarterly,2014.666667,PHEV,0,ACEA
2015M09,quarterly,2014.666667,TOTAL,6788,ACEA
2015M10,quarterly,2014.75,BEV,0,ACEA
2015M10,quarterly,2014.75,HEV,80,ACEA
2015M10,quarterly,2014.75,PHEV,0,ACEA
2015M10,quarterly,2014.75,TOTAL,6788,ACEA
2015M11,quarterly,2014.833333,BEV,0,ACEA
2015M11,quarterly,2014.833333,HEV,80,ACEA
2015M11,quarterly,2014.833333,PHEV,0,ACEA
2015M11,quarterly,2014.833333,TOTAL,6788,ACEA
2015M12,quarterly,2014.916667,BEV,0,ACEA
2015M12,quarterly,2014.916667,HEV,80,ACEA
2015M12,quarterly,2014.916667,PHEV,0,ACEA
2015M12,quarterly,2014.916667,TOTAL,6788,ACEA
2016M01,quarterly,2015,BEV,17,ACEA
2016M01,quarterly,2015,HEV,93,ACEA
2016M01,quarterly,2015,PHEV,7,ACEA
2016M01,quarterly,2015,TOTAL,8449,ACEA
2016M02,quarterly,2015.083333,BEV,17,ACEA
2016M02,quarterly,2015.083333,HEV,93,ACEA
2016M02,quarterly,2015.083333,PHEV,7,ACEA
2016M02,quarterly,2015.083333,TOTAL,8449,ACEA
2016M03,quarterly,2015.166667,BEV,17,ACEA
2016M03,quarterly,2015.166667,HEV,93,ACEA
2016M03,quarterly,2015.166667,PHEV,7,ACEA
2016M03,quarterly,2015.166667,TOTAL,8449,ACEA
2016M04,quarterly,2015.25,BEV,15,ACEA
2016M04,quarterly,2015.25,HEV,139,ACEA
2016M04,quarterly,2015.25,PHEV,10,ACEA
2016M04,quarterly,2015.25,TOTAL,8449,ACEA
2016M05,quarterly,2015.333333,BEV,15,ACEA
2016M05,quarterly,2015.333333,HEV,139,ACEA
2016M05,quarterly,2015.333333,PHEV,10,ACEA
2016M05,quarterly,2015.333333,TOTAL,8449,ACEA
2016M06,quarterly,2015.416667,BEV,15,ACEA
2016M06,quarterly,2015.416667,HEV,139,ACEA
2016M06,quarterly,2015.416667,PHEV,10,ACEA
2016M06,quarterly,2015.416667,TOTAL,8449,ACEA
2016M07,quarterly,2015.5,BEV,8,ACEA
2016M07,quarterly,2015.5,HEV,150,ACEA
2016M07,quarterly,2015.5,PHEV,21,ACEA
2016M07,quarterly,2015.5,TOTAL,8449,ACEA
2016M08,quarterly,2015.583333,BEV,8,ACEA
2016M08,quarterly,2015.583333,HEV,150,ACEA
2016M08,quarterly,2015.583333,PHEV,21,ACEA
2016M08,quarterly,2015.583333,TOTAL,8449,ACEA
2016M09,quarterly,2015.666667,BEV,8,ACEA
2016M09,quarterly,2015.666667,HEV,150,ACEA
2016M09,quarterly,2015.666667,PHEV,21,ACEA
2016M09,quarterly,2015.666667,TOTAL,8449,ACEA
2016M10,quarterly,2015.75,BEV,17,ACEA
2016M10,quarterly,2015.75,HEV,177,ACEA
2016M10,quarterly,2015.75,PHEV,19,ACEA
2016M10,quarterly,2015.75,TOTAL,8449,ACEA
2016M11,quarterly,2015.833333,BEV,17,ACEA
2016M11,quarterly,2015.833333,HEV,177,ACEA
2016M11,quarterly,2015.833333,PHEV,19,ACEA
2016M11,quarterly,2015.833333,TOTAL,8449,ACEA
2016M12,quarterly,2015.916667,BEV,17,ACEA
2016M12,quarterly,2015.916667,HEV,177,ACEA
2016M12,quarterly,2015.916667,PHEV,19,ACEA
2016M12,quarterly,2015.916667,TOTAL,8449,ACEA
2017M01,quarterly,2016,BEV,40,ACEA
2017M01,quarterly,2016,HEV,237,ACEA
2017M01,quarterly,2016,PHEV,22,ACEA
2017M01,quarterly,2016,TOTAL,10175,ACEA
2017M02,quarterly,2016.083333,BEV,40,ACEA
2017M02,quarterly,2016.083333,HEV,237,ACEA
2017M02,quarterly,2016.083333,PHEV,22,ACEA
2017M02,quarterly,2016.083333,TOTAL,10175,ACEA
2017M03,quarterly,2016.166667,BEV,40,ACEA
2017M03,quarterly,2016.166667,HEV,237,ACEA
2017M03,quarterly,2016.166667,PHEV,22,ACEA
2017M03,quarterly,2016.166667,TOTAL,10175,ACEA
2017M04,quarterly,2016.25,BEV,56,ACEA
2017M04,quarterly,2016.25,HEV,335,ACEA
2017M04,quarterly,2016.25,PHEV,36,ACEA
2017M04,quarterly,2016.25,TOTAL,10175,ACEA
2017M05,quarterly,2016.333333,BEV,56,ACEA
2017M05,quarterly,2016.333333,HEV,335,ACEA
2017M05,quarterly,2016.333333,PHEV,36,ACEA
2017M05,quarterly,2016.333333,TOTAL,10175,ACEA
2017M06,quarterly,2016.416667,BEV,56,ACEA
2017M06,quarterly,2016.416667,HEV,335,ACEA
2017M06,quarterly,2016.416667,PHEV,36,ACEA
2017M06,quarterly,2016.416667,TOTAL,10175,ACEA
2017M07,quarterly,2016.5,BEV,50,ACEA
2017M07,quarterly,2016.5,HEV,276,ACEA
2017M07,quarterly,2016.5,PHEV,40,ACEA
2017M07,quarterly,2016.5,TOTAL,10175,ACEA
2017M08,quarterly,2016.583333,BEV,50,ACEA
2017M08,quarterly,2016.583333,HEV,276,ACEA
2017M08,quarterly,2016.583333,PHEV,40,ACEA
2017M08,quarterly,2016.583333,TOTAL,10175,ACEA
2017M09,quarterly,2016.666667,BEV,50,ACEA
2017M09,quarterly,2016.666667,HEV,276,ACEA
2017M09,quarterly,2016.666667,PHEV,40,ACEA
2017M09,quarterly,2016.666667,TOTAL,10175,ACEA
2017M10,quarterly,2016.75,BEV,103,ACEA
2017M10,quarterly,2016.75,HEV,331,ACEA
2017M10,quarterly,2016.75,PHEV,50,ACEA
2017M10,quarterly,2016.75,TOTAL,10175,ACEA
2017M11,quarterly,2016.833333,BEV,103,ACEA
2017M11,quarterly,2016.833333,HEV,331,ACEA
2017M11,quarterly,2016.833333,PHEV,50,ACEA
2017M11,quarterly,2016.833333,TOTAL,10175,ACEA
2017M12,quarterly,2016.916667,BEV,103,ACEA
2017M12,quarterly,2016.916667,HEV,331,ACEA
2017M12,quarterly,2016.916667,PHEV,50,ACEA
2017M12,quarterly,2016.916667,TOTAL,10175,ACEA
2018M01,monthly,2017,BEV,39,ACEA
2018M01,monthly,2017,DIESEL,2486,ACEA
2018M01,monthly,2017,HEV,374,ACEA
2018M01,monthly,2017,OTHER,4,ACEA
2018M01,monthly,2017,PETROL,7511,ACEA
2018M01,monthly,2017,PHEV,47,ACEA
2018M01,monthly,2017,TOTAL,10461,ACEA
2018M02,monthly,2017.083333,BEV,70,ACEA
2018M02,monthly,2017.083333,DIESEL,2486,ACEA
2018M02,monthly,2017.083333,HEV,374,ACEA
2018M02,monthly,2017.083333,OTHER,4,ACEA
2018M02,monthly,2017.083333,PETROL,7511,ACEA
2018M02,monthly,2017.083333,PHEV,61,ACEA
2018M02,monthly,2017.083333,TOTAL,10506,ACEA
2018M03,monthly,2017.166667,BEV,202,ACEA
2018M03,monthly,2017.166667,DIESEL,2486,ACEA
2018M03,monthly,2017.166667,HEV,374,ACEA
2018M03,monthly,2017.166667,OTHER,4,ACEA
2018M03,monthly,2017.166667,PETROL,7511,ACEA
2018M03,monthly,2017.166667,PHEV,62,ACEA
2018M03,monthly,2017.166667,TOTAL,10639,ACEA
2018M04,monthly,2017.25,BEV,113,ACEA
2018M04,monthly,2017.25,DIESEL,3053,ACEA
2018M04,monthly,2017.25,HEV,480,ACEA
2018M04,monthly,2017.25,OTHER,4,ACEA
2018M04,monthly,2017.25,PETROL,9321,ACEA
2018M04,monthly,2017.25,PHEV,70,ACEA
2018M04,monthly,2017.25,TOTAL,13041,ACEA
2018M05,monthly,2017.333333,BEV,134,ACEA
2018M05,monthly,2017.333333,DIESEL,3053,ACEA
2018M05,monthly,2017.333333,HEV,480,ACEA
2018M05,monthly,2017.333333,OTHER,4,ACEA
2018M05,monthly,2017.333333,PETROL,9321,ACEA
2018M05,monthly,2017.333333,PHEV,70,ACEA
2018M05,monthly,2017.333333,TOTAL,13062,ACEA
2018M06,monthly,2017.416667,BEV,53,ACEA
2018M06,monthly,2017.416667,DIESEL,3053,ACEA
2018M06,monthly,2017.416667,HEV,480,ACEA
2018M06,monthly,2017.416667,OTHER,4,ACEA
