period,interval,year,category,registrations,source
2018M01,monthly,2017,BEV,40,ACEA
2018M01,monthly,2017,DIESEL,0,ACEA
2018M01,monthly,2017,HEV,0,ACEA
2018M01,monthly,2017,OTHER,0,ACEA
2018M01,monthly,2017,PETROL,0,ACEA
2018M01,monthly,2017,PHEV,261,ACEA
2018M01,monthly,2017,TOTAL,1623,ACEA
2018M02,monthly,2017.083333,BEV,39,ACEA
2018M02,monthly,2017.083333,DIESEL,0,ACEA
2018M02,monthly,2017.083333,HEV,0,ACEA
2018M02,monthly,2017.083333,OTHER,0,ACEA
2018M02,monthly,2017.083333,PETROL,0,ACEA
2018M02,monthly,2017.083333,PHEV,176,ACEA
2018M02,monthly,2017.083333,TOTAL,1159,ACEA
2018M03,monthly,2017.166667,BEV,50,ACEA
2018M03,monthly,2017.166667,DIESEL,0,ACEA
2018M03,monthly,2017.166667,HEV,0,ACEA
2018M03,monthly,2017.166667,OTHER,0,ACEA
2018M03,monthly,2017.166667,PETROL,0,ACEA
2018M03,monthly,2017.166667,PHEV,168,ACEA
2018M03,monthly,2017.166667,TOTAL,1834,ACEA
2018M04,monthly,2017.25,BEV,56,ACEA
2018M04,monthly,2017.25,DIESEL,0,ACEA
2018M04,monthly,2017.25,HEV,0,ACEA
2018M04,monthly,2017.25,OTHER,0,ACEA
2018M04,monthly,2017.25,PETROL,0,ACEA
2018M04,monthly,2017.25,PHEV,250,ACEA
2018M04,monthly,2017.25,TOTAL,1812,ACEA
2018M05,monthly,2017.333333,BEV,85,ACEA
2018M05,monthly,2017.333333,DIESEL,0,ACEA
2018M05,monthly,2017.333333,HEV,0,ACEA
2018M05,monthly,2017.333333,OTHER,0,ACEA
2018M05,monthly,2017.333333,PETROL,0,ACEA
2018M05,monthly,2017.333333,PHEV,289,ACEA
2018M05,monthly,2017.333333,TOTAL,2858,ACEA
2018M06,monthly,2017.416667,BEV,69,ACEA
2018M06,monthly,2017.416667,DIESEL,0,ACEA
2018M06,monthly,2017.416667,HEV,0,ACEA
2018M06,monthly,2017.416667,OTHER,0,ACEA
2018M06,monthly,2017.416667,PETROL,0,ACEA
2018M06,monthly,2017.416667,PHEV,300,ACEA
2018M06,monthly,2017.416667,TOTAL,1597,ACEA
2018M07,monthly,2017.5,BEV,76,ACEA
2018M07,monthly,2017.5,DIESEL,0,ACEA
2018M07,monthly,2017.5,HEV,0,ACEA
2018M07,monthly,2017.5,OTHER,0,ACEA
2018M07,monthly,2017.5,PETROL,0,ACEA
2018M07,monthly,2017.5,PHEV,316,ACEA
2018M07,monthly,2017.5,TOTAL,1689,ACEA
2018M08,monthly,2017.583333,BEV,40,ACEA
2018M08,monthly,2017.583333,DIESEL,0,ACEA
2018M08,monthly,2017.583333,HEV,0,ACEA
2018M08,monthly,2017.583333,OTHER,0,ACEA
2018M08,monthly,2017.583333,PETROL,0,ACEA
2018M08,monthly,2017.583333,PHEV,285,ACEA
2018M08,monthly,2017.583333,TOTAL,1464,ACEA
2018M09,monthly,2017.666667,BEV,64,ACEA
2018M09,monthly,2017.666667,DIESEL,0,ACEA
2018M09,monthly,2017.666667,HEV,0,ACEA
2018M09,monthly,2017.666667,OTHER,0,ACEA
2018M09,monthly,2017.666667,PETROL,0,ACEA
2018M09,monthly,2017.666667,PHEV,179,ACEA
2018M09,monthly,2017.666667,TOTAL,935,ACEA
2018M10,monthly,2017.75,BEV,95,ACEA
2018M10,monthly,2017.75,DIESEL,0,ACEA
2018M10,monthly,2017.75,HEV,0,ACEA
2018M10,monthly,2017.75,OTHER,0,ACEA
2018M10,monthly,2017.75,PETROL,0,ACEA
2018M10,monthly,2017.75,PHEV,172,ACEA
2018M10,monthly,2017.75,TOTAL,804,ACEA
2018M11,monthly,2017.833333,BEV,102,ACEA
2018M11,monthly,2017.833333,DIESEL,0,ACEA
2018M11,monthly,2017.833333,HEV,0,ACEA
2018M11,monthly,2017.833333,OTHER,0,ACEA
2018M11,monthly,2017.833333,PETROL,0,ACEA
2018M11,monthly,2017.833333,PHEV,171,ACEA
2018M11,monthly,2017.833333,TOTAL,722,ACEA
2018M12,monthly,2017.916667,BEV,52,ACEA
2018M12,monthly,2017.916667,DIESEL,0,ACEA
2018M12,monthly,2017.916667,HEV,0,ACEA
2018M12,monthly,2017.916667,OTHER,0,ACEA
2018M12,monthly,2017.916667,PETROL,0,ACEA
2018M12,monthly,2017.916667,PHEV,102,ACEA
2018M12,monthly,2017.916667,TOTAL,481,ACEA
2019M01,monthly,2018,BEV,102,ACEA
2019M01,monthly,2018,DIESEL,273.2943771,ACEA
2019M01,monthly,2018,HEV,50.36824697,ACEA
