period,interval,year,category,registrations,source
2010M01,monthly,2009,BEV,10,vahan.parivahan.gov.in
2010M01,monthly,2009,DIESEL,57645,vahan.parivahan.gov.in
2010M01,monthly,2009,HEV,5,vahan.parivahan.gov.in
2010M01,monthly,2009,OTHER,372,vahan.parivahan.gov.in
2010M01,monthly,2009,PETROL,118543,vahan.parivahan.gov.in
2010M01,monthly,2009,PHEV,0,vahan.parivahan.gov.in
2010M01,monthly,2009,TOTAL,176575,vahan.parivahan.gov.in
2010M02,monthly,2009.083333,BEV,12,vahan.parivahan.gov.in
2010M02,monthly,2009.083333,DIESEL,56126,vahan.parivahan.gov.in
2010M02,monthly,2009.083333,HEV,2,vahan.parivahan.gov.in
2010M02,monthly,2009.083333,OTHER,305,vahan.parivahan.gov.in
2010M02,monthly,2009.083333,PETROL,105404,vahan.parivahan.gov.in
2010M02,monthly,2009.083333,PHEV,0,vahan.parivahan.gov.in
2010M02,monthly,2009.083333,TOTAL,161849,vahan.parivahan.gov.in
2010M03,monthly,2009.166667,BEV,23,vahan.parivahan.gov.in
2010M03,monthly,2009.166667,DIESEL,67639,vahan.parivahan.gov.in
2010M03,monthly,2009.166667,HEV,3,vahan.parivahan.gov.in
2010M03,monthly,2009.166667,OTHER,368,vahan.parivahan.gov.in
2010M03,monthly,2009.166667,PETROL,131237,vahan.parivahan.gov.in
2010M03,monthly,2009.166667,PHEV,0,vahan.parivahan.gov.in
2010M03,monthly,2009.166667,TOTAL,199270,vahan.parivahan.gov.in
2010M04,monthly,2009.25,BEV,13,vahan.parivahan.gov.in
2010M04,monthly,2009.25,DIESEL,52922,vahan.parivahan.gov.in
2010M04,monthly,2009.25,HEV,2,vahan.parivahan.gov.in
2010M04,monthly,2009.25,OTHER,311,vahan.parivahan.gov.in
2010M04,monthly,2009.25,PETROL,94596,vahan.parivahan.gov.in
2010M04,monthly,2009.25,PHEV,0,vahan.parivahan.gov.in
2010M04,monthly,2009.25,TOTAL,147844,vahan.parivahan.gov.in
2010M05,monthly,2009.333333,BEV,16,vahan.parivahan.gov.in
2010M05,monthly,2009.333333,DIESEL,61642,vahan.parivahan.gov.in
2010M05,monthly,2009.333333,HEV,1,vahan.parivahan.gov.in
2010M05,monthly,2009.333333,OTHER,350,vahan.parivahan.gov.in
2010M05,monthly,2009.333333,PETROL,111323,vahan.parivahan.gov.in
2010M05,monthly,2009.333333,PHEV,0,vahan.parivahan.gov.in
