period,interval,year,category,registrations,source
2010M01,monthly,2009,BEV,0,robbieandrew.github.io / gaikindo.io
2010M01,monthly,2009,DIESEL,2922,robbieandrew.github.io / gaikindo.io
2010M01,monthly,2009,HEV,0,robbieandrew.github.io / gaikindo.io
2010M01,monthly,2009,OTHER,0,robbieandrew.github.io / gaikindo.io
2010M01,monthly,2009,PETROL,35644,robbieandrew.github.io / gaikindo.io
2010M01,monthly,2009,PHEV,0,robbieandrew.github.io / gaikindo.io
2010M01,monthly,2009,TOTAL,38566,robbieandrew.github.io / gaikindo.io
2010M02,monthly,2009.083333,BEV,0,robbieandrew.github.io / gaikindo.io
2010M02,monthly,2009.083333,DIESEL,2714,robbieandrew.github.io / gaikindo.io
2010M02,monthly,2009.083333,HEV,0,robbieandrew.github.io / gaikindo.io
2010M02,monthly,2009.083333,OTHER,0,robbieandrew.github.io / gaikindo.io
2010M02,monthly,2009.083333,PETROL,36591,robbieandrew.github.io / gaikindo.io
2010M02,monthly,2009.083333,PHEV,0,robbieandrew.github.io / gaikindo.io
2010M02,monthly,2009.083333,TOTAL,39305,robbieandrew.github.io / gaikindo.io
2010M03,monthly,2009.166667,BEV,0,robbieandrew.github.io / gaikindo.io
2010M03,monthly,2009.166667,DIESEL,2866,robbieandrew.github.io / gaikindo.io
2010M03,monthly,2009.166667,HEV,0,robbieandrew.github.io / gaikindo.io
2010M03,monthly,2009.166667,OTHER,0,robbieandrew.github.io / gaikindo.io
2010M03,monthly,2009.166667,PETROL,43436,robbieandrew.github.io / gaikindo.io
2010M03,monthly,2009.166667,PHEV,0,robbieandrew.github.io / gaikindo.io
2010M03,monthly,2009.166667,TOTAL,46302,robbieandrew.github.io / gaikindo.io
2010M04,monthly,2009.25,BEV,0,robbieandrew.github.io / gaikindo.io
2010M04,monthly,2009.25,DIESEL,2823,robbieandrew.github.io / gaikindo.io
2010M04,monthly,2009.25,HEV,0,robbieandrew.github.io / gaikindo.io
2010M04,monthly,2009.25,OTHER,0,robbieandrew.github.io / gaikindo.io
2010M04,monthly,2009.25,PETROL,42684,robbieandrew.github.io / gaikindo.io
2010M04,monthly,2009.25,PHEV,0,robbieandrew.github.io / gaikindo.io
2010M04,monthly,2009.25,TOTAL,45507,robbieandrew.github.io / gaikindo.io
2010M05,monthly,2009.333333,BEV,0,robbieandrew.github.io / gaikindo.io
2010M05,monthly,2009.333333,DIESEL,2570,robbieandrew.github.io / gaikindo.io
2010M05,monthly,2009.333333,HEV,0,robbieandrew.github.io / gaikindo.io
2010M05,monthly,2009.333333,OTHER,0,robbieandrew.github.io / gaikindo.io
2010M05,monthly,2009.333333,PETROL,38710,robbieandrew.github.io / gaikindo.io
2010M05,monthly,2009.333333,PHEV,0,robbieandrew.github.io / gaikindo.io
2010M05,monthly,2009.333333,TOTAL,41280,robbieandrew.github.io / gaikindo.io
2010M06,monthly,2009.416667,BEV,0,robbieandrew.github.io / gaikindo.io
2010M06,monthly,2009.416667,DIESEL,2539,robbieandrew.github.io / gaikindo.io
2010M06,monthly,2009.416667,HEV,0,robbieandrew.github.io / gaikindo.io
