period,interval,year,category,registrations,source
2008M01,monthly,2007,BEV,3,stats.simi.ie
2008M01,monthly,2007,DIESEL,14282,stats.simi.ie
2008M01,monthly,2007,HEV,343,stats.simi.ie
2008M01,monthly,2007,OTHER,0,stats.simi.ie
2008M01,monthly,2007,PETROL,32647,stats.simi.ie
2008M01,monthly,2007,PHEV,0,stats.simi.ie
2008M01,monthly,2007,TOTAL,47275,stats.simi.ie
2008M02,monthly,2007.083333,BEV,1,stats.simi.ie
2008M02,monthly,2007.083333,DIESEL,7017,stats.simi.ie
2008M02,monthly,2007.083333,HEV,159,stats.simi.ie
2008M02,monthly,2007.083333,OTHER,0,stats.simi.ie
2008M02,monthly,2007.083333,PETROL,16810,stats.simi.ie
2008M02,monthly,2007.083333,PHEV,0,stats.simi.ie
2008M02,monthly,2007.083333,TOTAL,23987,stats.simi.ie
2008M03,monthly,2007.166667,BEV,1,stats.simi.ie
2008M03,monthly,2007.166667,DIESEL,6248,stats.simi.ie
2008M03,monthly,2007.166667,HEV,147,stats.simi.ie
2008M03,monthly,2007.166667,OTHER,0,stats.simi.ie
2008M03,monthly,2007.166667,PETROL,15056,stats.simi.ie
2008M03,monthly,2007.166667,PHEV,0,stats.simi.ie
2008M03,monthly,2007.166667,TOTAL,21452,stats.simi.ie
2008M04,monthly,2007.25,BEV,0,stats.simi.ie
2008M04,monthly,2007.25,DIESEL,4000,stats.simi.ie
2008M04,monthly,2007.25,HEV,115,stats.simi.ie
2008M04,monthly,2007.25,OTHER,0,stats.simi.ie
2008M04,monthly,2007.25,PETROL,9146,stats.simi.ie
2008M04,monthly,2007.25,PHEV,0,stats.simi.ie
2008M04,monthly,2007.25,TOTAL,13261,stats.simi.ie
2008M05,monthly,2007.333333,BEV,0,stats.simi.ie
2008M05,monthly,2007.333333,DIESEL,2549,stats.simi.ie
2008M05,monthly,2007.333333,HEV,64,stats.simi.ie
2008M05,monthly,2007.333333,OTHER,0,stats.simi.ie
2008M05,monthly,2007.333333,PETROL,7520,stats.simi.ie
2008M05,monthly,2007.333333,PHEV,0,stats.simi.ie
2008M05,monthly,2007.333333,TOTAL,10133,stats.simi.ie
2008M06,monthly,2007.416667,BEV,1,stats.simi.ie
2008M06,monthly,2007.416667,DIESEL,1628,stats.simi.ie
2008M06,monthly,2007.416667,HEV,64,stats.simi.ie
2008M06,monthly,2007.416667,OTHER,0,stats.simi.ie
2008M06,monthly,2007.416667,PETROL,6191,stats.simi.ie
2008M06,monthly,2007.416667,PHEV,0,stats.simi.ie
2008M06,monthly,2007.416667,TOTAL,7884,stats.simi.ie
2008M07,monthly,2007.5,BEV,0,stats.simi.ie
2008M07,monthly,2007.5,DIESEL,10140,stats.simi.ie
2008M07,monthly,2007.5,HEV,210,stats.simi.ie
2008M07,monthly,2007.5,OTHER,0,stats.simi.ie
2008M07,monthly,2007.5,PETROL,5994,stats.simi.ie
2008M07,monthly,2007.5,PHEV,0,stats.simi.ie
2008M07,monthly,2007.5,TOTAL,16344,stats.simi.ie
2008M08,monthly,2007.583333,BEV,0,stats.simi.ie
2008M08,monthly,2007.583333,DIESEL,3081,stats.simi.ie
2008M08,monthly,2007.583333,HEV,52,stats.simi.ie
2008M08,monthly,2007.583333,OTHER,0,stats.simi.ie
2008M08,monthly,2007.583333,PETROL,2107,stats.simi.ie
2008M08,monthly,2007.583333,PHEV,0,stats.simi.ie
2008M08,monthly,2007.583333,TOTAL,5240,stats.simi.ie
2008M09,monthly,2007.666667,BEV,0,stats.simi.ie
2008M09,monthly,2007.666667,DIESEL,2048,stats.simi.ie
2008M09,monthly,2007.666667,HEV,40,stats.simi.ie
2008M09,monthly,2007.666667,OTHER,0,stats.simi.ie
2008M09,monthly,2007.666667,PETROL,1366,stats.simi.ie
2008M09,monthly,2007.666667,PHEV,0,stats.simi.ie
2008M09,monthly,2007.666667,TOTAL,3454,stats.simi.ie
2008M10,monthly,2007.75,BEV,0,stats.simi.ie
2008M10,monthly,2007.75,DIESEL,974,stats.simi.ie
2008M10,monthly,2007.75,HEV,22,stats.simi.ie
2008M10,monthly,2007.75,OTHER,0,stats.simi.ie
2008M10,monthly,2007.75,PETROL,751,stats.simi.ie
2008M10,monthly,2007.75,PHEV,0,stats.simi.ie
2008M10,monthly,2007.75,TOTAL,1747,stats.simi.ie
2008M11,monthly,2007.833333,BEV,0,stats.simi.ie
2008M11,monthly,2007.833333,DIESEL,337,stats.simi.ie
2008M11,monthly,2007.833333,HEV,5,stats.simi.ie
2008M11,monthly,2007.833333,OTHER,0,stats.simi.ie
2008M11,monthly,2007.833333,PETROL,302,stats.simi.ie
2008M11,monthly,2007.833333,PHEV,0,stats.simi.ie
2008M11,monthly,2007.833333,TOTAL,644,stats.simi.ie
2008M12,monthly,2007.916667,BEV,0,stats.simi.ie
2008M12,monthly,2007.916667,DIESEL,102,stats.simi.ie
2008M12,monthly,2007.916667,HEV,0,stats.simi.ie
2008M12,monthly,2007.916667,OTHER,0,stats.simi.ie
2008M12,monthly,2007.916667,PETROL,86,stats.simi.ie
2008M12,monthly,2007.916667,PHEV,0,stats.simi.ie
2008M12,monthly,2007.916667,TOTAL,188,stats.simi.ie
2009M01,monthly,2008,BEV,0,stats.simi.ie
2009M01,monthly,2008,DIESEL,9193,stats.simi.ie
2009M01,monthly,2008,HEV,73,stats.simi.ie
2009M01,monthly,2008,OTHER,0,stats.simi.ie
2009M01,monthly,2008,PETROL,6534,stats.simi.ie
2009M01,monthly,2008,PHEV,0,stats.simi.ie
2009M01,monthly,2008,TOTAL,15800,stats.simi.ie
2009M02,monthly,2008.083333,BEV,5,stats.simi.ie
2009M02,monthly,2008.083333,DIESEL,5093,stats.simi.ie
2009M02,monthly,2008.083333,HEV,19,stats.simi.ie
2009M02,monthly,2008.083333,OTHER,0,stats.simi.ie
2009M02,monthly,2008.083333,PETROL,3766,stats.simi.ie
2009M02,monthly,2008.083333,PHEV,0,stats.simi.ie
2009M02,monthly,2008.083333,TOTAL,8883,stats.simi.ie
2009M03,monthly,2008.166667,BEV,0,stats.simi.ie
2009M03,monthly,2008.166667,DIESEL,4365,stats.simi.ie
2009M03,monthly,2008.166667,HEV,20,stats.simi.ie
2009M03,monthly,2008.166667,OTHER,0,stats.simi.ie
2009M03,monthly,2008.166667,PETROL,3379,stats.simi.ie
2009M03,monthly,2008.166667,PHEV,0,stats.simi.ie
2009M03,monthly,2008.166667,TOTAL,7764,stats.simi.ie
2009M04,monthly,2008.25,BEV,0,stats.simi.ie
2009M04,monthly,2008.25,DIESEL,2527,stats.simi.ie
2009M04,monthly,2008.25,HEV,25,stats.simi.ie
2009M04,monthly,2008.25,OTHER,0,stats.simi.ie
2009M04,monthly,2008.25,PETROL,1821,stats.simi.ie
2009M04,monthly,2008.25,PHEV,0,stats.simi.ie
2009M04,monthly,2008.25,TOTAL,4373,stats.simi.ie
2009M05,monthly,2008.333333,BEV,0,stats.simi.ie
2009M05,monthly,2008.333333,DIESEL,2662,stats.simi.ie
2009M05,monthly,2008.333333,HEV,37,stats.simi.ie
2009M05,monthly,2008.333333,OTHER,0,stats.simi.ie
