period,interval,year,category,registrations,source
2015M01,quarterly,2014,BEV,143,unrae.it
2015M01,quarterly,2014,HEV,290.4757028,unrae.it
2015M01,quarterly,2014,PHEV,1877.524297,unrae.it
2015M01,quarterly,2014,TOTAL,132506,unrae.it
2015M02,quarterly,2014.083333,BEV,115,unrae.it
2015M02,quarterly,2014.083333,HEV,255.3720892,unrae.it
2015M02,quarterly,2014.083333,PHEV,1650.627911,unrae.it
2015M02,quarterly,2014.083333,TOTAL,135559,unrae.it
2015M03,quarterly,2014.166667,BEV,327,unrae.it
2015M03,quarterly,2014.166667,HEV,327.1871154,unrae.it
2015M03,quarterly,2014.166667,PHEV,2114.812885,unrae.it
2015M03,quarterly,2014.166667,TOTAL,162369,unrae.it
2015M04,quarterly,2014.25,BEV,91,unrae.it
2015M04,quarterly,2014.25,HEV,269.8422811,unrae.it
2015M04,quarterly,2014.25,PHEV,1744.157719,unrae.it
2015M04,quarterly,2014.25,TOTAL,149054,unrae.it
2015M05,quarterly,2014.333333,BEV,92,unrae.it
2015M05,quarterly,2014.333333,HEV,289.53782,unrae.it
2015M05,quarterly,2014.333333,PHEV,1871.46218,unrae.it
2015M05,quarterly,2014.333333,TOTAL,147087,unrae.it
2015M06,quarterly,2014.416667,BEV,151,unrae.it
2015M06,quarterly,2014.416667,HEV,310.0372584,unrae.it
2015M06,quarterly,2014.416667,PHEV,2003.962742,unrae.it
2015M06,quarterly,2014.416667,TOTAL,147029,unrae.it
2015M07,quarterly,2014.5,BEV,90,unrae.it
2015M07,quarterly,2014.5,HEV,223.4840739,unrae.it
2015M07,quarterly,2014.5,PHEV,1444.515926,unrae.it
2015M07,quarterly,2014.5,TOTAL,132255,unrae.it
2015M08,quarterly,2014.583333,BEV,43,unrae.it
2015M08,quarterly,2014.583333,HEV,111.7420369,unrae.it
2015M08,quarterly,2014.583333,PHEV,722.2579631,unrae.it
2015M08,quarterly,2014.583333,TOTAL,59556,unrae.it
2015M09,quarterly,2014.666667,BEV,80,unrae.it
2015M09,quarterly,2014.666667,HEV,352.1080013,unrae.it
2015M09,quarterly,2014.666667,PHEV,2275.891999,unrae.it
2015M09,quarterly,2014.666667,TOTAL,131052,unrae.it
2015M10,quarterly,2014.75,BEV,90,unrae.it
2015M10,quarterly,2014.75,HEV,324.6414335,unrae.it
2015M10,quarterly,2014.75,PHEV,2098.358567,unrae.it
2015M10,quarterly,2014.75,TOTAL,134008,unrae.it
2015M11,quarterly,2014.833333,BEV,88,unrae.it
2015M11,quarterly,2014.833333,HEV,328.1249982,unrae.it
2015M11,quarterly,2014.833333,PHEV,2120.875002,unrae.it
2015M11,quarterly,2014.833333,TOTAL,135258,unrae.it
2015M12,quarterly,2014.916667,BEV,115,unrae.it
2015M12,quarterly,2014.916667,HEV,317.5403208,unrae.it
2015M12,quarterly,2014.916667,PHEV,2052.459679,unrae.it
2015M12,quarterly,2014.916667,TOTAL,112068,unrae.it
2016M01,quarterly,2015,BEV,115,unrae.it
2016M01,quarterly,2015,HEV,443.4845831,unrae.it
2016M01,quarterly,2015,PHEV,2866.515417,unrae.it
2016M01,quarterly,2015,TOTAL,157594,unrae.it
2016M02,quarterly,2015.083333,BEV,93,unrae.it
2016M02,quarterly,2015.083333,HEV,480.329979,unrae.it
2016M02,quarterly,2015.083333,PHEV,3104.670021,unrae.it
2016M02,quarterly,2015.083333,TOTAL,174778,unrae.it
2016M03,quarterly,2015.166667,BEV,199,unrae.it
2016M03,quarterly,2015.166667,HEV,449.1118799,unrae.it
2016M03,quarterly,2015.166667,PHEV,2902.88812,unrae.it
