period,interval,year,category,registrations,source
2012M01,quarterly,2011,BEV,916.6666667,JADA /JAMA
2012M01,quarterly,2011,OTHER,237107,JADA /JAMA
2012M01,quarterly,2011,PHEV,1083.3333333333333,JADA /JAMA
2012M01,quarterly,2011,TOTAL,239107,JADA /JAMA
2012M02,quarterly,2011.083333,BEV,916.6666667,JADA /JAMA
2012M02,quarterly,2011.083333,OTHER,299791,JADA /JAMA
2012M02,quarterly,2011.083333,PHEV,1083.3333333333333,JADA /JAMA
2012M02,quarterly,2011.083333,TOTAL,301791,JADA /JAMA
2012M03,quarterly,2011.166667,BEV,916.6666667,JADA /JAMA
2012M03,quarterly,2011.166667,OTHER,441727,JADA /JAMA
2012M03,quarterly,2011.166667,PHEV,1083.3333333333333,JADA /JAMA
2012M03,quarterly,2011.166667,TOTAL,443727,JADA /JAMA
2012M04,quarterly,2011.25,BEV,916.6666667,JADA /JAMA
2012M04,quarterly,2011.25,OTHER,185036,JADA /JAMA
2012M04,quarterly,2011.25,PHEV,1083.3333333333333,JADA /JAMA
2012M04,quarterly,2011.25,TOTAL,187036,JADA /JAMA
2012M05,quarterly,2011.333333,BEV,916.6666667,JADA /JAMA
2012M05,quarterly,2011.333333,OTHER,208818,JADA /JAMA
2012M05,quarterly,2011.333333,PHEV,1083.3333333333333,JADA /JAMA
2012M05,quarterly,2011.333333,TOTAL,210818,JADA /JAMA
2012M06,quarterly,2011.416667,BEV,916.6666667,JADA /JAMA
2012M06,quarterly,2011.416667,OTHER,280804,JADA /JAMA
2012M06,quarterly,2011.416667,PHEV,1083.3333333333333,JADA /JAMA
2012M06,quarterly,2011.416667,TOTAL,282804,JADA /JAMA
2012M07,quarterly,2011.5,BEV,916.6666667,JADA /JAMA
2012M07,quarterly,2011.5,OTHER,293581,JADA /JAMA
2012M07,quarterly,2011.5,PHEV,1083.3333333333333,JADA /JAMA
2012M07,quarterly,2011.5,TOTAL,295581,JADA /JAMA
2012M08,quarterly,2011.583333,BEV,916.6666667,JADA /JAMA
2012M08,quarterly,2011.583333,OTHER,203012,JADA /JAMA
2012M08,quarterly,2011.583333,PHEV,1083.3333333333333,JADA /JAMA
2012M08,quarterly,2011.583333,TOTAL,205012,JADA /JAMA
2012M09,quarterly,2011.666667,BEV,916.6666667,JADA /JAMA
2012M09,quarterly,2011.666667,OTHER,250187,JADA /JAMA
2012M09,quarterly,2011.666667,PHEV,1083.3333333333333,JADA /JAMA
2012M09,quarterly,2011.666667,TOTAL,252187,JADA /JAMA
2012M10,quarterly,2011.75,BEV,916.6666667,JADA /JAMA
2012M10,quarterly,2011.75,OTHER,194466,JADA /JAMA
2012M10,quarterly,2011.75,PHEV,1083.3333333333333,JADA /JAMA
2012M10,quarterly,2011.75,TOTAL,196466,JADA /JAMA
2012M11,quarterly,2011.833333,BEV,916.6666667,JADA /JAMA
2012M11,quarterly,2011.833333,OTHER,211762,JADA /JAMA
2012M11,quarterly,2011.833333,PHEV,1083.3333333333333,JADA /JAMA
2012M11,quarterly,2011.833333,TOTAL,213762,JADA /JAMA
2012M12,quarterly,2011.916667,BEV,916.6666667,JADA /JAMA
2012M12,quarterly,2011.916667,OTHER,184360,JADA /JAMA
2012M12,quarterly,2011.916667,PHEV,1083.3333333333333,JADA /JAMA
2012M12,quarterly,2011.916667,TOTAL,186360,JADA /JAMA
2013M01,quarterly,2012,BEV,1250,JADA /JAMA
2013M01,quarterly,2012,OTHER,204128.3333,JADA /JAMA
2013M01,quarterly,2012,PHEV,1166.6666666666667,JADA /JAMA
2013M01,quarterly,2012,TOTAL,206545,JADA /JAMA
2013M02,quarterly,2012.083333,BEV,1250,JADA /JAMA
2013M02,quarterly,2012.083333,OTHER,259202.3333,JADA /JAMA
2013M02,quarterly,2012.083333,PHEV,1166.6666666666667,JADA /JAMA
2013M02,quarterly,2012.083333,TOTAL,261619,JADA /JAMA
2013M03,quarterly,2012.166667,BEV,1250,JADA /JAMA
2013M03,quarterly,2012.166667,OTHER,367286.3333,JADA /JAMA
2013M03,quarterly,2012.166667,PHEV,1166.6666666666667,JADA /JAMA
2013M03,quarterly,2012.166667,TOTAL,369703,JADA /JAMA
2013M04,quarterly,2012.25,BEV,1250,JADA /JAMA
2013M04,quarterly,2012.25,OTHER,185202.3333,JADA /JAMA
2013M04,quarterly,2012.25,PHEV,1166.6666666666667,JADA /JAMA
2013M04,quarterly,2012.25,TOTAL,187619,JADA /JAMA
2013M05,quarterly,2012.333333,BEV,1250,JADA /JAMA
2013M05,quarterly,2012.333333,OTHER,189559.3333,JADA /JAMA
2013M05,quarterly,2012.333333,PHEV,1166.6666666666667,JADA /JAMA
2013M05,quarterly,2012.333333,TOTAL,191976,JADA /JAMA
2013M06,quarterly,2012.416667,BEV,1250,JADA /JAMA
2013M06,quarterly,2012.416667,OTHER,230759.3333,JADA /JAMA
2013M06,quarterly,2012.416667,PHEV,1166.6666666666667,JADA /JAMA
2013M06,quarterly,2012.416667,TOTAL,233176,JADA /JAMA
2013M07,quarterly,2012.5,BEV,1250,JADA /JAMA
2013M07,quarterly,2012.5,OTHER,247482.3333,JADA /JAMA
2013M07,quarterly,2012.5,PHEV,1166.6666666666667,JADA /JAMA
2013M07,quarterly,2012.5,TOTAL,249899,JADA /JAMA
2013M08,quarterly,2012.583333,BEV,1250,JADA /JAMA
2013M08,quarterly,2012.583333,OTHER,186450.3333,JADA /JAMA
2013M08,quarterly,2012.583333,PHEV,1166.6666666666667,JADA /JAMA
2013M08,quarterly,2012.583333,TOTAL,188867,JADA /JAMA
2013M09,quarterly,2012.666667,BEV,1250,JADA /JAMA
2013M09,quarterly,2012.666667,OTHER,281692.3333,JADA /JAMA
2013M09,quarterly,2012.666667,PHEV,1166.6666666666667,JADA /JAMA
2013M09,quarterly,2012.666667,TOTAL,284109,JADA /JAMA
2013M10,quarterly,2012.75,BEV,1250,JADA /JAMA
2013M10,quarterly,2012.75,OTHER,230505.3333,JADA /JAMA
2013M10,quarterly,2012.75,PHEV,1166.6666666666667,JADA /JAMA
2013M10,quarterly,2012.75,TOTAL,232922,JADA /JAMA
2013M11,quarterly,2012.833333,BEV,1250,JADA /JAMA
2013M11,quarterly,2012.833333,OTHER,240080.3333,JADA /JAMA
2013M11,quarterly,2012.833333,PHEV,1166.6666666666667,JADA /JAMA
2013M11,quarterly,2012.833333,TOTAL,242497,JADA /JAMA
2013M12,quarterly,2012.916667,BEV,1250,JADA /JAMA
2013M12,quarterly,2012.916667,OTHER,220762.3333,JADA /JAMA
2013M12,quarterly,2012.916667,PHEV,1166.6666666666667,JADA /JAMA
2013M12,quarterly,2012.916667,TOTAL,223179,JADA /JAMA
2014M01,quarterly,2013,BEV,1333.333333,JADA /JAMA
2014M01,quarterly,2013,OTHER,261611.3333,JADA /JAMA
2014M01,quarterly,2013,PHEV,1333.3333333333333,JADA /JAMA
2014M01,quarterly,2013,TOTAL,264278,JADA /JAMA
2014M02,quarterly,2013.083333,BEV,1333.333333,JADA /JAMA
2014M02,quarterly,2013.083333,OTHER,297340.3333,JADA /JAMA
2014M02,quarterly,2013.083333,PHEV,1333.3333333333333,JADA /JAMA
2014M02,quarterly,2013.083333,TOTAL,300007,JADA /JAMA
2014M03,quarterly,2013.166667,BEV,1333.333333,JADA /JAMA
2014M03,quarterly,2013.166667,OTHER,414469.3333,JADA /JAMA
2014M03,quarterly,2013.166667,PHEV,1333.3333333333333,JADA /JAMA
2014M03,quarterly,2013.166667,TOTAL,417136,JADA /JAMA
2014M04,quarterly,2013.25,BEV,1333.333333,JADA /JAMA
2014M04,quarterly,2013.25,OTHER,162819.3333,JADA /JAMA
2014M04,quarterly,2013.25,PHEV,1333.3333333333333,JADA /JAMA
2014M04,quarterly,2013.25,TOTAL,165486,JADA /JAMA
2014M05,quarterly,2013.333333,BEV,1333.333333,JADA /JAMA
2014M05,quarterly,2013.333333,OTHER,175986.3333,JADA /JAMA
2014M05,quarterly,2013.333333,PHEV,1333.3333333333333,JADA /JAMA
2014M05,quarterly,2013.333333,TOTAL,178653,JADA /JAMA
2014M06,quarterly,2013.416667,BEV,1333.333333,JADA /JAMA
2014M06,quarterly,2013.416667,OTHER,226370.3333,JADA /JAMA
2014M06,quarterly,2013.416667,PHEV,1333.3333333333333,JADA /JAMA
2014M06,quarterly,2013.416667,TOTAL,229037,JADA /JAMA
2014M07,quarterly,2013.5,BEV,1333.333333,JADA /JAMA
2014M07,quarterly,2013.5,OTHER,248022.3333,JADA /JAMA
2014M07,quarterly,2013.5,PHEV,1333.3333333333333,JADA /JAMA
2014M07,quarterly,2013.5,TOTAL,250689,JADA /JAMA
2014M08,quarterly,2013.583333,BEV,1333.333333,JADA /JAMA
2014M08,quarterly,2013.583333,OTHER,175082.3333,JADA /JAMA
2014M08,quarterly,2013.583333,PHEV,1333.3333333333333,JADA /JAMA
2014M08,quarterly,2013.583333,TOTAL,177749,JADA /JAMA
2014M09,quarterly,2013.666667,BEV,1333.333333,JADA /JAMA
2014M09,quarterly,2013.666667,OTHER,265878.3333,JADA /JAMA
2014M09,quarterly,2013.666667,PHEV,1333.3333333333333,JADA /JAMA
2014M09,quarterly,2013.666667,TOTAL,268545,JADA /JAMA
2014M10,quarterly,2013.75,BEV,1333.333333,JADA /JAMA
2014M10,quarterly,2013.75,OTHER,204016.3333,JADA /JAMA
2014M10,quarterly,2013.75,PHEV,1333.3333333333333,JADA /JAMA
2014M10,quarterly,2013.75,TOTAL,206683,JADA /JAMA
2014M11,quarterly,2013.833333,BEV,1333.333333,JADA /JAMA
2014M11,quarterly,2013.833333,OTHER,201244.3333,JADA /JAMA
2014M11,quarterly,2013.833333,PHEV,1333.3333333333333,JADA /JAMA
2014M11,quarterly,2013.833333,TOTAL,203911,JADA /JAMA
2014M12,quarterly,2013.916667,BEV,1333.333333,JADA /JAMA
2014M12,quarterly,2013.916667,OTHER,195741.3333,JADA /JAMA
2014M12,quarterly,2013.916667,PHEV,1333.3333333333333,JADA /JAMA
2014M12,quarterly,2013.916667,TOTAL,198408,JADA /JAMA
2015M01,quarterly,2014,BEV,833.3333333,JADA /JAMA
2015M01,quarterly,2014,OTHER,205635,JADA /JAMA
2015M01,quarterly,2014,PHEV,1166.6666666666667,JADA /JAMA
2015M01,quarterly,2014,TOTAL,207635,JADA /JAMA
2015M02,quarterly,2014.083333,BEV,833.3333333,JADA /JAMA
2015M02,quarterly,2014.083333,OTHER,247565,JADA /JAMA
2015M02,quarterly,2014.083333,PHEV,1166.6666666666667,JADA /JAMA
2015M02,quarterly,2014.083333,TOTAL,249565,JADA /JAMA
2015M03,quarterly,2014.166667,BEV,833.3333333,JADA /JAMA
2015M03,quarterly,2014.166667,OTHER,354412,JADA /JAMA
2015M03,quarterly,2014.166667,PHEV,1166.6666666666667,JADA /JAMA
2015M03,quarterly,2014.166667,TOTAL,356412,JADA /JAMA
2015M04,quarterly,2014.25,BEV,833.3333333,JADA /JAMA
2015M04,quarterly,2014.25,OTHER,168240,JADA /JAMA
2015M04,quarterly,2014.25,PHEV,1166.6666666666667,JADA /JAMA
2015M04,quarterly,2014.25,TOTAL,170240,JADA /JAMA
2015M05,quarterly,2014.333333,BEV,833.3333333,JADA /JAMA
2015M05,quarterly,2014.333333,OTHER,178759,JADA /JAMA
2015M05,quarterly,2014.333333,PHEV,1166.6666666666667,JADA /JAMA
2015M05,quarterly,2014.333333,TOTAL,180759,JADA /JAMA
2015M06,quarterly,2014.416667,BEV,833.3333333,JADA /JAMA
2015M06,quarterly,2014.416667,OTHER,237582,JADA /JAMA
2015M06,quarterly,2014.416667,PHEV,1166.6666666666667,JADA /JAMA
2015M06,quarterly,2014.416667,TOTAL,239582,JADA /JAMA
2015M07,quarterly,2014.5,BEV,833.3333333,JADA /JAMA
2015M07,quarterly,2014.5,OTHER,243680,JADA /JAMA
2015M07,quarterly,2014.5,PHEV,1166.6666666666667,JADA /JAMA
2015M07,quarterly,2014.5,TOTAL,245680,JADA /JAMA
2015M08,quarterly,2014.583333,BEV,833.3333333,JADA /JAMA
2015M08,quarterly,2014.583333,OTHER,178850,JADA /JAMA
2015M08,quarterly,2014.583333,PHEV,1166.6666666666667,JADA /JAMA
2015M08,quarterly,2014.583333,TOTAL,180850,JADA /JAMA
2015M09,quarterly,2014.666667,BEV,833.3333333,JADA /JAMA
2015M09,quarterly,2014.666667,OTHER,257813,JADA /JAMA
2015M09,quarterly,2014.666667,PHEV,1166.6666666666667,JADA /JAMA
2015M09,quarterly,2014.666667,TOTAL,259813,JADA /JAMA
2015M10,quarterly,2014.75,BEV,833.3333333,JADA /JAMA
2015M10,quarterly,2014.75,OTHER,204608,JADA /JAMA
2015M10,quarterly,2014.75,PHEV,1166.6666666666667,JADA /JAMA
2015M10,quarterly,2014.75,TOTAL,206608,JADA /JAMA
2015M11,quarterly,2014.833333,BEV,833.3333333,JADA /JAMA
2015M11,quarterly,2014.833333,OTHER,201014,JADA /JAMA
2015M11,quarterly,2014.833333,PHEV,1166.6666666666667,JADA /JAMA
2015M11,quarterly,2014.833333,TOTAL,203014,JADA /JAMA
2015M12,quarterly,2014.916667,BEV,833.3333333,JADA /JAMA
2015M12,quarterly,2014.916667,OTHER,202327,JADA /JAMA
2015M12,quarterly,2014.916667,PHEV,1166.6666666666667,JADA /JAMA
2015M12,quarterly,2014.916667,TOTAL,204327,JADA /JAMA
2016M01,quarterly,2015,BEV,1250,JADA /JAMA
2016M01,quarterly,2015,OTHER,208350.6667,JADA /JAMA
2016M01,quarterly,2015,PHEV,783.3333333333334,JADA /JAMA
2016M01,quarterly,2015,TOTAL,210384,JADA /JAMA
2016M02,quarterly,2015.083333,BEV,1250,JADA /JAMA
2016M02,quarterly,2015.083333,OTHER,237375.6667,JADA /JAMA
2016M02,quarterly,2015.083333,PHEV,783.3333333333334,JADA /JAMA
2016M02,quarterly,2015.083333,TOTAL,239409,JADA /JAMA
2016M03,quarterly,2015.166667,BEV,1250,JADA /JAMA
2016M03,quarterly,2015.166667,OTHER,344760.6667,JADA /JAMA
2016M03,quarterly,2015.166667,PHEV,783.3333333333334,JADA /JAMA
2016M03,quarterly,2015.166667,TOTAL,346794,JADA /JAMA
2016M04,quarterly,2015.25,BEV,1250,JADA /JAMA
2016M04,quarterly,2015.25,OTHER,182528.6667,JADA /JAMA
2016M04,quarterly,2015.25,PHEV,783.3333333333334,JADA /JAMA
2016M04,quarterly,2015.25,TOTAL,184562,JADA /JAMA
2016M05,quarterly,2015.333333,BEV,1250,JADA /JAMA
2016M05,quarterly,2015.333333,OTHER,191857.6667,JADA /JAMA
2016M05,quarterly,2015.333333,PHEV,783.3333333333334,JADA /JAMA
2016M05,quarterly,2015.333333,TOTAL,193891,JADA /JAMA
2016M06,quarterly,2015.416667,BEV,1250,JADA /JAMA
2016M06,quarterly,2015.416667,OTHER,246267.6667,JADA /JAMA
2016M06,quarterly,2015.416667,PHEV,783.3333333333334,JADA /JAMA
2016M06,quarterly,2015.416667,TOTAL,248301,JADA /JAMA
2016M07,quarterly,2015.5,BEV,1250,JADA /JAMA
2016M07,quarterly,2015.5,OTHER,242181.6667,JADA /JAMA
2016M07,quarterly,2015.5,PHEV,783.3333333333334,JADA /JAMA
2016M07,quarterly,2015.5,TOTAL,244215,JADA /JAMA
2016M08,quarterly,2015.583333,BEV,1250,JADA /JAMA
2016M08,quarterly,2015.583333,OTHER,188715.6667,JADA /JAMA
2016M08,quarterly,2015.583333,PHEV,783.3333333333334,JADA /JAMA
2016M08,quarterly,2015.583333,TOTAL,190749,JADA /JAMA
2016M09,quarterly,2015.666667,BEV,1250,JADA /JAMA
2016M09,quarterly,2015.666667,OTHER,267679.6667,JADA /JAMA
2016M09,quarterly,2015.666667,PHEV,783.3333333333334,JADA /JAMA
2016M09,quarterly,2015.666667,TOTAL,269713,JADA /JAMA
2016M10,quarterly,2015.75,BEV,1250,JADA /JAMA
2016M10,quarterly,2015.75,OTHER,207802.6667,JADA /JAMA
2016M10,quarterly,2015.75,PHEV,783.3333333333334,JADA /JAMA
2016M10,quarterly,2015.75,TOTAL,209836,JADA /JAMA
2016M11,quarterly,2015.833333,BEV,1250,JADA /JAMA
2016M11,quarterly,2015.833333,OTHER,233837.6667,JADA /JAMA
2016M11,quarterly,2015.833333,PHEV,783.3333333333334,JADA /JAMA
2016M11,quarterly,2015.833333,TOTAL,235871,JADA /JAMA
2016M12,quarterly,2015.916667,BEV,1250,JADA /JAMA
2016M12,quarterly,2015.916667,OTHER,225732.6667,JADA /JAMA
2016M12,quarterly,2015.916667,PHEV,783.3333333333334,JADA /JAMA
2016M12,quarterly,2015.916667,TOTAL,227766,JADA /JAMA
2017M01,quarterly,2016,BEV,1500,JADA /JAMA
2017M01,quarterly,2016,OTHER,224600,JADA /JAMA
2017M01,quarterly,2016,PHEV,3000,JADA /JAMA
2017M01,quarterly,2016,TOTAL,229100,JADA /JAMA
2017M02,quarterly,2016.083333,BEV,1500,JADA /JAMA
2017M02,quarterly,2016.083333,OTHER,269360,JADA /JAMA
2017M02,quarterly,2016.083333,PHEV,3000,JADA /JAMA
2017M02,quarterly,2016.083333,TOTAL,273860,JADA /JAMA
2017M03,quarterly,2016.166667,BEV,1500,JADA /JAMA
2017M03,quarterly,2016.166667,OTHER,393548,JADA /JAMA
2017M03,quarterly,2016.166667,PHEV,3000,JADA /JAMA
2017M03,quarterly,2016.166667,TOTAL,398048,JADA /JAMA
