period,interval,year,category,registrations,source
2015M01,monthly,2014,BEV,2,ACEA
2015M01,monthly,2014,DIESEL,734,ACEA
2015M01,monthly,2014,OTHER,15,ACEA
2015M01,monthly,2014,PETROL,387,ACEA
2015M01,monthly,2014,PHEV,1,ACEA
2015M01,monthly,2014,TOTAL,1139,ACEA
2015M02,monthly,2014.083333,BEV,0,ACEA
2015M02,monthly,2014.083333,DIESEL,393,ACEA
2015M02,monthly,2014.083333,OTHER,25,ACEA
2015M02,monthly,2014.083333,PETROL,407,ACEA
2015M02,monthly,2014.083333,PHEV,0,ACEA
2015M02,monthly,2014.083333,TOTAL,825,ACEA
2015M03,monthly,2014.166667,BEV,0,ACEA
2015M03,monthly,2014.166667,DIESEL,618,ACEA
2015M03,monthly,2014.166667,OTHER,11,ACEA
2015M03,monthly,2014.166667,PETROL,601,ACEA
2015M03,monthly,2014.166667,PHEV,0,ACEA
2015M03,monthly,2014.166667,TOTAL,1230,ACEA
2015M04,monthly,2014.25,BEV,1,ACEA
2015M04,monthly,2014.25,DIESEL,547,ACEA
2015M04,monthly,2014.25,OTHER,9,ACEA
2015M04,monthly,2014.25,PETROL,678,ACEA
2015M04,monthly,2014.25,PHEV,0,ACEA
2015M04,monthly,2014.25,TOTAL,1235,ACEA
2015M05,monthly,2014.333333,BEV,1,ACEA
2015M05,monthly,2014.333333,DIESEL,494,ACEA
2015M05,monthly,2014.333333,OTHER,15,ACEA
2015M05,monthly,2014.333333,PETROL,653,ACEA
2015M05,monthly,2014.333333,PHEV,0,ACEA
2015M05,monthly,2014.333333,TOTAL,1163,ACEA
2015M06,monthly,2014.416667,BEV,3,ACEA
2015M06,monthly,2014.416667,DIESEL,563,ACEA
2015M06,monthly,2014.416667,OTHER,12,ACEA
2015M06,monthly,2014.416667,PETROL,663,ACEA
2015M06,monthly,2014.416667,PHEV,1,ACEA
2015M06,monthly,2014.416667,TOTAL,1242,ACEA
2015M07,monthly,2014.5,BEV,4,ACEA
2015M07,monthly,2014.5,DIESEL,529,ACEA
2015M07,monthly,2014.5,OTHER,21,ACEA
2015M07,monthly,2014.5,PETROL,667,ACEA
2015M07,monthly,2014.5,PHEV,3,ACEA
2015M07,monthly,2014.5,TOTAL,1224,ACEA
2015M08,monthly,2014.583333,BEV,0,ACEA
2015M08,monthly,2014.583333,DIESEL,478,ACEA
2015M08,monthly,2014.583333,OTHER,13,ACEA
2015M08,monthly,2014.583333,PETROL,506,ACEA
2015M08,monthly,2014.583333,PHEV,1,ACEA
2015M08,monthly,2014.583333,TOTAL,998,ACEA
2015M09,monthly,2014.666667,BEV,3,ACEA
2015M09,monthly,2014.666667,DIESEL,569,ACEA
2015M09,monthly,2014.666667,OTHER,6,ACEA
2015M09,monthly,2014.666667,PETROL,602,ACEA
2015M09,monthly,2014.666667,PHEV,1,ACEA
2015M09,monthly,2014.666667,TOTAL,1181,ACEA
2015M10,monthly,2014.75,BEV,1,ACEA
