period,interval,year,category,registrations,source
2017M01,quarterly,2016,BEV,3.666666667,ACEA
2017M01,quarterly,2016,DIESEL,762.6666667,ACEA
2017M01,quarterly,2016,HEV,45,ACEA
2017M01,quarterly,2016,OTHER,0,ACEA
2017M01,quarterly,2016,PETROL,1030,ACEA
2017M01,quarterly,2016,PHEV,0,ACEA
2017M01,quarterly,2016,TOTAL,1841.333333,ACEA
2017M02,quarterly,2016.083333,BEV,3.666666667,ACEA
2017M02,quarterly,2016.083333,DIESEL,762.6666667,ACEA
2017M02,quarterly,2016.083333,HEV,45,ACEA
2017M02,quarterly,2016.083333,PETROL,1030,ACEA
2017M02,quarterly,2016.083333,PHEV,0,ACEA
2017M02,quarterly,2016.083333,TOTAL,1841.333333,ACEA
2017M03,quarterly,2016.166667,BEV,3.666666667,ACEA
2017M03,quarterly,2016.166667,DIESEL,762.6666667,ACEA
2017M03,quarterly,2016.166667,HEV,45,ACEA
2017M03,quarterly,2016.166667,PETROL,1030,ACEA
2017M03,quarterly,2016.166667,PHEV,0,ACEA
2017M03,quarterly,2016.166667,TOTAL,1841.333333,ACEA
2017M04,quarterly,2016.25,BEV,3.666666667,ACEA
2017M04,quarterly,2016.25,DIESEL,842,ACEA
2017M04,quarterly,2016.25,HEV,49,ACEA
2017M04,quarterly,2016.25,PETROL,1535.333333,ACEA
2017M04,quarterly,2016.25,PHEV,0,ACEA
2017M04,quarterly,2016.25,TOTAL,2430,ACEA
2017M05,quarterly,2016.333333,BEV,3.666666667,ACEA
2017M05,quarterly,2016.333333,DIESEL,842,ACEA
2017M05,quarterly,2016.333333,HEV,49,ACEA
2017M05,quarterly,2016.333333,PETROL,1535.333333,ACEA
2017M05,quarterly,2016.333333,PHEV,0,ACEA
2017M05,quarterly,2016.333333,TOTAL,2430,ACEA
2017M06,quarterly,2016.416667,BEV,3.666666667,ACEA
2017M06,quarterly,2016.416667,DIESEL,842,ACEA
2017M06,quarterly,2016.416667,HEV,49,ACEA
2017M06,quarterly,2016.416667,PETROL,1535.333333,ACEA
2017M06,quarterly,2016.416667,PHEV,0,ACEA
2017M06,quarterly,2016.416667,TOTAL,2430,ACEA
2017M07,quarterly,2016.5,BEV,5,ACEA
2017M07,quarterly,2016.5,DIESEL,688.3333333,ACEA
2017M07,quarterly,2016.5,HEV,73,ACEA
2017M07,quarterly,2016.5,PETROL,1348.666667,ACEA
2017M07,quarterly,2016.5,PHEV,0,ACEA
2017M07,quarterly,2016.5,TOTAL,2115,ACEA
2017M08,quarterly,2016.583333,BEV,5,ACEA
2017M08,quarterly,2016.583333,DIESEL,688.3333333,ACEA
2017M08,quarterly,2016.583333,HEV,73,ACEA
2017M08,quarterly,2016.583333,PETROL,1348.666667,ACEA
2017M08,quarterly,2016.583333,PHEV,0,ACEA
2017M08,quarterly,2016.583333,TOTAL,2115,ACEA
2017M09,quarterly,2016.666667,BEV,5,ACEA
2017M09,quarterly,2016.666667,DIESEL,688.3333333,ACEA
2017M09,quarterly,2016.666667,HEV,73,ACEA
2017M09,quarterly,2016.666667,PETROL,1348.666667,ACEA
2017M09,quarterly,2016.666667,PHEV,0,ACEA
2017M09,quarterly,2016.666667,TOTAL,2115,ACEA
2017M10,quarterly,2016.75,BEV,5,ACEA
2017M10,quarterly,2016.75,DIESEL,742.3333333,ACEA
2017M10,quarterly,2016.75,HEV,71.33333333,ACEA
2017M10,quarterly,2016.75,PETROL,1417.333333,ACEA
2017M10,quarterly,2016.75,PHEV,0,ACEA
2017M10,quarterly,2016.75,TOTAL,2236,ACEA
2017M11,quarterly,2016.833333,BEV,5,ACEA
2017M11,quarterly,2016.833333,DIESEL,742.3333333,ACEA
2017M11,quarterly,2016.833333,HEV,71.33333333,ACEA
2017M11,quarterly,2016.833333,PETROL,1417.333333,ACEA
2017M11,quarterly,2016.833333,PHEV,0,ACEA
2017M11,quarterly,2016.833333,TOTAL,2236,ACEA
2017M12,quarterly,2016.916667,BEV,5,ACEA
2017M12,quarterly,2016.916667,DIESEL,742.3333333,ACEA
2017M12,quarterly,2016.916667,HEV,71.33333333,ACEA
2017M12,quarterly,2016.916667,PETROL,1417.333333,ACEA
2017M12,quarterly,2016.916667,PHEV,0,ACEA
2017M12,quarterly,2016.916667,TOTAL,2236,ACEA
2018M01,quarterly,2017,BEV,4.333333333,ACEA
