period,interval,year,category,registrations,source
2010M01,monthly,2009,BEV,0,ACEA / lustat.statec.lu
2010M01,monthly,2009,DIESEL,2757,ACEA / lustat.statec.lu
2010M01,monthly,2009,HEV,27,ACEA / lustat.statec.lu
2010M01,monthly,2009,OTHER,5,ACEA / lustat.statec.lu
2010M01,monthly,2009,PETROL,747,ACEA / lustat.statec.lu
2010M01,monthly,2009,PHEV,0,ACEA / lustat.statec.lu
2010M01,monthly,2009,TOTAL,3536,ACEA / lustat.statec.lu
2010M02,monthly,2009.083333,BEV,0,ACEA / lustat.statec.lu
2010M02,monthly,2009.083333,DIESEL,3056,ACEA / lustat.statec.lu
2010M02,monthly,2009.083333,HEV,21,ACEA / lustat.statec.lu
2010M02,monthly,2009.083333,OTHER,4,ACEA / lustat.statec.lu
2010M02,monthly,2009.083333,PETROL,1000,ACEA / lustat.statec.lu
2010M02,monthly,2009.083333,PHEV,0,ACEA / lustat.statec.lu
2010M02,monthly,2009.083333,TOTAL,4081,ACEA / lustat.statec.lu
2010M03,monthly,2009.166667,BEV,0,ACEA / lustat.statec.lu
2010M03,monthly,2009.166667,DIESEL,4262,ACEA / lustat.statec.lu
2010M03,monthly,2009.166667,HEV,29,ACEA / lustat.statec.lu
2010M03,monthly,2009.166667,OTHER,0,ACEA / lustat.statec.lu
2010M03,monthly,2009.166667,PETROL,1515,ACEA / lustat.statec.lu
2010M03,monthly,2009.166667,PHEV,0,ACEA / lustat.statec.lu
2010M03,monthly,2009.166667,TOTAL,5806,ACEA / lustat.statec.lu
2010M04,monthly,2009.25,BEV,0,ACEA / lustat.statec.lu
2010M04,monthly,2009.25,DIESEL,4333,ACEA / lustat.statec.lu
2010M04,monthly,2009.25,HEV,18,ACEA / lustat.statec.lu
2010M04,monthly,2009.25,OTHER,0,ACEA / lustat.statec.lu
2010M04,monthly,2009.25,PETROL,1590,ACEA / lustat.statec.lu
2010M04,monthly,2009.25,PHEV,0,ACEA / lustat.statec.lu
2010M04,monthly,2009.25,TOTAL,5941,ACEA / lustat.statec.lu
2010M05,monthly,2009.333333,BEV,0,ACEA / lustat.statec.lu
2010M05,monthly,2009.333333,DIESEL,3724,ACEA / lustat.statec.lu
2010M05,monthly,2009.333333,HEV,13,ACEA / lustat.statec.lu
2010M05,monthly,2009.333333,OTHER,1,ACEA / lustat.statec.lu
2010M05,monthly,2009.333333,PETROL,1420,ACEA / lustat.statec.lu
2010M05,monthly,2009.333333,PHEV,0,ACEA / lustat.statec.lu
2010M05,monthly,2009.333333,TOTAL,5158,ACEA / lustat.statec.lu
2010M06,monthly,2009.416667,BEV,0,ACEA / lustat.statec.lu
2010M06,monthly,2009.416667,DIESEL,3726,ACEA / lustat.statec.lu
2010M06,monthly,2009.416667,HEV,22,ACEA / lustat.statec.lu
2010M06,monthly,2009.416667,OTHER,4,ACEA / lustat.statec.lu
2010M06,monthly,2009.416667,PETROL,1403,ACEA / lustat.statec.lu
2010M06,monthly,2009.416667,PHEV,0,ACEA / lustat.statec.lu
2010M06,monthly,2009.416667,TOTAL,5155,ACEA / lustat.statec.lu
2010M07,monthly,2009.5,BEV,0,ACEA / lustat.statec.lu
2010M07,monthly,2009.5,DIESEL,3382,ACEA / lustat.statec.lu
2010M07,monthly,2009.5,HEV,25,ACEA / lustat.statec.lu
2010M07,monthly,2009.5,OTHER,1,ACEA / lustat.statec.lu
2010M07,monthly,2009.5,PETROL,1026,ACEA / lustat.statec.lu
2010M07,monthly,2009.5,PHEV,0,ACEA / lustat.statec.lu
2010M07,monthly,2009.5,TOTAL,4434,ACEA / lustat.statec.lu
2010M08,monthly,2009.583333,BEV,0,ACEA / lustat.statec.lu
2010M08,monthly,2009.583333,DIESEL,1944,ACEA / lustat.statec.lu
2010M08,monthly,2009.583333,HEV,22,ACEA / lustat.statec.lu
2010M08,monthly,2009.583333,OTHER,4,ACEA / lustat.statec.lu
2010M08,monthly,2009.583333,PETROL,568,ACEA / lustat.statec.lu
2010M08,monthly,2009.583333,PHEV,0,ACEA / lustat.statec.lu
2010M08,monthly,2009.583333,TOTAL,2538,ACEA / lustat.statec.lu
2010M09,monthly,2009.666667,BEV,1,ACEA / lustat.statec.lu
2010M09,monthly,2009.666667,DIESEL,2608,ACEA / lustat.statec.lu
2010M09,monthly,2009.666667,HEV,18,ACEA / lustat.statec.lu
2010M09,monthly,2009.666667,OTHER,5,ACEA / lustat.statec.lu
2010M09,monthly,2009.666667,PETROL,665,ACEA / lustat.statec.lu
2010M09,monthly,2009.666667,PHEV,0,ACEA / lustat.statec.lu
2010M09,monthly,2009.666667,TOTAL,3297,ACEA / lustat.statec.lu
2010M10,monthly,2009.75,BEV,0,ACEA / lustat.statec.lu
2010M10,monthly,2009.75,DIESEL,2919,ACEA / lustat.statec.lu
2010M10,monthly,2009.75,HEV,17,ACEA / lustat.statec.lu
2010M10,monthly,2009.75,OTHER,8,ACEA / lustat.statec.lu
2010M10,monthly,2009.75,PETROL,888,ACEA / lustat.statec.lu
2010M10,monthly,2009.75,PHEV,0,ACEA / lustat.statec.lu
2010M10,monthly,2009.75,TOTAL,3832,ACEA / lustat.statec.lu
2010M11,monthly,2009.833333,BEV,0,ACEA / lustat.statec.lu
2010M11,monthly,2009.833333,DIESEL,2729,ACEA / lustat.statec.lu
2010M11,monthly,2009.833333,HEV,16,ACEA / lustat.statec.lu
2010M11,monthly,2009.833333,OTHER,2,ACEA / lustat.statec.lu
2010M11,monthly,2009.833333,PETROL,698,ACEA / lustat.statec.lu
2010M11,monthly,2009.833333,PHEV,0,ACEA / lustat.statec.lu
2010M11,monthly,2009.833333,TOTAL,3445,ACEA / lustat.statec.lu
2010M12,monthly,2009.916667,BEV,0,ACEA / lustat.statec.lu
2010M12,monthly,2009.916667,DIESEL,1964,ACEA / lustat.statec.lu
2010M12,monthly,2009.916667,HEV,17,ACEA / lustat.statec.lu
2010M12,monthly,2009.916667,OTHER,0,ACEA / lustat.statec.lu
2010M12,monthly,2009.916667,PETROL,522,ACEA / lustat.statec.lu
2010M12,monthly,2009.916667,PHEV,0,ACEA / lustat.statec.lu
2010M12,monthly,2009.916667,TOTAL,2503,ACEA / lustat.statec.lu
2011M01,monthly,2010,BEV,0,ACEA / lustat.statec.lu
2011M01,monthly,2010,DIESEL,2571,ACEA / lustat.statec.lu
2011M01,monthly,2010,HEV,16,ACEA / lustat.statec.lu
2011M01,monthly,2010,OTHER,1,ACEA / lustat.statec.lu
2011M01,monthly,2010,PETROL,765,ACEA / lustat.statec.lu
2011M01,monthly,2010,PHEV,0,ACEA / lustat.statec.lu
2011M01,monthly,2010,TOTAL,3353,ACEA / lustat.statec.lu
2011M02,monthly,2010.083333,BEV,0,ACEA / lustat.statec.lu
2011M02,monthly,2010.083333,DIESEL,3391,ACEA / lustat.statec.lu
2011M02,monthly,2010.083333,HEV,22,ACEA / lustat.statec.lu
2011M02,monthly,2010.083333,OTHER,2,ACEA / lustat.statec.lu
2011M02,monthly,2010.083333,PETROL,995,ACEA / lustat.statec.lu
2011M02,monthly,2010.083333,PHEV,0,ACEA / lustat.statec.lu
2011M02,monthly,2010.083333,TOTAL,4410,ACEA / lustat.statec.lu
2011M03,monthly,2010.166667,BEV,0,ACEA / lustat.statec.lu
2011M03,monthly,2010.166667,DIESEL,4044,ACEA / lustat.statec.lu
2011M03,monthly,2010.166667,HEV,47,ACEA / lustat.statec.lu
2011M03,monthly,2010.166667,OTHER,5,ACEA / lustat.statec.lu
2011M03,monthly,2010.166667,PETROL,1561,ACEA / lustat.statec.lu
2011M03,monthly,2010.166667,PHEV,3,ACEA / lustat.statec.lu
2011M03,monthly,2010.166667,TOTAL,5660,ACEA / lustat.statec.lu
2011M04,monthly,2010.25,BEV,3,ACEA / lustat.statec.lu
2011M04,monthly,2010.25,DIESEL,3765,ACEA / lustat.statec.lu
2011M04,monthly,2010.25,HEV,48,ACEA / lustat.statec.lu
2011M04,monthly,2010.25,OTHER,5,ACEA / lustat.statec.lu
2011M04,monthly,2010.25,PETROL,1398,ACEA / lustat.statec.lu
2011M04,monthly,2010.25,PHEV,2,ACEA / lustat.statec.lu
2011M04,monthly,2010.25,TOTAL,5221,ACEA / lustat.statec.lu
2011M05,monthly,2010.333333,BEV,9,ACEA / lustat.statec.lu
2011M05,monthly,2010.333333,DIESEL,4334,ACEA / lustat.statec.lu
2011M05,monthly,2010.333333,HEV,14,ACEA / lustat.statec.lu
2011M05,monthly,2010.333333,OTHER,6,ACEA / lustat.statec.lu
2011M05,monthly,2010.333333,PETROL,1333,ACEA / lustat.statec.lu
2011M05,monthly,2010.333333,PHEV,0,ACEA / lustat.statec.lu
2011M05,monthly,2010.333333,TOTAL,5696,ACEA / lustat.statec.lu
2011M06,monthly,2010.416667,BEV,2,ACEA / lustat.statec.lu
