period,interval,year,category,registrations,source
2022M01,monthly,2021.0833333333333,BEV,66,ACEA
2022M01,monthly,2021.0833333333333,DIESEL,2,ACEA
2022M01,monthly,2021.0833333333333,HEV,76,ACEA
2022M01,monthly,2021.0833333333333,OTHER,166,ACEA
2022M01,monthly,2021.0833333333333,PETROL,13,ACEA
2022M01,monthly,2021.0833333333333,PHEV,99,ACEA
2022M01,monthly,2021.0833333333333,TOTAL,422,ACEA
2022M02,monthly,2021.1666666666667,BEV,56,ACEA
2022M02,monthly,2021.1666666666667,DIESEL,0,ACEA
2022M02,monthly,2021.1666666666667,HEV,71,ACEA
2022M02,monthly,2021.1666666666667,OTHER,196,ACEA
2022M02,monthly,2021.1666666666667,PETROL,17,ACEA
2022M02,monthly,2021.1666666666667,PHEV,96,ACEA
2022M02,monthly,2021.1666666666667,TOTAL,436,ACEA
2022M03,monthly,2021.25,BEV,74,ACEA
2022M03,monthly,2021.25,DIESEL,2,ACEA
2022M03,monthly,2021.25,HEV,108,ACEA
2022M03,monthly,2021.25,OTHER,332,ACEA
2022M03,monthly,2021.25,PETROL,24,ACEA
2022M03,monthly,2021.25,PHEV,150,ACEA
2022M03,monthly,2021.25,TOTAL,690,ACEA
2022M04,monthly,2021.3333333333333,BEV,74,ACEA
2022M04,monthly,2021.3333333333333,DIESEL,0,ACEA
2022M04,monthly,2021.3333333333333,HEV,120,ACEA
2022M04,monthly,2021.3333333333333,OTHER,316,ACEA
2022M04,monthly,2021.3333333333333,PETROL,32,ACEA
2022M04,monthly,2021.3333333333333,PHEV,94,ACEA
2022M04,monthly,2021.3333333333333,TOTAL,636,ACEA
2022M05,monthly,2021.4166666666667,BEV,107,ACEA
2022M05,monthly,2021.4166666666667,DIESEL,0,ACEA
2022M05,monthly,2021.4166666666667,HEV,113,ACEA
2022M05,monthly,2021.4166666666667,OTHER,249,ACEA
2022M05,monthly,2021.4166666666667,PETROL,38,ACEA
2022M05,monthly,2021.4166666666667,PHEV,97,ACEA
2022M05,monthly,2021.4166666666667,TOTAL,604,ACEA
2022M06,monthly,2021.5,BEV,85,ACEA
2022M06,monthly,2021.5,DIESEL,2,ACEA
2022M06,monthly,2021.5,HEV,129,ACEA
2022M06,monthly,2021.5,OTHER,220,ACEA
2022M06,monthly,2021.5,PETROL,32,ACEA
2022M06,monthly,2021.5,PHEV,86,ACEA
2022M06,monthly,2021.5,TOTAL,554,ACEA
2022M07,monthly,2021.5833333333333,BEV,116,ACEA
2022M07,monthly,2021.5833333333333,DIESEL,1,ACEA
2022M07,monthly,2021.5833333333333,HEV,105,ACEA
2022M07,monthly,2021.5833333333333,OTHER,353,ACEA
2022M07,monthly,2021.5833333333333,PETROL,33,ACEA
2022M07,monthly,2021.5833333333333,PHEV,143,ACEA
2022M07,monthly,2021.5833333333333,TOTAL,751,ACEA
2022M08,monthly,2021.6666666666667,BEV,115,ACEA
2022M08,monthly,2021.6666666666667,DIESEL,0,ACEA
2022M08,monthly,2021.6666666666667,HEV,107,ACEA
2022M08,monthly,2021.6666666666667,OTHER,206,ACEA
2022M08,monthly,2021.6666666666667,PETROL,35,ACEA
2022M08,monthly,2021.6666666666667,PHEV,107,ACEA
2022M08,monthly,2021.6666666666667,TOTAL,570,ACEA
2022M09,monthly,2021.75,BEV,48,ACEA
2022M09,monthly,2021.75,DIESEL,0,ACEA
2022M09,monthly,2021.75,HEV,87,ACEA
2022M09,monthly,2021.75,OTHER,131,ACEA
2022M09,monthly,2021.75,PETROL,34,ACEA
2022M09,monthly,2021.75,PHEV,106,ACEA
2022M09,monthly,2021.75,TOTAL,406,ACEA
2022M10,monthly,2021.8333333333333,BEV,92,ACEA
2022M10,monthly,2021.8333333333333,DIESEL,0,ACEA
2022M10,monthly,2021.8333333333333,HEV,75,ACEA
2022M10,monthly,2021.8333333333333,OTHER,139,ACEA
2022M10,monthly,2021.8333333333333,PETROL,52,ACEA
2022M10,monthly,2021.8333333333333,PHEV,121,ACEA
2022M10,monthly,2021.8333333333333,TOTAL,479,ACEA
2022M11,monthly,2021.9166666666667,BEV,70,ACEA
2022M11,monthly,2021.9166666666667,DIESEL,0,ACEA
2022M11,monthly,2021.9166666666667,HEV,86,ACEA
2022M11,monthly,2021.9166666666667,OTHER,169,ACEA
2022M11,monthly,2021.9166666666667,PETROL,47,ACEA
2022M11,monthly,2021.9166666666667,PHEV,56,ACEA
2022M11,monthly,2021.9166666666667,TOTAL,428,ACEA
2022M12,monthly,2022,BEV,81,ACEA
2022M12,monthly,2022,DIESEL,1,ACEA
2022M12,monthly,2022,HEV,73,ACEA
2022M12,monthly,2022,OTHER,165,ACEA
2022M12,monthly,2022,PETROL,34,ACEA
2022M12,monthly,2022,PHEV,79,ACEA
2022M12,monthly,2022,TOTAL,433,ACEA
2023M01,monthly,2022.0833333333333,BEV,80,ACEA
2023M01,monthly,2022.0833333333333,DIESEL,1,ACEA
2023M01,monthly,2022.0833333333333,HEV,70,ACEA
2023M01,monthly,2022.0833333333333,OTHER,154,ACEA
2023M01,monthly,2022.0833333333333,PETROL,26,ACEA
2023M01,monthly,2022.0833333333333,PHEV,113,ACEA
2023M01,monthly,2022.0833333333333,TOTAL,444,ACEA
2023M02,monthly,2022.1666666666667,BEV,73,ACEA
2023M02,monthly,2022.1666666666667,DIESEL,0,ACEA
2023M02,monthly,2022.1666666666667,HEV,64,ACEA
2023M02,monthly,2022.1666666666667,OTHER,149,ACEA
2023M02,monthly,2022.1666666666667,PETROL,54,ACEA
2023M02,monthly,2022.1666666666667,PHEV,104,ACEA
2023M02,monthly,2022.1666666666667,TOTAL,444,ACEA
2023M03,monthly,2022.25,BEV,104,ACEA
2023M03,monthly,2022.25,DIESEL,0,ACEA
2023M03,monthly,2022.25,HEV,192,ACEA
2023M03,monthly,2022.25,OTHER,262,ACEA
2023M03,monthly,2022.25,PETROL,55,ACEA
2023M03,monthly,2022.25,PHEV,86,ACEA
2023M03,monthly,2022.25,TOTAL,699,ACEA
2023M04,monthly,2022.3333333333333,BEV,110,ACEA
2023M04,monthly,2022.3333333333333,DIESEL,0,ACEA
2023M04,monthly,2022.3333333333333,HEV,213,ACEA
2023M04,monthly,2022.3333333333333,OTHER,369,ACEA
2023M04,monthly,2022.3333333333333,PETROL,96,ACEA
2023M04,monthly,2022.3333333333333,PHEV,165,ACEA
2023M04,monthly,2022.3333333333333,TOTAL,953,ACEA
2023M05,monthly,2022.4166666666667,BEV,102,ACEA
2023M05,monthly,2022.4166666666667,DIESEL,0,ACEA
2023M05,monthly,2022.4166666666667,HEV,200,ACEA
2023M05,monthly,2022.4166666666667,OTHER,333,ACEA
2023M05,monthly,2022.4166666666667,PETROL,73,ACEA
2023M05,monthly,2022.4166666666667,PHEV,58,ACEA
2023M05,monthly,2022.4166666666667,TOTAL,766,ACEA
2023M06,monthly,2022.5,BEV,110,ACEA
2023M06,monthly,2022.5,DIESEL,0,ACEA
2023M06,monthly,2022.5,HEV,163,ACEA
2023M06,monthly,2022.5,OTHER,252,ACEA
2023M06,monthly,2022.5,PETROL,79,ACEA
2023M06,monthly,2022.5,PHEV,60,ACEA
2023M06,monthly,2022.5,TOTAL,664,ACEA
2023M07,monthly,2022.5833333333333,BEV,125,ACEA
2023M07,monthly,2022.5833333333333,DIESEL,0,ACEA
2023M07,monthly,2022.5833333333333,HEV,143,ACEA
2023M07,monthly,2022.5833333333333,OTHER,259,ACEA
2023M07,monthly,2022.5833333333333,PETROL,45,ACEA
