period,interval,year,category,registrations,source
2011M01,monthly,2010,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M01,monthly,2010,PHEV,1,durzamemobiliteit.datenbank.nl
2011M01,monthly,2010,TOTAL,74786,durzamemobiliteit.datenbank.nl
2011M02,monthly,2010.083333,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M02,monthly,2010.083333,PHEV,1,durzamemobiliteit.datenbank.nl
2011M02,monthly,2010.083333,TOTAL,49018,durzamemobiliteit.datenbank.nl
2011M03,monthly,2010.166667,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M03,monthly,2010.166667,PHEV,1,durzamemobiliteit.datenbank.nl
2011M03,monthly,2010.166667,TOTAL,56601,durzamemobiliteit.datenbank.nl
2011M04,monthly,2010.25,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M04,monthly,2010.25,PHEV,1,durzamemobiliteit.datenbank.nl
2011M04,monthly,2010.25,TOTAL,47634,durzamemobiliteit.datenbank.nl
2011M05,monthly,2010.333333,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M05,monthly,2010.333333,PHEV,1,durzamemobiliteit.datenbank.nl
2011M05,monthly,2010.333333,TOTAL,49806,durzamemobiliteit.datenbank.nl
2011M06,monthly,2010.416667,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M06,monthly,2010.416667,PHEV,2,durzamemobiliteit.datenbank.nl
2011M06,monthly,2010.416667,TOTAL,50500,durzamemobiliteit.datenbank.nl
2011M07,monthly,2010.5,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M07,monthly,2010.5,PHEV,1,durzamemobiliteit.datenbank.nl
2011M07,monthly,2010.5,TOTAL,42091,durzamemobiliteit.datenbank.nl
2011M08,monthly,2010.583333,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M08,monthly,2010.583333,PHEV,1,durzamemobiliteit.datenbank.nl
2011M08,monthly,2010.583333,TOTAL,39064,durzamemobiliteit.datenbank.nl
2011M09,monthly,2010.666667,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M09,monthly,2010.666667,PHEV,2,durzamemobiliteit.datenbank.nl
2011M09,monthly,2010.666667,TOTAL,44382,durzamemobiliteit.datenbank.nl
2011M10,monthly,2010.75,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M10,monthly,2010.75,PHEV,1,durzamemobiliteit.datenbank.nl
2011M10,monthly,2010.75,TOTAL,43626,durzamemobiliteit.datenbank.nl
2011M11,monthly,2010.833333,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M11,monthly,2010.833333,PHEV,1,durzamemobiliteit.datenbank.nl
2011M11,monthly,2010.833333,TOTAL,41061,durzamemobiliteit.datenbank.nl
2011M12,monthly,2010.916667,BEV,70.75,durzamemobiliteit.datenbank.nl
2011M12,monthly,2010.916667,PHEV,2,durzamemobiliteit.datenbank.nl
2011M12,monthly,2010.916667,TOTAL,17229,durzamemobiliteit.datenbank.nl
2012M01,monthly,2011,BEV,69,durzamemobiliteit.datenbank.nl
2012M01,monthly,2011,PHEV,360.5,durzamemobiliteit.datenbank.nl
2012M01,monthly,2011,TOTAL,70157,durzamemobiliteit.datenbank.nl
2012M02,monthly,2011.083333,BEV,69,durzamemobiliteit.datenbank.nl
2012M02,monthly,2011.083333,PHEV,360.5,durzamemobiliteit.datenbank.nl
2012M02,monthly,2011.083333,TOTAL,43968,durzamemobiliteit.datenbank.nl
