period,interval,year,category,registrations,source
2018M01,monthly,2017,BEV,0,durzamemobiliteit.datenbank.nl
2018M01,monthly,2017,DIESEL,1695,durzamemobiliteit.datenbank.nl
2018M01,monthly,2017,OTHER,9,durzamemobiliteit.datenbank.nl
2018M01,monthly,2017,PETROL,0,durzamemobiliteit.datenbank.nl
2018M01,monthly,2017,PHEV,0,durzamemobiliteit.datenbank.nl
2018M01,monthly,2017,TOTAL,1704,durzamemobiliteit.datenbank.nl
2018M02,monthly,2017.083333,BEV,2,durzamemobiliteit.datenbank.nl
2018M02,monthly,2017.083333,DIESEL,1511,durzamemobiliteit.datenbank.nl
2018M02,monthly,2017.083333,OTHER,12,durzamemobiliteit.datenbank.nl
2018M02,monthly,2017.083333,PETROL,0,durzamemobiliteit.datenbank.nl
2018M02,monthly,2017.083333,PHEV,1,durzamemobiliteit.datenbank.nl
2018M02,monthly,2017.083333,TOTAL,1526,durzamemobiliteit.datenbank.nl
2018M03,monthly,2017.166667,BEV,3,durzamemobiliteit.datenbank.nl
2018M03,monthly,2017.166667,DIESEL,1668,durzamemobiliteit.datenbank.nl
2018M03,monthly,2017.166667,OTHER,12,durzamemobiliteit.datenbank.nl
2018M03,monthly,2017.166667,PETROL,0,durzamemobiliteit.datenbank.nl
2018M03,monthly,2017.166667,PHEV,0,durzamemobiliteit.datenbank.nl
2018M03,monthly,2017.166667,TOTAL,1683,durzamemobiliteit.datenbank.nl
2018M04,monthly,2017.25,BEV,2,durzamemobiliteit.datenbank.nl
2018M04,monthly,2017.25,DIESEL,1342,durzamemobiliteit.datenbank.nl
2018M04,monthly,2017.25,OTHER,4,durzamemobiliteit.datenbank.nl
2018M04,monthly,2017.25,PETROL,0,durzamemobiliteit.datenbank.nl
2018M04,monthly,2017.25,PHEV,0,durzamemobiliteit.datenbank.nl
2018M04,monthly,2017.25,TOTAL,1348,durzamemobiliteit.datenbank.nl
2018M05,monthly,2017.333333,BEV,11,durzamemobiliteit.datenbank.nl
2018M05,monthly,2017.333333,DIESEL,1412,durzamemobiliteit.datenbank.nl
2018M05,monthly,2017.333333,OTHER,32,durzamemobiliteit.datenbank.nl
2018M05,monthly,2017.333333,PETROL,0,durzamemobiliteit.datenbank.nl
2018M05,monthly,2017.333333,PHEV,0,durzamemobiliteit.datenbank.nl
2018M05,monthly,2017.333333,TOTAL,1455,durzamemobiliteit.datenbank.nl
2018M06,monthly,2017.416667,BEV,0,durzamemobiliteit.datenbank.nl
2018M06,monthly,2017.416667,DIESEL,1285,durzamemobiliteit.datenbank.nl
2018M06,monthly,2017.416667,OTHER,16,durzamemobiliteit.datenbank.nl
2018M06,monthly,2017.416667,PETROL,0,durzamemobiliteit.datenbank.nl
2018M06,monthly,2017.416667,PHEV,2,durzamemobiliteit.datenbank.nl
2018M06,monthly,2017.416667,TOTAL,1303,durzamemobiliteit.datenbank.nl
2018M07,monthly,2017.5,BEV,0,durzamemobiliteit.datenbank.nl
2018M07,monthly,2017.5,DIESEL,1210,durzamemobiliteit.datenbank.nl
2018M07,monthly,2017.5,OTHER,18,durzamemobiliteit.datenbank.nl
