period,interval,year,category,registrations,source
2012M01,monthly,2011,BEV,2,transport.govt.nz & Prof. Ray Willis
2012M01,monthly,2011,DIESEL,2398,transport.govt.nz & Prof. Ray Willis
2012M01,monthly,2011,HEV,72,transport.govt.nz & Prof. Ray Willis
2012M01,monthly,2011,OTHER,0,transport.govt.nz & Prof. Ray Willis
2012M01,monthly,2011,PETROL,13677,transport.govt.nz & Prof. Ray Willis
2012M01,monthly,2011,PHEV,0,transport.govt.nz & Prof. Ray Willis
2012M01,monthly,2011,TOTAL,16149,transport.govt.nz & Prof. Ray Willis
2012M02,monthly,2011.083333,BEV,5,transport.govt.nz & Prof. Ray Willis
2012M02,monthly,2011.083333,DIESEL,2674,transport.govt.nz & Prof. Ray Willis
2012M02,monthly,2011.083333,HEV,113,transport.govt.nz & Prof. Ray Willis
2012M02,monthly,2011.083333,OTHER,0,transport.govt.nz & Prof. Ray Willis
2012M02,monthly,2011.083333,PETROL,11451,transport.govt.nz & Prof. Ray Willis
2012M02,monthly,2011.083333,PHEV,0,transport.govt.nz & Prof. Ray Willis
2012M02,monthly,2011.083333,TOTAL,14243,transport.govt.nz & Prof. Ray Willis
2012M03,monthly,2011.166667,BEV,6,transport.govt.nz & Prof. Ray Willis
2012M03,monthly,2011.166667,DIESEL,3228,transport.govt.nz & Prof. Ray Willis
2012M03,monthly,2011.166667,HEV,221,transport.govt.nz & Prof. Ray Willis
2012M03,monthly,2011.166667,OTHER,0,transport.govt.nz & Prof. Ray Willis
2012M03,monthly,2011.166667,PETROL,12500,transport.govt.nz & Prof. Ray Willis
2012M03,monthly,2011.166667,PHEV,0,transport.govt.nz & Prof. Ray Willis
2012M03,monthly,2011.166667,TOTAL,15955,transport.govt.nz & Prof. Ray Willis
2012M04,monthly,2011.25,BEV,0,transport.govt.nz & Prof. Ray Willis
2012M04,monthly,2011.25,DIESEL,2725,transport.govt.nz & Prof. Ray Willis
2012M04,monthly,2011.25,HEV,217,transport.govt.nz & Prof. Ray Willis
2012M04,monthly,2011.25,OTHER,0,transport.govt.nz & Prof. Ray Willis
2012M04,monthly,2011.25,PETROL,10775,transport.govt.nz & Prof. Ray Willis
2012M04,monthly,2011.25,PHEV,0,transport.govt.nz & Prof. Ray Willis
2012M04,monthly,2011.25,TOTAL,13717,transport.govt.nz & Prof. Ray Willis
2012M05,monthly,2011.333333,BEV,2,transport.govt.nz & Prof. Ray Willis
2012M05,monthly,2011.333333,DIESEL,3680,transport.govt.nz & Prof. Ray Willis
2012M05,monthly,2011.333333,HEV,181,transport.govt.nz & Prof. Ray Willis
2012M05,monthly,2011.333333,OTHER,0,transport.govt.nz & Prof. Ray Willis
2012M05,monthly,2011.333333,PETROL,12208,transport.govt.nz & Prof. Ray Willis
2012M05,monthly,2011.333333,PHEV,0,transport.govt.nz & Prof. Ray Willis
2012M05,monthly,2011.333333,TOTAL,16071,transport.govt.nz & Prof. Ray Willis
2012M06,monthly,2011.416667,BEV,9,transport.govt.nz & Prof. Ray Willis
2012M06,monthly,2011.416667,DIESEL,4385,transport.govt.nz & Prof. Ray Willis
2012M06,monthly,2011.416667,HEV,114,transport.govt.nz & Prof. Ray Willis
2012M06,monthly,2011.416667,OTHER,0,transport.govt.nz & Prof. Ray Willis
2012M06,monthly,2011.416667,PETROL,12490,transport.govt.nz & Prof. Ray Willis
2012M06,monthly,2011.416667,PHEV,0,transport.govt.nz & Prof. Ray Willis
2012M06,monthly,2011.416667,TOTAL,16998,transport.govt.nz & Prof. Ray Willis
2012M07,monthly,2011.5,BEV,2,transport.govt.nz & Prof. Ray Willis
