period,interval,year,category,registrations,source
2016M01,monthly,2015,DIESEL,474,transport.govt.nz & Prof. Ray Willis
2016M01,monthly,2015,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M01,monthly,2015,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M01,monthly,2015,PETROL,1,transport.govt.nz & Prof. Ray Willis
2016M01,monthly,2015,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M01,monthly,2015,TOTAL,475,transport.govt.nz & Prof. Ray Willis
2016M02,monthly,2015.083333,DIESEL,425,transport.govt.nz & Prof. Ray Willis
2016M02,monthly,2015.083333,HEV,1,transport.govt.nz & Prof. Ray Willis
2016M02,monthly,2015.083333,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M02,monthly,2015.083333,PETROL,3,transport.govt.nz & Prof. Ray Willis
2016M02,monthly,2015.083333,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M02,monthly,2015.083333,TOTAL,429,transport.govt.nz & Prof. Ray Willis
2016M03,monthly,2015.166667,BEV,1,transport.govt.nz & Prof. Ray Willis
2016M03,monthly,2015.166667,DIESEL,585,transport.govt.nz & Prof. Ray Willis
2016M03,monthly,2015.166667,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M03,monthly,2015.166667,OTHER,1,transport.govt.nz & Prof. Ray Willis
2016M03,monthly,2015.166667,PETROL,2,transport.govt.nz & Prof. Ray Willis
2016M03,monthly,2015.166667,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M03,monthly,2015.166667,TOTAL,589,transport.govt.nz & Prof. Ray Willis
2016M04,monthly,2015.25,BEV,1,transport.govt.nz & Prof. Ray Willis
2016M04,monthly,2015.25,DIESEL,489,transport.govt.nz & Prof. Ray Willis
2016M04,monthly,2015.25,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M04,monthly,2015.25,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M04,monthly,2015.25,PETROL,2,transport.govt.nz & Prof. Ray Willis
2016M04,monthly,2015.25,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M04,monthly,2015.25,TOTAL,492,transport.govt.nz & Prof. Ray Willis
2016M05,monthly,2015.333333,DIESEL,569,transport.govt.nz & Prof. Ray Willis
2016M05,monthly,2015.333333,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M05,monthly,2015.333333,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M05,monthly,2015.333333,PETROL,5,transport.govt.nz & Prof. Ray Willis
2016M05,monthly,2015.333333,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M05,monthly,2015.333333,TOTAL,574,transport.govt.nz & Prof. Ray Willis
2016M06,monthly,2015.416667,DIESEL,522,transport.govt.nz & Prof. Ray Willis
2016M06,monthly,2015.416667,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M06,monthly,2015.416667,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M06,monthly,2015.416667,PETROL,8,transport.govt.nz & Prof. Ray Willis
2016M06,monthly,2015.416667,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M06,monthly,2015.416667,TOTAL,530,transport.govt.nz & Prof. Ray Willis
2016M07,monthly,2015.5,DIESEL,580,transport.govt.nz & Prof. Ray Willis
2016M07,monthly,2015.5,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M07,monthly,2015.5,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M07,monthly,2015.5,PETROL,2,transport.govt.nz & Prof. Ray Willis
2016M07,monthly,2015.5,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M07,monthly,2015.5,TOTAL,582,transport.govt.nz & Prof. Ray Willis
2016M08,monthly,2015.583333,DIESEL,658,transport.govt.nz & Prof. Ray Willis
2016M08,monthly,2015.583333,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M08,monthly,2015.583333,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M08,monthly,2015.583333,PETROL,5,transport.govt.nz & Prof. Ray Willis
2016M08,monthly,2015.583333,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M08,monthly,2015.583333,TOTAL,663,transport.govt.nz & Prof. Ray Willis
2016M09,monthly,2015.666667,BEV,1,transport.govt.nz & Prof. Ray Willis
2016M09,monthly,2015.666667,DIESEL,715,transport.govt.nz & Prof. Ray Willis
2016M09,monthly,2015.666667,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M09,monthly,2015.666667,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M09,monthly,2015.666667,PETROL,3,transport.govt.nz & Prof. Ray Willis
2016M09,monthly,2015.666667,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M09,monthly,2015.666667,TOTAL,719,transport.govt.nz & Prof. Ray Willis
2016M10,monthly,2015.75,DIESEL,603,transport.govt.nz & Prof. Ray Willis
2016M10,monthly,2015.75,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M10,monthly,2015.75,OTHER,1,transport.govt.nz & Prof. Ray Willis
2016M10,monthly,2015.75,PETROL,2,transport.govt.nz & Prof. Ray Willis
2016M10,monthly,2015.75,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M10,monthly,2015.75,TOTAL,606,transport.govt.nz & Prof. Ray Willis
2016M11,monthly,2015.833333,DIESEL,650,transport.govt.nz & Prof. Ray Willis
2016M11,monthly,2015.833333,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M11,monthly,2015.833333,OTHER,1,transport.govt.nz & Prof. Ray Willis
2016M11,monthly,2015.833333,PETROL,4,transport.govt.nz & Prof. Ray Willis
2016M11,monthly,2015.833333,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M11,monthly,2015.833333,TOTAL,655,transport.govt.nz & Prof. Ray Willis
2016M12,monthly,2015.916667,DIESEL,503,transport.govt.nz & Prof. Ray Willis
2016M12,monthly,2015.916667,HEV,0,transport.govt.nz & Prof. Ray Willis
2016M12,monthly,2015.916667,OTHER,0,transport.govt.nz & Prof. Ray Willis
2016M12,monthly,2015.916667,PETROL,4,transport.govt.nz & Prof. Ray Willis
2016M12,monthly,2015.916667,PHEV,0,transport.govt.nz & Prof. Ray Willis
2016M12,monthly,2015.916667,TOTAL,507,transport.govt.nz & Prof. Ray Willis
2017M01,monthly,2016,DIESEL,510,transport.govt.nz & Prof. Ray Willis
2017M01,monthly,2016,HEV,0,transport.govt.nz & Prof. Ray Willis
