period,interval,year,category,registrations,source
2005M01,monthly,2004,BEV,2,ofv.no & ACEA
2005M01,monthly,2004,DIESEL,2839,ofv.no & ACEA
2005M01,monthly,2004,HEV,0,ofv.no & ACEA
2005M01,monthly,2004,OTHER,0,ofv.no & ACEA
2005M01,monthly,2004,PETROL,4971,ofv.no & ACEA
2005M01,monthly,2004,PHEV,0,ofv.no & ACEA
2005M01,monthly,2004,TOTAL,7812,ofv.no & ACEA
2005M02,monthly,2004.083333,BEV,0,ofv.no & ACEA
2005M02,monthly,2004.083333,DIESEL,3235,ofv.no & ACEA
2005M02,monthly,2004.083333,HEV,0,ofv.no & ACEA
2005M02,monthly,2004.083333,OTHER,0,ofv.no & ACEA
2005M02,monthly,2004.083333,PETROL,5670,ofv.no & ACEA
2005M02,monthly,2004.083333,PHEV,0,ofv.no & ACEA
2005M02,monthly,2004.083333,TOTAL,8905,ofv.no & ACEA
2005M03,monthly,2004.166667,BEV,1,ofv.no & ACEA
2005M03,monthly,2004.166667,DIESEL,3808,ofv.no & ACEA
2005M03,monthly,2004.166667,HEV,0,ofv.no & ACEA
2005M03,monthly,2004.166667,OTHER,0,ofv.no & ACEA
2005M03,monthly,2004.166667,PETROL,6462,ofv.no & ACEA
2005M03,monthly,2004.166667,PHEV,0,ofv.no & ACEA
2005M03,monthly,2004.166667,TOTAL,10271,ofv.no & ACEA
2005M04,monthly,2004.25,BEV,0,ofv.no & ACEA
2005M04,monthly,2004.25,DIESEL,4482,ofv.no & ACEA
2005M04,monthly,2004.25,HEV,0,ofv.no & ACEA
2005M04,monthly,2004.25,OTHER,0,ofv.no & ACEA
2005M04,monthly,2004.25,PETROL,6421,ofv.no & ACEA
2005M04,monthly,2004.25,PHEV,0,ofv.no & ACEA
2005M04,monthly,2004.25,TOTAL,10903,ofv.no & ACEA
2005M05,monthly,2004.333333,BEV,0,ofv.no & ACEA
2005M05,monthly,2004.333333,DIESEL,4294,ofv.no & ACEA
2005M05,monthly,2004.333333,HEV,0,ofv.no & ACEA
2005M05,monthly,2004.333333,OTHER,0,ofv.no & ACEA
2005M05,monthly,2004.333333,PETROL,6274,ofv.no & ACEA
2005M05,monthly,2004.333333,PHEV,0,ofv.no & ACEA
2005M05,monthly,2004.333333,TOTAL,10568,ofv.no & ACEA
2005M06,monthly,2004.416667,BEV,1,ofv.no & ACEA
2005M06,monthly,2004.416667,DIESEL,4601,ofv.no & ACEA
2005M06,monthly,2004.416667,HEV,0,ofv.no & ACEA
2005M06,monthly,2004.416667,OTHER,0,ofv.no & ACEA
2005M06,monthly,2004.416667,PETROL,6205,ofv.no & ACEA
2005M06,monthly,2004.416667,PHEV,0,ofv.no & ACEA
2005M06,monthly,2004.416667,TOTAL,10807,ofv.no & ACEA
2005M07,monthly,2004.5,BEV,1,ofv.no & ACEA
2005M07,monthly,2004.5,DIESEL,4492,ofv.no & ACEA
2005M07,monthly,2004.5,HEV,0,ofv.no & ACEA
2005M07,monthly,2004.5,OTHER,0,ofv.no & ACEA
2005M07,monthly,2004.5,PETROL,6071,ofv.no & ACEA
2005M07,monthly,2004.5,PHEV,0,ofv.no & ACEA
2005M07,monthly,2004.5,TOTAL,10564,ofv.no & ACEA
2005M08,monthly,2004.583333,BEV,0,ofv.no & ACEA
2005M08,monthly,2004.583333,DIESEL,4063,ofv.no & ACEA
2005M08,monthly,2004.583333,HEV,0,ofv.no & ACEA
2005M08,monthly,2004.583333,OTHER,0,ofv.no & ACEA
2005M08,monthly,2004.583333,PETROL,5284,ofv.no & ACEA
2005M08,monthly,2004.583333,PHEV,0,ofv.no & ACEA
2005M08,monthly,2004.583333,TOTAL,9347,ofv.no & ACEA
2005M09,monthly,2004.666667,BEV,0,ofv.no & ACEA
2005M09,monthly,2004.666667,DIESEL,4618,ofv.no & ACEA
2005M09,monthly,2004.666667,HEV,0,ofv.no & ACEA
2005M09,monthly,2004.666667,OTHER,0,ofv.no & ACEA
2005M09,monthly,2004.666667,PETROL,5074,ofv.no & ACEA
2005M09,monthly,2004.666667,PHEV,0,ofv.no & ACEA
2005M09,monthly,2004.666667,TOTAL,9692,ofv.no & ACEA
2005M10,monthly,2004.75,BEV,0,ofv.no & ACEA
2005M10,monthly,2004.75,DIESEL,4722,ofv.no & ACEA
2005M10,monthly,2004.75,HEV,0,ofv.no & ACEA
2005M10,monthly,2004.75,OTHER,0,ofv.no & ACEA
2005M10,monthly,2004.75,PETROL,4890,ofv.no & ACEA
2005M10,monthly,2004.75,PHEV,0,ofv.no & ACEA
2005M10,monthly,2004.75,TOTAL,9612,ofv.no & ACEA
2005M11,monthly,2004.833333,BEV,0,ofv.no & ACEA
2005M11,monthly,2004.833333,DIESEL,5339,ofv.no & ACEA
2005M11,monthly,2004.833333,HEV,0,ofv.no & ACEA
2005M11,monthly,2004.833333,OTHER,0,ofv.no & ACEA
2005M11,monthly,2004.833333,PETROL,4657,ofv.no & ACEA
2005M11,monthly,2004.833333,PHEV,0,ofv.no & ACEA
2005M11,monthly,2004.833333,TOTAL,9996,ofv.no & ACEA
2005M12,monthly,2004.916667,BEV,0,ofv.no & ACEA
2005M12,monthly,2004.916667,DIESEL,5849,ofv.no & ACEA
2005M12,monthly,2004.916667,HEV,0,ofv.no & ACEA
2005M12,monthly,2004.916667,OTHER,0,ofv.no & ACEA
2005M12,monthly,2004.916667,PETROL,4978,ofv.no & ACEA
2005M12,monthly,2004.916667,PHEV,0,ofv.no & ACEA
2005M12,monthly,2004.916667,TOTAL,10827,ofv.no & ACEA
2006M01,monthly,2005,BEV,0,ofv.no & ACEA
2006M01,monthly,2005,DIESEL,4568,ofv.no & ACEA
2006M01,monthly,2005,HEV,0,ofv.no & ACEA
2006M01,monthly,2005,OTHER,0,ofv.no & ACEA
2006M01,monthly,2005,PETROL,3543,ofv.no & ACEA
2006M01,monthly,2005,PHEV,0,ofv.no & ACEA
2006M01,monthly,2005,TOTAL,8111,ofv.no & ACEA
2006M02,monthly,2005.083333,BEV,0,ofv.no & ACEA
2006M02,monthly,2005.083333,DIESEL,4183,ofv.no & ACEA
2006M02,monthly,2005.083333,HEV,0,ofv.no & ACEA
2006M02,monthly,2005.083333,OTHER,0,ofv.no & ACEA
2006M02,monthly,2005.083333,PETROL,3990,ofv.no & ACEA
2006M02,monthly,2005.083333,PHEV,0,ofv.no & ACEA
2006M02,monthly,2005.083333,TOTAL,8173,ofv.no & ACEA
2006M03,monthly,2005.166667,BEV,0,ofv.no & ACEA
2006M03,monthly,2005.166667,DIESEL,5688,ofv.no & ACEA
2006M03,monthly,2005.166667,HEV,0,ofv.no & ACEA
2006M03,monthly,2005.166667,OTHER,0,ofv.no & ACEA
2006M03,monthly,2005.166667,PETROL,5107,ofv.no & ACEA
2006M03,monthly,2005.166667,PHEV,0,ofv.no & ACEA
2006M03,monthly,2005.166667,TOTAL,10795,ofv.no & ACEA
2006M04,monthly,2005.25,BEV,0,ofv.no & ACEA
2006M04,monthly,2005.25,DIESEL,4832,ofv.no & ACEA
2006M04,monthly,2005.25,HEV,0,ofv.no & ACEA
2006M04,monthly,2005.25,OTHER,0,ofv.no & ACEA
2006M04,monthly,2005.25,PETROL,4310,ofv.no & ACEA
2006M04,monthly,2005.25,PHEV,0,ofv.no & ACEA
2006M04,monthly,2005.25,TOTAL,9142,ofv.no & ACEA
2006M05,monthly,2005.333333,BEV,2,ofv.no & ACEA
2006M05,monthly,2005.333333,DIESEL,6197,ofv.no & ACEA
