period,interval,year,category,registrations,source
2011M01,quarterly,2010,BEV,3.583333333,ACEA / PZPM
2011M01,quarterly,2010,HEV,0,ACEA / PZPM
2011M01,quarterly,2010,PHEV,0,ACEA / PZPM
2011M01,quarterly,2010,TOTAL,24528,ACEA / PZPM
2011M02,quarterly,2010.083333,BEV,3.583333333,ACEA / PZPM
2011M02,quarterly,2010.083333,HEV,0,ACEA / PZPM
2011M02,quarterly,2010.083333,PHEV,0,ACEA / PZPM
2011M02,quarterly,2010.083333,TOTAL,23458,ACEA / PZPM
2011M03,quarterly,2010.166667,BEV,3.583333333,ACEA / PZPM
2011M03,quarterly,2010.166667,HEV,0,ACEA / PZPM
2011M03,quarterly,2010.166667,PHEV,0,ACEA / PZPM
2011M03,quarterly,2010.166667,TOTAL,28396,ACEA / PZPM
2011M04,quarterly,2010.25,BEV,3.583333333,ACEA / PZPM
2011M04,quarterly,2010.25,HEV,0,ACEA / PZPM
2011M04,quarterly,2010.25,PHEV,0,ACEA / PZPM
2011M04,quarterly,2010.25,TOTAL,24350,ACEA / PZPM
2011M05,quarterly,2010.333333,BEV,3.583333333,ACEA / PZPM
2011M05,quarterly,2010.333333,HEV,0,ACEA / PZPM
2011M05,quarterly,2010.333333,PHEV,0,ACEA / PZPM
2011M05,quarterly,2010.333333,TOTAL,24422,ACEA / PZPM
2011M06,quarterly,2010.416667,BEV,3.583333333,ACEA / PZPM
2011M06,quarterly,2010.416667,HEV,0,ACEA / PZPM
2011M06,quarterly,2010.416667,PHEV,0,ACEA / PZPM
2011M06,quarterly,2010.416667,TOTAL,26138,ACEA / PZPM
2011M07,quarterly,2010.5,BEV,3.583333333,ACEA / PZPM
2011M07,quarterly,2010.5,HEV,0,ACEA / PZPM
2011M07,quarterly,2010.5,PHEV,0,ACEA / PZPM
2011M07,quarterly,2010.5,TOTAL,23288,ACEA / PZPM
2011M08,quarterly,2010.583333,BEV,3.583333333,ACEA / PZPM
2011M08,quarterly,2010.583333,HEV,0,ACEA / PZPM
2011M08,quarterly,2010.583333,PHEV,0,ACEA / PZPM
2011M08,quarterly,2010.583333,TOTAL,19340,ACEA / PZPM
2011M09,quarterly,2010.666667,BEV,3.583333333,ACEA / PZPM
2011M09,quarterly,2010.666667,HEV,0,ACEA / PZPM
2011M09,quarterly,2010.666667,PHEV,0,ACEA / PZPM
2011M09,quarterly,2010.666667,TOTAL,24318,ACEA / PZPM
2011M10,quarterly,2010.75,BEV,3.583333333,ACEA / PZPM
2011M10,quarterly,2010.75,HEV,0,ACEA / PZPM
2011M10,quarterly,2010.75,PHEV,0,ACEA / PZPM
2011M10,quarterly,2010.75,TOTAL,24883,ACEA / PZPM
2011M11,quarterly,2010.833333,BEV,3.583333333,ACEA / PZPM
2011M11,quarterly,2010.833333,HEV,0,ACEA / PZPM
2011M11,quarterly,2010.833333,PHEV,0,ACEA / PZPM
2011M11,quarterly,2010.833333,TOTAL,26595,ACEA / PZPM
2011M12,quarterly,2010.916667,BEV,3.583333333,ACEA / PZPM
2011M12,quarterly,2010.916667,HEV,0,ACEA / PZPM
2011M12,quarterly,2010.916667,PHEV,0,ACEA / PZPM
2011M12,quarterly,2010.916667,TOTAL,28221,ACEA / PZPM
2012M01,quarterly,2011,BEV,3.666666667,ACEA / PZPM
2012M01,quarterly,2011,HEV,0,ACEA / PZPM
2012M01,quarterly,2011,PHEV,0,ACEA / PZPM
2012M01,quarterly,2011,TOTAL,24057,ACEA / PZPM
2012M02,quarterly,2011.083333,BEV,3.666666667,ACEA / PZPM
2012M02,quarterly,2011.083333,HEV,0,ACEA / PZPM
2012M02,quarterly,2011.083333,PHEV,0,ACEA / PZPM
2012M02,quarterly,2011.083333,TOTAL,23732,ACEA / PZPM
2012M03,quarterly,2011.166667,BEV,3.666666667,ACEA / PZPM
2012M03,quarterly,2011.166667,HEV,0,ACEA / PZPM
2012M03,quarterly,2011.166667,PHEV,0,ACEA / PZPM
2012M03,quarterly,2011.166667,TOTAL,29349,ACEA / PZPM
2012M04,quarterly,2011.25,BEV,3.666666667,ACEA / PZPM
2012M04,quarterly,2011.25,HEV,0,ACEA / PZPM
2012M04,quarterly,2011.25,PHEV,0,ACEA / PZPM
2012M04,quarterly,2011.25,TOTAL,23602,ACEA / PZPM
2012M05,quarterly,2011.333333,BEV,3.666666667,ACEA / PZPM
2012M05,quarterly,2011.333333,HEV,0,ACEA / PZPM
2012M05,quarterly,2011.333333,PHEV,0,ACEA / PZPM
2012M05,quarterly,2011.333333,TOTAL,23684,ACEA / PZPM
2012M06,quarterly,2011.416667,BEV,3.666666667,ACEA / PZPM
2012M06,quarterly,2011.416667,HEV,0,ACEA / PZPM
2012M06,quarterly,2011.416667,PHEV,0,ACEA / PZPM
2012M06,quarterly,2011.416667,TOTAL,23157,ACEA / PZPM
2012M07,quarterly,2011.5,BEV,3.666666667,ACEA / PZPM
2012M07,quarterly,2011.5,HEV,0,ACEA / PZPM
2012M07,quarterly,2011.5,PHEV,0,ACEA / PZPM
2012M07,quarterly,2011.5,TOTAL,20681,ACEA / PZPM
2012M08,quarterly,2011.583333,BEV,3.666666667,ACEA / PZPM
2012M08,quarterly,2011.583333,HEV,0,ACEA / PZPM
2012M08,quarterly,2011.583333,PHEV,0,ACEA / PZPM
2012M08,quarterly,2011.583333,TOTAL,17976,ACEA / PZPM
2012M09,quarterly,2011.666667,BEV,3.666666667,ACEA / PZPM
2012M09,quarterly,2011.666667,HEV,0,ACEA / PZPM
2012M09,quarterly,2011.666667,PHEV,0,ACEA / PZPM
2012M09,quarterly,2011.666667,TOTAL,18727,ACEA / PZPM
2012M10,quarterly,2011.75,BEV,3.666666667,ACEA / PZPM
2012M10,quarterly,2011.75,HEV,0,ACEA / PZPM
2012M10,quarterly,2011.75,PHEV,0,ACEA / PZPM
2012M10,quarterly,2011.75,TOTAL,22048,ACEA / PZPM
2012M11,quarterly,2011.833333,BEV,3.666666667,ACEA / PZPM
2012M11,quarterly,2011.833333,HEV,0,ACEA / PZPM
2012M11,quarterly,2011.833333,PHEV,0,ACEA / PZPM
2012M11,quarterly,2011.833333,TOTAL,23062,ACEA / PZPM
2012M12,quarterly,2011.916667,BEV,3.666666667,ACEA / PZPM
2012M12,quarterly,2011.916667,HEV,0,ACEA / PZPM
2012M12,quarterly,2011.916667,PHEV,0,ACEA / PZPM
2012M12,quarterly,2011.916667,TOTAL,20820,ACEA / PZPM
2013M01,quarterly,2012,BEV,2.583333333,ACEA / PZPM
2013M01,quarterly,2012,HEV,0,ACEA / PZPM
2013M01,quarterly,2012,PHEV,0,ACEA / PZPM
2013M01,quarterly,2012,TOTAL,26188,ACEA / PZPM
2013M02,quarterly,2012.083333,BEV,2.583333333,ACEA / PZPM
2013M02,quarterly,2012.083333,HEV,0,ACEA / PZPM
2013M02,quarterly,2012.083333,PHEV,0,ACEA / PZPM
2013M02,quarterly,2012.083333,TOTAL,24072,ACEA / PZPM
2013M03,quarterly,2012.166667,BEV,2.583333333,ACEA / PZPM
2013M03,quarterly,2012.166667,HEV,0,ACEA / PZPM
2013M03,quarterly,2012.166667,PHEV,0,ACEA / PZPM
2013M03,quarterly,2012.166667,TOTAL,25374,ACEA / PZPM
2013M04,quarterly,2012.25,BEV,2.583333333,ACEA / PZPM
2013M04,quarterly,2012.25,HEV,0,ACEA / PZPM
2013M04,quarterly,2012.25,PHEV,0,ACEA / PZPM
2013M04,quarterly,2012.25,TOTAL,24018,ACEA / PZPM
2013M05,quarterly,2012.333333,BEV,2.583333333,ACEA / PZPM
2013M05,quarterly,2012.333333,HEV,0,ACEA / PZPM
2013M05,quarterly,2012.333333,PHEV,0,ACEA / PZPM
2013M05,quarterly,2012.333333,TOTAL,22617,ACEA / PZPM
2013M06,quarterly,2012.416667,BEV,2.583333333,ACEA / PZPM
2013M06,quarterly,2012.416667,HEV,0,ACEA / PZPM
2013M06,quarterly,2012.416667,PHEV,0,ACEA / PZPM
2013M06,quarterly,2012.416667,TOTAL,24998,ACEA / PZPM
2013M07,quarterly,2012.5,BEV,2.583333333,ACEA / PZPM
2013M07,quarterly,2012.5,HEV,0,ACEA / PZPM
2013M07,quarterly,2012.5,PHEV,0,ACEA / PZPM
2013M07,quarterly,2012.5,TOTAL,24717,ACEA / PZPM
2013M08,quarterly,2012.583333,BEV,2.583333333,ACEA / PZPM
2013M08,quarterly,2012.583333,HEV,0,ACEA / PZPM
2013M08,quarterly,2012.583333,PHEV,0,ACEA / PZPM
2013M08,quarterly,2012.583333,TOTAL,18827,ACEA / PZPM
2013M09,quarterly,2012.666667,BEV,2.583333333,ACEA / PZPM
2013M09,quarterly,2012.666667,HEV,0,ACEA / PZPM
2013M09,quarterly,2012.666667,PHEV,0,ACEA / PZPM
2013M09,quarterly,2012.666667,TOTAL,21467,ACEA / PZPM
2013M10,quarterly,2012.75,BEV,2.583333333,ACEA / PZPM
2013M10,quarterly,2012.75,HEV,0,ACEA / PZPM
2013M10,quarterly,2012.75,PHEV,0,ACEA / PZPM
2013M10,quarterly,2012.75,TOTAL,26433,ACEA / PZPM
2013M11,quarterly,2012.833333,BEV,2.583333333,ACEA / PZPM
2013M11,quarterly,2012.833333,HEV,0,ACEA / PZPM
2013M11,quarterly,2012.833333,PHEV,0,ACEA / PZPM
2013M11,quarterly,2012.833333,TOTAL,24049,ACEA / PZPM
2013M12,quarterly,2012.916667,BEV,2.583333333,ACEA / PZPM
2013M12,quarterly,2012.916667,HEV,0,ACEA / PZPM
2013M12,quarterly,2012.916667,PHEV,0,ACEA / PZPM
2013M12,quarterly,2012.916667,TOTAL,26238,ACEA / PZPM
2014M01,quarterly,2013,BEV,11.66666667,ACEA / PZPM
2014M01,quarterly,2013,HEV,66.952492684812,ACEA / PZPM
2014M01,quarterly,2013,PHEV,5.083333333333333,ACEA / PZPM
2014M01,quarterly,2013,TOTAL,29181,ACEA / PZPM
2014M02,quarterly,2013.083333,BEV,11.66666667,ACEA / PZPM
2014M02,quarterly,2013.083333,HEV,66.952492684812,ACEA / PZPM
2014M02,quarterly,2013.083333,PHEV,5.083333333333333,ACEA / PZPM
2014M02,quarterly,2013.083333,TOTAL,32593,ACEA / PZPM
2014M03,quarterly,2013.166667,BEV,11.66666667,ACEA / PZPM
2014M03,quarterly,2013.166667,HEV,66.952492684812,ACEA / PZPM
2014M03,quarterly,2013.166667,PHEV,5.083333333333333,ACEA / PZPM
2014M03,quarterly,2013.166667,TOTAL,35848,ACEA / PZPM
2014M04,quarterly,2013.25,BEV,11.66666667,ACEA / PZPM
2014M04,quarterly,2013.25,HEV,66.952492684812,ACEA / PZPM
2014M04,quarterly,2013.25,PHEV,5.083333333333333,ACEA / PZPM
2014M04,quarterly,2013.25,TOTAL,28045,ACEA / PZPM
2014M05,quarterly,2013.333333,BEV,11.66666667,ACEA / PZPM
2014M05,quarterly,2013.333333,HEV,66.952492684812,ACEA / PZPM
2014M05,quarterly,2013.333333,PHEV,5.083333333333333,ACEA / PZPM
2014M05,quarterly,2013.333333,TOTAL,24494,ACEA / PZPM
2014M06,quarterly,2013.416667,BEV,11.66666667,ACEA / PZPM
2014M06,quarterly,2013.416667,HEV,66.952492684812,ACEA / PZPM
2014M06,quarterly,2013.416667,PHEV,5.083333333333333,ACEA / PZPM
2014M06,quarterly,2013.416667,TOTAL,25748,ACEA / PZPM
2014M07,quarterly,2013.5,BEV,11.66666667,ACEA / PZPM
2014M07,quarterly,2013.5,HEV,66.952492684812,ACEA / PZPM
2014M07,quarterly,2013.5,PHEV,5.083333333333333,ACEA / PZPM
2014M07,quarterly,2013.5,TOTAL,25566,ACEA / PZPM
2014M08,quarterly,2013.583333,BEV,11.66666667,ACEA / PZPM
2014M08,quarterly,2013.583333,HEV,66.952492684812,ACEA / PZPM
2014M08,quarterly,2013.583333,PHEV,5.083333333333333,ACEA / PZPM
2014M08,quarterly,2013.583333,TOTAL,20003,ACEA / PZPM
2014M09,quarterly,2013.666667,BEV,11.66666667,ACEA / PZPM
2014M09,quarterly,2013.666667,HEV,66.952492684812,ACEA / PZPM
2014M09,quarterly,2013.666667,PHEV,5.083333333333333,ACEA / PZPM
2014M09,quarterly,2013.666667,TOTAL,23565,ACEA / PZPM
2014M10,quarterly,2013.75,BEV,11.66666667,ACEA / PZPM
2014M10,quarterly,2013.75,HEV,66.952492684812,ACEA / PZPM
2014M10,quarterly,2013.75,PHEV,5.083333333333333,ACEA / PZPM
2014M10,quarterly,2013.75,TOTAL,28690,ACEA / PZPM
2014M11,quarterly,2013.833333,BEV,11.66666667,ACEA / PZPM
2014M11,quarterly,2013.833333,HEV,66.952492684812,ACEA / PZPM
2014M11,quarterly,2013.833333,PHEV,5.083333333333333,ACEA / PZPM
2014M11,quarterly,2013.833333,TOTAL,24322,ACEA / PZPM
2014M12,quarterly,2013.916667,BEV,11.66666667,ACEA / PZPM
2014M12,quarterly,2013.916667,HEV,66.952492684812,ACEA / PZPM
2014M12,quarterly,2013.916667,PHEV,5.083333333333333,ACEA / PZPM
2014M12,quarterly,2013.916667,TOTAL,34159,ACEA / PZPM
2015M01,quarterly,2014,BEV,5.833333333,ACEA / PZPM
2015M01,quarterly,2014,HEV,164.63727709380004,ACEA / PZPM
2015M01,quarterly,2014,PHEV,12.5,ACEA / PZPM
2015M01,quarterly,2014,TOTAL,33953,ACEA / PZPM
2015M02,quarterly,2014.083333,BEV,5.833333333,ACEA / PZPM
2015M02,quarterly,2014.083333,HEV,164.63727709380004,ACEA / PZPM
2015M02,quarterly,2014.083333,PHEV,12.5,ACEA / PZPM
2015M02,quarterly,2014.083333,TOTAL,40364,ACEA / PZPM
2015M03,quarterly,2014.166667,BEV,5.833333333,ACEA / PZPM
2015M03,quarterly,2014.166667,HEV,164.63727709380004,ACEA / PZPM
2015M03,quarterly,2014.166667,PHEV,12.5,ACEA / PZPM
2015M03,quarterly,2014.166667,TOTAL,34530,ACEA / PZPM
2015M04,quarterly,2014.25,BEV,5.833333333,ACEA / PZPM
2015M04,quarterly,2014.25,HEV,164.63727709380004,ACEA / PZPM
2015M04,quarterly,2014.25,PHEV,12.5,ACEA / PZPM
2015M04,quarterly,2014.25,TOTAL,33408,ACEA / PZPM
2015M05,quarterly,2014.333333,BEV,5.833333333,ACEA / PZPM
2015M05,quarterly,2014.333333,HEV,164.63727709380004,ACEA / PZPM
2015M05,quarterly,2014.333333,PHEV,12.5,ACEA / PZPM
2015M05,quarterly,2014.333333,TOTAL,36769,ACEA / PZPM
2015M06,quarterly,2014.416667,BEV,5.833333333,ACEA / PZPM
2015M06,quarterly,2014.416667,HEV,164.63727709380004,ACEA / PZPM
2015M06,quarterly,2014.416667,PHEV,12.5,ACEA / PZPM
2015M06,quarterly,2014.416667,TOTAL,35848,ACEA / PZPM
2015M07,quarterly,2014.5,BEV,5.833333333,ACEA / PZPM
2015M07,quarterly,2014.5,HEV,164.63727709380004,ACEA / PZPM
2015M07,quarterly,2014.5,PHEV,12.5,ACEA / PZPM
2015M07,quarterly,2014.5,TOTAL,28694,ACEA / PZPM
2015M08,quarterly,2014.583333,BEV,5.833333333,ACEA / PZPM
2015M08,quarterly,2014.583333,HEV,164.63727709380004,ACEA / PZPM
2015M08,quarterly,2014.583333,PHEV,12.5,ACEA / PZPM
2015M08,quarterly,2014.583333,TOTAL,34381,ACEA / PZPM
2015M09,quarterly,2014.666667,BEV,5.833333333,ACEA / PZPM
2015M09,quarterly,2014.666667,HEV,164.63727709380004,ACEA / PZPM
2015M09,quarterly,2014.666667,PHEV,12.5,ACEA / PZPM
2015M09,quarterly,2014.666667,TOTAL,36591,ACEA / PZPM
2015M10,quarterly,2014.75,BEV,5.833333333,ACEA / PZPM
2015M10,quarterly,2014.75,HEV,164.63727709380004,ACEA / PZPM
