period,interval,year,category,registrations,source
2010M01,monthly,2009,BEV,2,ACAP
2010M01,monthly,2009,HEV,0,ACAP
2010M01,monthly,2009,PHEV,0,ACAP
2010M01,monthly,2009,TOTAL,14558,ACAP
2010M02,monthly,2009.083333,BEV,2,ACAP
2010M02,monthly,2009.083333,HEV,0,ACAP
2010M02,monthly,2009.083333,PHEV,0,ACAP
2010M02,monthly,2009.083333,TOTAL,15358,ACAP
2010M03,monthly,2009.166667,BEV,2,ACAP
2010M03,monthly,2009.166667,HEV,0,ACAP
2010M03,monthly,2009.166667,PHEV,0,ACAP
2010M03,monthly,2009.166667,TOTAL,23836,ACAP
2010M04,monthly,2009.25,BEV,2,ACAP
2010M04,monthly,2009.25,HEV,0,ACAP
2010M04,monthly,2009.25,PHEV,0,ACAP
2010M04,monthly,2009.25,TOTAL,16219,ACAP
2010M05,monthly,2009.333333,BEV,2,ACAP
2010M05,monthly,2009.333333,HEV,0,ACAP
2010M05,monthly,2009.333333,PHEV,0,ACAP
2010M05,monthly,2009.333333,TOTAL,19250,ACAP
2010M06,monthly,2009.416667,BEV,2,ACAP
2010M06,monthly,2009.416667,HEV,0,ACAP
2010M06,monthly,2009.416667,PHEV,0,ACAP
2010M06,monthly,2009.416667,TOTAL,26029,ACAP
2010M07,monthly,2009.5,BEV,2,ACAP
2010M07,monthly,2009.5,HEV,0,ACAP
2010M07,monthly,2009.5,PHEV,0,ACAP
2010M07,monthly,2009.5,TOTAL,20299,ACAP
2010M08,monthly,2009.583333,BEV,2,ACAP
2010M08,monthly,2009.583333,HEV,0,ACAP
2010M08,monthly,2009.583333,PHEV,0,ACAP
2010M08,monthly,2009.583333,TOTAL,11932,ACAP
2010M09,monthly,2009.666667,BEV,2,ACAP
2010M09,monthly,2009.666667,HEV,0,ACAP
2010M09,monthly,2009.666667,PHEV,0,ACAP
2010M09,monthly,2009.666667,TOTAL,13918,ACAP
2010M10,monthly,2009.75,BEV,2,ACAP
2010M10,monthly,2009.75,HEV,0,ACAP
2010M10,monthly,2009.75,PHEV,0,ACAP
2010M10,monthly,2009.75,TOTAL,15341,ACAP
2010M11,monthly,2009.833333,BEV,2,ACAP
2010M11,monthly,2009.833333,HEV,0,ACAP
2010M11,monthly,2009.833333,PHEV,0,ACAP
2010M11,monthly,2009.833333,TOTAL,18606,ACAP
2010M12,monthly,2009.916667,BEV,2,ACAP
2010M12,monthly,2009.916667,HEV,0,ACAP
2010M12,monthly,2009.916667,PHEV,0,ACAP
2010M12,monthly,2009.916667,TOTAL,28118,ACAP
2011M01,monthly,2010,BEV,17,ACAP
2011M01,monthly,2010,HEV,0,ACAP
2011M01,monthly,2010,PHEV,0,ACAP
2011M01,monthly,2010,TOTAL,13221,ACAP
2011M02,monthly,2010.083333,BEV,17,ACAP
2011M02,monthly,2010.083333,HEV,0,ACAP
2011M02,monthly,2010.083333,PHEV,0,ACAP
2011M02,monthly,2010.083333,TOTAL,13426,ACAP
2011M03,monthly,2010.166667,BEV,17,ACAP
2011M03,monthly,2010.166667,HEV,0,ACAP
2011M03,monthly,2010.166667,PHEV,0,ACAP
2011M03,monthly,2010.166667,TOTAL,18930,ACAP
2011M04,monthly,2010.25,BEV,17,ACAP
2011M04,monthly,2010.25,HEV,0,ACAP
2011M04,monthly,2010.25,PHEV,0,ACAP
2011M04,monthly,2010.25,TOTAL,14418,ACAP
2011M05,monthly,2010.333333,BEV,17,ACAP
2011M05,monthly,2010.333333,HEV,0,ACAP
2011M05,monthly,2010.333333,PHEV,0,ACAP
2011M05,monthly,2010.333333,TOTAL,14714,ACAP
2011M06,monthly,2010.416667,BEV,17,ACAP
2011M06,monthly,2010.416667,HEV,0,ACAP
2011M06,monthly,2010.416667,PHEV,0,ACAP
2011M06,monthly,2010.416667,TOTAL,17150,ACAP
2011M07,monthly,2010.5,BEV,17,ACAP
