period,interval,year,category,registrations,source
2010M06,yearly,2009.416667,BEV,187,ACEA
2010M06,yearly,2009.416667,DIESEL,113019,ACEA
2010M06,yearly,2009.416667,HEV,0,ACEA
2010M06,yearly,2009.416667,OTHER,71,ACEA
2010M06,yearly,2009.416667,PETROL,196675,ACEA
2010M06,yearly,2009.416667,PHEV,0,ACEA
2010M06,yearly,2009.416667,TOTAL,309952,ACEA
2011M06,yearly,2010.416667,BEV,270,ACEA
2011M06,yearly,2010.416667,DIESEL,68085,ACEA
2011M06,yearly,2010.416667,HEV,0,ACEA
2011M06,yearly,2010.416667,OTHER,93,ACEA
2011M06,yearly,2010.416667,PETROL,108107,ACEA
2011M06,yearly,2010.416667,PHEV,0,ACEA
2011M06,yearly,2010.416667,TOTAL,176555,ACEA
2012M06,yearly,2011.416667,BEV,168,ACEA
2012M06,yearly,2011.416667,DIESEL,34637,ACEA
2012M06,yearly,2011.416667,HEV,0,ACEA
2012M06,yearly,2011.416667,OTHER,16,ACEA
2012M06,yearly,2011.416667,PETROL,31968,ACEA
2012M06,yearly,2011.416667,PHEV,0,ACEA
2012M06,yearly,2011.416667,TOTAL,66789,ACEA
2013M06,yearly,2012.416667,BEV,247,ACEA
2013M06,yearly,2012.416667,DIESEL,31481,ACEA
2013M06,yearly,2012.416667,HEV,0,ACEA
2013M06,yearly,2012.416667,OTHER,355,ACEA
2013M06,yearly,2012.416667,PETROL,25617,ACEA
2013M06,yearly,2012.416667,PHEV,0,ACEA
2013M06,yearly,2012.416667,TOTAL,57700,ACEA
2014M06,yearly,2013.416667,BEV,254,ACEA
2014M06,yearly,2013.416667,DIESEL,39774,ACEA
2014M06,yearly,2013.416667,HEV,0,ACEA
2014M06,yearly,2013.416667,OTHER,785,ACEA
2014M06,yearly,2013.416667,PETROL,29362,ACEA
2014M06,yearly,2013.416667,PHEV,0,ACEA
2014M06,yearly,2013.416667,TOTAL,70175,ACEA
2015M06,yearly,2014.416667,BEV,479,ACEA
2015M06,yearly,2014.416667,DIESEL,44861,ACEA
2015M06,yearly,2014.416667,HEV,0,ACEA
2015M06,yearly,2014.416667,OTHER,734,ACEA
2015M06,yearly,2014.416667,PETROL,35101,ACEA
2015M06,yearly,2014.416667,PHEV,0,ACEA
2015M06,yearly,2014.416667,TOTAL,81175,ACEA
2016M06,yearly,2015.416667,BEV,69,ACEA
2016M06,yearly,2015.416667,DIESEL,48591,ACEA
2016M06,yearly,2015.416667,HEV,1060,ACEA
2016M06,yearly,2015.416667,OTHER,1039,ACEA
2016M06,yearly,2015.416667,PETROL,44422,ACEA
2016M06,yearly,2015.416667,PHEV,0,ACEA
2016M06,yearly,2015.416667,TOTAL,95181,ACEA
2017M06,yearly,2016.416667,BEV,232,ACEA
2017M06,yearly,2016.416667,DIESEL,53979,ACEA
2017M06,yearly,2016.416667,HEV,2089,ACEA
