period,interval,year,category,registrations,source
2016M01,yearly,2015,BEV,0.8333333333333334,data.gov.s / lta.gov.sg / robbieandrew
2016M01,yearly,2015,DIESEL,321,data.gov.s / lta.gov.sg / robbieandrew
2016M01,yearly,2015,HEV,0,data.gov.s / lta.gov.sg / robbieandrew
2016M01,yearly,2015,OTHER,107,data.gov.s / lta.gov.sg / robbieandrew
2016M01,yearly,2015,PETROL,6644,data.gov.s / lta.gov.sg / robbieandrew
2016M01,yearly,2015,PHEV,0,data.gov.s / lta.gov.sg / robbieandrew
2016M01,yearly,2015,TOTAL,7072.833333333333,data.gov.s / lta.gov.sg / robbieandrew
2016M02,yearly,2015.083333,BEV,0.8333333333333334,data.gov.s / lta.gov.sg / robbieandrew
2016M02,yearly,2015.083333,DIESEL,270,data.gov.s / lta.gov.sg / robbieandrew
2016M02,yearly,2015.083333,HEV,0,data.gov.s / lta.gov.sg / robbieandrew
2016M02,yearly,2015.083333,OTHER,85,data.gov.s / lta.gov.sg / robbieandrew
2016M02,yearly,2015.083333,PETROL,5379,data.gov.s / lta.gov.sg / robbieandrew
2016M02,yearly,2015.083333,PHEV,0,data.gov.s / lta.gov.sg / robbieandrew
2016M02,yearly,2015.083333,TOTAL,5734.833333333333,data.gov.s / lta.gov.sg / robbieandrew
2016M03,yearly,2015.166667,BEV,0.8333333333333334,data.gov.s / lta.gov.sg / robbieandrew
2016M03,yearly,2015.166667,DIESEL,318,data.gov.s / lta.gov.sg / robbieandrew
2016M03,yearly,2015.166667,HEV,0,data.gov.s / lta.gov.sg / robbieandrew
2016M03,yearly,2015.166667,OTHER,151,data.gov.s / lta.gov.sg / robbieandrew
2016M03,yearly,2015.166667,PETROL,6637,data.gov.s / lta.gov.sg / robbieandrew
2016M03,yearly,2015.166667,PHEV,0,data.gov.s / lta.gov.sg / robbieandrew
2016M03,yearly,2015.166667,TOTAL,7106.833333333333,data.gov.s / lta.gov.sg / robbieandrew
2016M04,yearly,2015.25,BEV,0.8333333333333334,data.gov.s / lta.gov.sg / robbieandrew
2016M04,yearly,2015.25,DIESEL,362,data.gov.s / lta.gov.sg / robbieandrew
2016M04,yearly,2015.25,HEV,0,data.gov.s / lta.gov.sg / robbieandrew
2016M04,yearly,2015.25,OTHER,133,data.gov.s / lta.gov.sg / robbieandrew
2016M04,yearly,2015.25,PETROL,6693,data.gov.s / lta.gov.sg / robbieandrew
