period,interval,year,category,registrations,source
2018M01,quarterly,2017,BEV,18,ACEA
2018M01,quarterly,2017,DIESEL,3802,ACEA
2018M01,quarterly,2017,HEV,183,ACEA
2018M01,quarterly,2017,OTHER,81,ACEA
2018M01,quarterly,2017,PETROL,5093,ACEA
2018M01,quarterly,2017,PHEV,0,ACEA
2018M01,quarterly,2017,TOTAL,9178,ACEA
2018M02,quarterly,2017.083333,BEV,18,ACEA
2018M02,quarterly,2017.083333,DIESEL,3802,ACEA
2018M02,quarterly,2017.083333,HEV,183,ACEA
2018M02,quarterly,2017.083333,OTHER,81,ACEA
2018M02,quarterly,2017.083333,PETROL,5093,ACEA
2018M02,quarterly,2017.083333,PHEV,0,ACEA
2018M02,quarterly,2017.083333,TOTAL,9178,ACEA
2018M03,quarterly,2017.166667,BEV,18,ACEA
2018M03,quarterly,2017.166667,DIESEL,3802,ACEA
2018M03,quarterly,2017.166667,HEV,183,ACEA
2018M03,quarterly,2017.166667,OTHER,81,ACEA
2018M03,quarterly,2017.166667,PETROL,5093,ACEA
2018M03,quarterly,2017.166667,PHEV,0,ACEA
2018M03,quarterly,2017.166667,TOTAL,9178,ACEA
2018M04,quarterly,2017.25,BEV,51,ACEA
2018M04,quarterly,2017.25,DIESEL,2705.333333,ACEA
2018M04,quarterly,2017.25,HEV,218.3333333,ACEA
2018M04,quarterly,2017.25,OTHER,58.66666667,ACEA
2018M04,quarterly,2017.25,PETROL,6149.333333,ACEA
2018M04,quarterly,2017.25,PHEV,0,ACEA
2018M04,quarterly,2017.25,TOTAL,9182.666667,ACEA
2018M05,quarterly,2017.333333,BEV,51,ACEA
2018M05,quarterly,2017.333333,DIESEL,2705.333333,ACEA
2018M05,quarterly,2017.333333,HEV,218.3333333,ACEA
2018M05,quarterly,2017.333333,OTHER,58.66666667,ACEA
2018M05,quarterly,2017.333333,PETROL,6149.333333,ACEA
2018M05,quarterly,2017.333333,PHEV,0,ACEA
2018M05,quarterly,2017.333333,TOTAL,9182.666667,ACEA
2018M06,quarterly,2017.416667,BEV,51,ACEA
2018M06,quarterly,2017.416667,DIESEL,2705.333333,ACEA
2018M06,quarterly,2017.416667,HEV,218.3333333,ACEA
2018M06,quarterly,2017.416667,OTHER,58.66666667,ACEA
2018M06,quarterly,2017.416667,PETROL,6149.333333,ACEA
2018M06,quarterly,2017.416667,PHEV,0,ACEA
2018M06,quarterly,2017.416667,TOTAL,9182.666667,ACEA
2018M07,quarterly,2017.5,BEV,6.333333333,ACEA
2018M07,quarterly,2017.5,DIESEL,2105,ACEA
2018M07,quarterly,2017.5,HEV,208.6666667,ACEA
2018M07,quarterly,2017.5,OTHER,61,ACEA
2018M07,quarterly,2017.5,PETROL,5562.333333,ACEA
2018M07,quarterly,2017.5,PHEV,0,ACEA
2018M07,quarterly,2017.5,TOTAL,7943.333333,ACEA
2018M08,quarterly,2017.583333,BEV,6.333333333,ACEA
2018M08,quarterly,2017.583333,DIESEL,2105,ACEA
2018M08,quarterly,2017.583333,HEV,208.6666667,ACEA
2018M08,quarterly,2017.583333,OTHER,61,ACEA
2018M08,quarterly,2017.583333,PETROL,5562.333333,ACEA
2018M08,quarterly,2017.583333,PHEV,0,ACEA
2018M08,quarterly,2017.583333,TOTAL,7943.333333,ACEA
2018M09,quarterly,2017.666667,BEV,6.333333333,ACEA
2018M09,quarterly,2017.666667,DIESEL,2105,ACEA
2018M09,quarterly,2017.666667,HEV,208.6666667,ACEA
2018M09,quarterly,2017.666667,OTHER,61,ACEA
2018M09,quarterly,2017.666667,PETROL,5562.333333,ACEA
2018M09,quarterly,2017.666667,PHEV,0,ACEA
2018M09,quarterly,2017.666667,TOTAL,7943.333333,ACEA
2018M10,quarterly,2017.75,BEV,23.66666667,ACEA
2018M10,quarterly,2017.75,DIESEL,2205,ACEA
2018M10,quarterly,2017.75,HEV,201.3333333,ACEA
2018M10,quarterly,2017.75,OTHER,41,ACEA
2018M10,quarterly,2017.75,PETROL,4982,ACEA
2018M10,quarterly,2017.75,PHEV,0,ACEA
2018M10,quarterly,2017.75,TOTAL,7453,ACEA
2018M11,quarterly,2017.833333,BEV,23.66666667,ACEA
2018M11,quarterly,2017.833333,DIESEL,2205,ACEA
2018M11,quarterly,2017.833333,HEV,201.3333333,ACEA
2018M11,quarterly,2017.833333,OTHER,41,ACEA
2018M11,quarterly,2017.833333,PETROL,4982,ACEA
2018M11,quarterly,2017.833333,PHEV,0,ACEA
2018M11,quarterly,2017.833333,TOTAL,7453,ACEA
2018M12,quarterly,2017.916667,BEV,23.66666667,ACEA
2018M12,quarterly,2017.916667,DIESEL,2205,ACEA
2018M12,quarterly,2017.916667,HEV,201.3333333,ACEA
2018M12,quarterly,2017.916667,OTHER,41,ACEA
2018M12,quarterly,2017.916667,PETROL,4982,ACEA
2018M12,quarterly,2017.916667,PHEV,0,ACEA
2018M12,quarterly,2017.916667,TOTAL,7453,ACEA
2019M01,quarterly,2018,BEV,18,ACEA
2019M01,quarterly,2018,DIESEL,2148,ACEA
2019M01,quarterly,2018,HEV,195.6666667,ACEA
2019M01,quarterly,2018,OTHER,52,ACEA
2019M01,quarterly,2018,PETROL,5534.666667,ACEA
2019M01,quarterly,2018,PHEV,17.33333333,ACEA
2019M01,quarterly,2018,TOTAL,7965.666667,ACEA
2019M02,quarterly,2018.083333,BEV,18,ACEA
2019M02,quarterly,2018.083333,DIESEL,2148,ACEA
2019M02,quarterly,2018.083333,HEV,195.6666667,ACEA
2019M02,quarterly,2018.083333,OTHER,52,ACEA
2019M02,quarterly,2018.083333,PETROL,5534.666667,ACEA
2019M02,quarterly,2018.083333,PHEV,17.33333333,ACEA
2019M02,quarterly,2018.083333,TOTAL,7965.666667,ACEA
2019M03,quarterly,2018.166667,BEV,18,ACEA
2019M03,quarterly,2018.166667,DIESEL,2148,ACEA
2019M03,quarterly,2018.166667,HEV,195.6666667,ACEA
2019M03,quarterly,2018.166667,OTHER,52,ACEA
2019M03,quarterly,2018.166667,PETROL,5534.666667,ACEA
2019M03,quarterly,2018.166667,PHEV,17.33333333,ACEA
2019M03,quarterly,2018.166667,TOTAL,7965.666667,ACEA
2019M04,quarterly,2018.25,BEV,13,ACEA
2019M04,quarterly,2018.25,DIESEL,2243,ACEA
2019M04,quarterly,2018.25,HEV,346,ACEA
2019M04,quarterly,2018.25,OTHER,29,ACEA
2019M04,quarterly,2018.25,PETROL,6748,ACEA
2019M04,quarterly,2018.25,PHEV,0,ACEA
2019M04,quarterly,2018.25,TOTAL,9381,ACEA
2019M05,quarterly,2018.333333,BEV,13,ACEA
2019M05,quarterly,2018.333333,DIESEL,2241,ACEA
2019M05,quarterly,2018.333333,HEV,346,ACEA
2019M05,quarterly,2018.333333,OTHER,29,ACEA
2019M05,quarterly,2018.333333,PETROL,6747,ACEA
2019M05,quarterly,2018.333333,PHEV,0,ACEA
2019M05,quarterly,2018.333333,TOTAL,9378,ACEA
2019M06,quarterly,2018.416667,BEV,13,ACEA
2019M06,quarterly,2018.416667,DIESEL,2241,ACEA
2019M06,quarterly,2018.416667,HEV,346,ACEA
2019M06,quarterly,2018.416667,OTHER,29,ACEA
2019M06,quarterly,2018.416667,PETROL,6747,ACEA
2019M06,quarterly,2018.416667,PHEV,0,ACEA
2019M06,quarterly,2018.416667,TOTAL,9378,ACEA
2019M07,quarterly,2018.5,BEV,9,ACEA
2019M07,quarterly,2018.5,DIESEL,1964,ACEA
2019M07,quarterly,2018.5,HEV,355,ACEA
2019M07,quarterly,2018.5,OTHER,21,ACEA
2019M07,quarterly,2018.5,PETROL,5747,ACEA
2019M07,quarterly,2018.5,PHEV,0,ACEA
2019M07,quarterly,2018.5,TOTAL,8097,ACEA
2019M08,quarterly,2018.583333,BEV,9,ACEA
2019M08,quarterly,2018.583333,DIESEL,1964,ACEA
2019M08,quarterly,2018.583333,HEV,355,ACEA
2019M08,quarterly,2018.583333,OTHER,21,ACEA
2019M08,quarterly,2018.583333,PETROL,5747,ACEA
2019M08,quarterly,2018.583333,PHEV,0,ACEA
2019M08,quarterly,2018.583333,TOTAL,8097,ACEA
2019M09,quarterly,2018.666667,BEV,9,ACEA
2019M09,quarterly,2018.666667,DIESEL,1964,ACEA
2019M09,quarterly,2018.666667,HEV,355,ACEA
2019M09,quarterly,2018.666667,OTHER,21,ACEA
2019M09,quarterly,2018.666667,PETROL,5747,ACEA
2019M09,quarterly,2018.666667,PHEV,0,ACEA
2019M09,quarterly,2018.666667,TOTAL,8097,ACEA
2019M10,quarterly,2018.75,BEV,14,ACEA
2019M10,quarterly,2018.75,DIESEL,2147,ACEA
2019M10,quarterly,2018.75,HEV,538,ACEA
2019M10,quarterly,2018.75,OTHER,27,ACEA
2019M10,quarterly,2018.75,PETROL,5637,ACEA
2019M10,quarterly,2018.75,PHEV,0,ACEA
2019M10,quarterly,2018.75,TOTAL,8364,ACEA
2019M11,quarterly,2018.833333,BEV,14,ACEA
2019M11,quarterly,2018.833333,DIESEL,2147,ACEA
2019M11,quarterly,2018.833333,HEV,538,ACEA
2019M11,quarterly,2018.833333,OTHER,27,ACEA
2019M11,quarterly,2018.833333,PETROL,5637,ACEA
2019M11,quarterly,2018.833333,PHEV,0,ACEA
2019M11,quarterly,2018.833333,TOTAL,8364,ACEA
2019M12,quarterly,2018.916667,BEV,14,ACEA
2019M12,quarterly,2018.916667,DIESEL,2147,ACEA
2019M12,quarterly,2018.916667,HEV,538,ACEA
2019M12,quarterly,2018.916667,OTHER,27,ACEA
2019M12,quarterly,2018.916667,PETROL,5637,ACEA
2019M12,quarterly,2018.916667,PHEV,0,ACEA
2019M12,quarterly,2018.916667,TOTAL,8364,ACEA
2020M01,quarterly,2019,BEV,56,ACEA
2020M01,quarterly,2019,DIESEL,1662,ACEA
2020M01,quarterly,2019,HEV,444,ACEA
