period,interval,year,category,registrations,source
2015M06,yearly,2014.416667,BEV,123,ACEA
2015M06,yearly,2014.416667,DIESEL,31031,ACEA
2015M06,yearly,2014.416667,HEV,1060.964083,ACEA
2015M06,yearly,2014.416667,OTHER,240,ACEA
2015M06,yearly,2014.416667,PETROL,29038,ACEA
2015M06,yearly,2014.416667,PHEV,20.52020353,ACEA
2015M06,yearly,2014.416667,TOTAL,72710,ACEA
2016M06,yearly,2015.416667,BEV,151,ACEA
2016M06,yearly,2015.416667,DIESEL,32589,ACEA
2016M06,yearly,2015.416667,HEV,215.4797965,ACEA
2016M06,yearly,2015.416667,OTHER,299,ACEA
2016M06,yearly,2015.416667,PETROL,31429,ACEA
2016M06,yearly,2015.416667,PHEV,37.47545645,ACEA
2016M06,yearly,2015.416667,TOTAL,53367,ACEA
2017M06,yearly,2016.416667,BEV,297,ACEA
2017M06,yearly,2016.416667,DIESEL,32410,ACEA
2017M06,yearly,2016.416667,HEV,393.5245435,ACEA
2017M06,yearly,2016.416667,OTHER,379,ACEA
2017M06,yearly,2016.416667,PETROL,38229,ACEA
2017M06,yearly,2016.416667,PHEV,101.0359174,ACEA
2017M06,yearly,2016.416667,TOTAL,53428,ACEA
2018M01,monthly,2017,BEV,29,ACEA
2018M01,monthly,2017,HEV,0,ACEA
2018M01,monthly,2017,PHEV,26,ACEA
2018M01,monthly,2017,TOTAL,6958,ACEA
2018M02,monthly,2017.083333,BEV,26,ACEA
2018M02,monthly,2017.083333,HEV,1.460594839,ACEA
2018M02,monthly,2017.083333,PHEV,21,ACEA
2018M02,monthly,2017.083333,TOTAL,5726,ACEA
2018M03,monthly,2017.166667,BEV,55,ACEA
2018M03,monthly,2017.166667,HEV,2.086564055,ACEA
2018M03,monthly,2017.166667,PHEV,30,ACEA
2018M03,monthly,2017.166667,TOTAL,8003,ACEA
2018M04,monthly,2017.25,BEV,81,ACEA
2018M04,monthly,2017.25,HEV,0.6259692165,ACEA
2018M04,monthly,2017.25,PHEV,9,ACEA
2018M04,monthly,2017.25,TOTAL,6827,ACEA
2018M05,monthly,2017.333333,BEV,37,ACEA
2018M05,monthly,2017.333333,HEV,1.599699109,ACEA
2018M05,monthly,2017.333333,PHEV,23,ACEA
2018M05,monthly,2017.333333,TOTAL,7554,ACEA
2018M06,monthly,2017.416667,BEV,33,ACEA
2018M06,monthly,2017.416667,HEV,2.086564055,ACEA
2018M06,monthly,2017.416667,PHEV,30,ACEA
2018M06,monthly,2017.416667,TOTAL,7580,ACEA
2018M07,monthly,2017.5,BEV,32,ACEA
2018M07,monthly,2017.5,HEV,0.9737298924,ACEA
2018M07,monthly,2017.5,PHEV,14,ACEA
2018M07,monthly,2017.5,TOTAL,6407,ACEA
2018M08,monthly,2017.583333,BEV,24,ACEA
2018M08,monthly,2017.583333,HEV,1.251938433,ACEA
2018M08,monthly,2017.583333,PHEV,18,ACEA
2018M08,monthly,2017.583333,TOTAL,5784,ACEA
2018M09,monthly,2017.666667,BEV,50,ACEA
2018M09,monthly,2017.666667,HEV,0.5564170814,ACEA
2018M09,monthly,2017.666667,PHEV,8,ACEA
2018M09,monthly,2017.666667,TOTAL,5001,ACEA
2018M10,monthly,2017.75,BEV,49,ACEA
2018M10,monthly,2017.75,HEV,0.6955213517,ACEA
2018M10,monthly,2017.75,PHEV,10,ACEA
2018M10,monthly,2017.75,TOTAL,5647,ACEA
2018M11,monthly,2017.833333,BEV,35,ACEA
2018M11,monthly,2017.833333,HEV,1.251938433,ACEA
2018M11,monthly,2017.833333,PHEV,18,ACEA
2018M11,monthly,2017.833333,TOTAL,5324,ACEA
2018M12,monthly,2017.916667,BEV,29,ACEA
2018M12,monthly,2017.916667,HEV,0.6259692165,ACEA
2018M12,monthly,2017.916667,PHEV,9,ACEA
2018M12,monthly,2017.916667,TOTAL,3707,ACEA
2019M01,monthly,2018,BEV,24,ACEA
2019M01,monthly,2018,HEV,0.6955213517,ACEA
2019M01,monthly,2018,PHEV,10,ACEA
2019M01,monthly,2018,TOTAL,6760,ACEA
2019M02,monthly,2018.083333,BEV,25,ACEA
2019M02,monthly,2018.083333,HEV,0.9041777572,ACEA
2019M02,monthly,2018.083333,PHEV,13,ACEA
2019M02,monthly,2018.083333,TOTAL,6162,ACEA
2019M03,monthly,2018.166667,BEV,86,ACEA
2019M03,monthly,2018.166667,HEV,0.5564170814,ACEA
2019M03,monthly,2018.166667,PHEV,8,ACEA
2019M03,monthly,2018.166667,TOTAL,7266,ACEA
2019M04,monthly,2018.25,BEV,55,ACEA
2019M04,monthly,2018.25,HEV,0.3477606758,ACEA
2019M04,monthly,2018.25,PHEV,5,ACEA
2019M04,monthly,2018.25,TOTAL,6350,ACEA
2019M05,monthly,2018.333333,BEV,28,ACEA
2019M05,monthly,2018.333333,HEV,0.5564170814,ACEA
2019M05,monthly,2018.333333,PHEV,8,ACEA
2019M05,monthly,2018.333333,TOTAL,7422,ACEA
2019M06,monthly,2018.416667,BEV,72,ACEA
2019M06,monthly,2018.416667,HEV,0.2782085407,ACEA
2019M06,monthly,2018.416667,PHEV,4,ACEA
2019M06,monthly,2018.416667,TOTAL,6927,ACEA
2019M07,monthly,2018.5,BEV,34,ACEA
2019M07,monthly,2018.5,HEV,0.06955213517,ACEA
2019M07,monthly,2018.5,PHEV,1,ACEA
2019M07,monthly,2018.5,TOTAL,5929,ACEA
2019M08,monthly,2018.583333,BEV,24,ACEA
2019M08,monthly,2018.583333,HEV,0.2782085407,ACEA
2019M08,monthly,2018.583333,PHEV,4,ACEA
2019M08,monthly,2018.583333,TOTAL,5011,ACEA
