period,interval,year,category,registrations,source
2017M01,monthly,2016,BEV,369,motir.go.kr
2017M01,monthly,2016,HEV,3925,motir.go.kr
2017M01,monthly,2016,ICE,119281,motir.go.kr
2017M01,monthly,2016,OTHER,5,motir.go.kr
2017M01,monthly,2016,PHEV,4,motir.go.kr
2017M01,monthly,2016,TOTAL,123584,motir.go.kr
2017M02,monthly,2016.083333,BEV,486,motir.go.kr
2017M02,monthly,2016.083333,HEV,4465,motir.go.kr
2017M02,monthly,2016.083333,ICE,131850,motir.go.kr
2017M02,monthly,2016.083333,OTHER,0,motir.go.kr
2017M02,monthly,2016.083333,PHEV,32,motir.go.kr
2017M02,monthly,2016.083333,TOTAL,136833,motir.go.kr
2017M03,monthly,2016.166667,BEV,874,motir.go.kr
2017M03,monthly,2016.166667,HEV,5895,motir.go.kr
2017M03,monthly,2016.166667,ICE,162206,motir.go.kr
2017M03,monthly,2016.166667,OTHER,9,motir.go.kr
2017M03,monthly,2016.166667,PHEV,16,motir.go.kr
2017M03,monthly,2016.166667,TOTAL,169000,motir.go.kr
2017M04,monthly,2016.25,BEV,862,motir.go.kr
2017M04,monthly,2016.25,HEV,6364,motir.go.kr
2017M04,monthly,2016.25,ICE,146326,motir.go.kr
2017M04,monthly,2016.25,OTHER,1,motir.go.kr
2017M04,monthly,2016.25,PHEV,25,motir.go.kr
2017M04,monthly,2016.25,TOTAL,153578,motir.go.kr
2017M05,monthly,2016.333333,BEV,854,motir.go.kr
2017M05,monthly,2016.333333,HEV,7116,motir.go.kr
2017M05,monthly,2016.333333,ICE,147740,motir.go.kr
2017M05,monthly,2016.333333,OTHER,6,motir.go.kr
2017M05,monthly,2016.333333,PHEV,19,motir.go.kr
2017M05,monthly,2016.333333,TOTAL,155735,motir.go.kr
2017M06,monthly,2016.416667,BEV,972,motir.go.kr
2017M06,monthly,2016.416667,HEV,8628,motir.go.kr
2017M06,monthly,2016.416667,ICE,155062,motir.go.kr
2017M06,monthly,2016.416667,OTHER,18,motir.go.kr
2017M06,monthly,2016.416667,PHEV,39,motir.go.kr
2017M06,monthly,2016.416667,TOTAL,164719,motir.go.kr
2017M07,monthly,2016.5,BEV,1371,motir.go.kr
2017M07,monthly,2016.5,HEV,8061,motir.go.kr
2017M07,monthly,2016.5,ICE,139637,motir.go.kr
2017M07,monthly,2016.5,OTHER,10,motir.go.kr
2017M07,monthly,2016.5,PHEV,61,motir.go.kr
2017M07,monthly,2016.5,TOTAL,149140,motir.go.kr
2017M08,monthly,2016.583333,BEV,1499,motir.go.kr
2017M08,monthly,2016.583333,HEV,6344,motir.go.kr
2017M08,monthly,2016.583333,ICE,131219,motir.go.kr
2017M08,monthly,2016.583333,OTHER,4,motir.go.kr
2017M08,monthly,2016.583333,PHEV,41,motir.go.kr
2017M08,monthly,2016.583333,TOTAL,139107,motir.go.kr
2017M09,monthly,2016.666667,BEV,1494,motir.go.kr
2017M09,monthly,2016.666667,HEV,7953,motir.go.kr
