period,interval,year,category,registrations,source
2015M01,monthly,2014,BEV,46,ACEA / DGT / asierlizarraga
2015M01,monthly,2014,DIESEL,47515,ACEA / DGT / asierlizarraga
2015M01,monthly,2014,HEV,538,ACEA / DGT / asierlizarraga
2015M01,monthly,2014,OTHER,200,ACEA / DGT / asierlizarraga
2015M01,monthly,2014,PETROL,21536,ACEA / DGT / asierlizarraga
2015M01,monthly,2014,PHEV,13,ACEA / DGT / asierlizarraga
2015M01,monthly,2014,TOTAL,69848,ACEA / DGT / asierlizarraga
2015M02,monthly,2014.083333,BEV,29,ACEA / DGT / asierlizarraga
2015M02,monthly,2014.083333,DIESEL,57904,ACEA / DGT / asierlizarraga
2015M02,monthly,2014.083333,HEV,423,ACEA / DGT / asierlizarraga
2015M02,monthly,2014.083333,OTHER,155,ACEA / DGT / asierlizarraga
2015M02,monthly,2014.083333,PETROL,30162,ACEA / DGT / asierlizarraga
2015M02,monthly,2014.083333,PHEV,24,ACEA / DGT / asierlizarraga
2015M02,monthly,2014.083333,TOTAL,88697,ACEA / DGT / asierlizarraga
2015M03,monthly,2014.166667,BEV,131,ACEA / DGT / asierlizarraga
2015M03,monthly,2014.166667,DIESEL,72821,ACEA / DGT / asierlizarraga
2015M03,monthly,2014.166667,HEV,537,ACEA / DGT / asierlizarraga
2015M03,monthly,2014.166667,OTHER,306,ACEA / DGT / asierlizarraga
2015M03,monthly,2014.166667,PETROL,41274,ACEA / DGT / asierlizarraga
2015M03,monthly,2014.166667,PHEV,26,ACEA / DGT / asierlizarraga
2015M03,monthly,2014.166667,TOTAL,115095,ACEA / DGT / asierlizarraga
2015M04,monthly,2014.25,BEV,55,ACEA / DGT / asierlizarraga
2015M04,monthly,2014.25,DIESEL,53846,ACEA / DGT / asierlizarraga
2015M04,monthly,2014.25,HEV,522,ACEA / DGT / asierlizarraga
2015M04,monthly,2014.25,OTHER,374,ACEA / DGT / asierlizarraga
2015M04,monthly,2014.25,PETROL,30337,ACEA / DGT / asierlizarraga
2015M04,monthly,2014.25,PHEV,50,ACEA / DGT / asierlizarraga
2015M04,monthly,2014.25,TOTAL,85184,ACEA / DGT / asierlizarraga
2015M05,monthly,2014.333333,BEV,49,ACEA / DGT / asierlizarraga
2015M05,monthly,2014.333333,DIESEL,60574,ACEA / DGT / asierlizarraga
2015M05,monthly,2014.333333,HEV,510,ACEA / DGT / asierlizarraga
2015M05,monthly,2014.333333,OTHER,318,ACEA / DGT / asierlizarraga
2015M05,monthly,2014.333333,PETROL,35286,ACEA / DGT / asierlizarraga
2015M05,monthly,2014.333333,PHEV,64,ACEA / DGT / asierlizarraga
2015M05,monthly,2014.333333,TOTAL,96801,ACEA / DGT / asierlizarraga
2015M06,monthly,2014.416667,BEV,62,ACEA / DGT / asierlizarraga
2015M06,monthly,2014.416667,DIESEL,71973,ACEA / DGT / asierlizarraga
2015M06,monthly,2014.416667,HEV,698,ACEA / DGT / asierlizarraga
2015M06,monthly,2014.416667,OTHER,327,ACEA / DGT / asierlizarraga
2015M06,monthly,2014.416667,PETROL,41465,ACEA / DGT / asierlizarraga
2015M06,monthly,2014.416667,PHEV,57,ACEA / DGT / asierlizarraga
2015M06,monthly,2014.416667,TOTAL,114582,ACEA / DGT / asierlizarraga
2015M07,monthly,2014.5,BEV,88,ACEA / DGT / asierlizarraga
2015M07,monthly,2014.5,DIESEL,67333,ACEA / DGT / asierlizarraga
2015M07,monthly,2014.5,HEV,984,ACEA / DGT / asierlizarraga
2015M07,monthly,2014.5,OTHER,256,ACEA / DGT / asierlizarraga
2015M07,monthly,2014.5,PETROL,37834,ACEA / DGT / asierlizarraga
2015M07,monthly,2014.5,PHEV,95,ACEA / DGT / asierlizarraga
2015M07,monthly,2014.5,TOTAL,106590,ACEA / DGT / asierlizarraga
2015M08,monthly,2014.583333,BEV,65,ACEA / DGT / asierlizarraga
2015M08,monthly,2014.583333,DIESEL,37432,ACEA / DGT / asierlizarraga
2015M08,monthly,2014.583333,HEV,670,ACEA / DGT / asierlizarraga
2015M08,monthly,2014.583333,OTHER,233,ACEA / DGT / asierlizarraga
2015M08,monthly,2014.583333,PETROL,20043,ACEA / DGT / asierlizarraga
2015M08,monthly,2014.583333,PHEV,39,ACEA / DGT / asierlizarraga
2015M08,monthly,2014.583333,TOTAL,58482,ACEA / DGT / asierlizarraga
2015M09,monthly,2014.666667,BEV,76,ACEA / DGT / asierlizarraga
2015M09,monthly,2014.666667,DIESEL,48019,ACEA / DGT / asierlizarraga
2015M09,monthly,2014.666667,HEV,793,ACEA / DGT / asierlizarraga
2015M09,monthly,2014.666667,OTHER,236,ACEA / DGT / asierlizarraga
2015M09,monthly,2014.666667,PETROL,24971,ACEA / DGT / asierlizarraga
2015M09,monthly,2014.666667,PHEV,117,ACEA / DGT / asierlizarraga
2015M09,monthly,2014.666667,TOTAL,74212,ACEA / DGT / asierlizarraga
2015M10,monthly,2014.75,BEV,301,ACEA / DGT / asierlizarraga
2015M10,monthly,2014.75,DIESEL,51541,ACEA / DGT / asierlizarraga
2015M10,monthly,2014.75,HEV,540,ACEA / DGT / asierlizarraga
2015M10,monthly,2014.75,OTHER,250,ACEA / DGT / asierlizarraga
2015M10,monthly,2014.75,PETROL,31183,ACEA / DGT / asierlizarraga
2015M10,monthly,2014.75,PHEV,88,ACEA / DGT / asierlizarraga
2015M10,monthly,2014.75,TOTAL,83903,ACEA / DGT / asierlizarraga
2015M11,monthly,2014.833333,BEV,213,ACEA / DGT / asierlizarraga
2015M11,monthly,2014.833333,DIESEL,52202,ACEA / DGT / asierlizarraga
2015M11,monthly,2014.833333,HEV,85,ACEA / DGT / asierlizarraga
2015M11,monthly,2014.833333,OTHER,205,ACEA / DGT / asierlizarraga
2015M11,monthly,2014.833333,PETROL,31779,ACEA / DGT / asierlizarraga
2015M11,monthly,2014.833333,PHEV,59,ACEA / DGT / asierlizarraga
2015M11,monthly,2014.833333,TOTAL,84543,ACEA / DGT / asierlizarraga
2015M12,monthly,2014.916667,BEV,46,ACEA / DGT / asierlizarraga
2015M12,monthly,2014.916667,DIESEL,57631,ACEA / DGT / asierlizarraga
2015M12,monthly,2014.916667,HEV,1433,ACEA / DGT / asierlizarraga
2015M12,monthly,2014.916667,OTHER,216,ACEA / DGT / asierlizarraga
2015M12,monthly,2014.916667,PETROL,32601,ACEA / DGT / asierlizarraga
2015M12,monthly,2014.916667,PHEV,73,ACEA / DGT / asierlizarraga
2015M12,monthly,2014.916667,TOTAL,92000,ACEA / DGT / asierlizarraga
2016M01,monthly,2015,BEV,98,ACEA / DGT / asierlizarraga
2016M01,monthly,2015,DIESEL,49323,ACEA / DGT / asierlizarraga
2016M01,monthly,2015,HEV,2116,ACEA / DGT / asierlizarraga
2016M01,monthly,2015,OTHER,1284,ACEA / DGT / asierlizarraga
2016M01,monthly,2015,PETROL,27515,ACEA / DGT / asierlizarraga
2016M01,monthly,2015,PHEV,104,ACEA / DGT / asierlizarraga
2016M01,monthly,2015,TOTAL,80440,ACEA / DGT / asierlizarraga
2016M02,monthly,2015.083333,BEV,98,ACEA / DGT / asierlizarraga
2016M02,monthly,2015.083333,DIESEL,58746,ACEA / DGT / asierlizarraga
2016M02,monthly,2015.083333,HEV,2062,ACEA / DGT / asierlizarraga
2016M02,monthly,2015.083333,OTHER,1332,ACEA / DGT / asierlizarraga
2016M02,monthly,2015.083333,PETROL,39760,ACEA / DGT / asierlizarraga
2016M02,monthly,2015.083333,PHEV,91,ACEA / DGT / asierlizarraga
2016M02,monthly,2015.083333,TOTAL,102089,ACEA / DGT / asierlizarraga
2016M03,monthly,2015.166667,BEV,240,ACEA / DGT / asierlizarraga
2016M03,monthly,2015.166667,DIESEL,67871,ACEA / DGT / asierlizarraga
2016M03,monthly,2015.166667,HEV,2098,ACEA / DGT / asierlizarraga
2016M03,monthly,2015.166667,OTHER,1435,ACEA / DGT / asierlizarraga
2016M03,monthly,2015.166667,PETROL,45540,ACEA / DGT / asierlizarraga
2016M03,monthly,2015.166667,PHEV,214,ACEA / DGT / asierlizarraga
2016M03,monthly,2015.166667,TOTAL,117398,ACEA / DGT / asierlizarraga
2016M04,monthly,2015.25,BEV,179,ACEA / DGT / asierlizarraga
2016M04,monthly,2015.25,DIESEL,59978,ACEA / DGT / asierlizarraga
2016M04,monthly,2015.25,HEV,2055,ACEA / DGT / asierlizarraga
2016M04,monthly,2015.25,OTHER,1393,ACEA / DGT / asierlizarraga
2016M04,monthly,2015.25,PETROL,41440,ACEA / DGT / asierlizarraga
2016M04,monthly,2015.25,PHEV,215,ACEA / DGT / asierlizarraga
2016M04,monthly,2015.25,TOTAL,105260,ACEA / DGT / asierlizarraga
2016M05,monthly,2015.333333,BEV,169,ACEA / DGT / asierlizarraga
2016M05,monthly,2015.333333,DIESEL,67133,ACEA / DGT / asierlizarraga
2016M05,monthly,2015.333333,HEV,2631,ACEA / DGT / asierlizarraga
2016M05,monthly,2015.333333,OTHER,1335,ACEA / DGT / asierlizarraga
2016M05,monthly,2015.333333,PETROL,47119,ACEA / DGT / asierlizarraga
2016M05,monthly,2015.333333,PHEV,187,ACEA / DGT / asierlizarraga
2016M05,monthly,2015.333333,TOTAL,118574,ACEA / DGT / asierlizarraga
2016M06,monthly,2015.416667,BEV,101,ACEA / DGT / asierlizarraga
2016M06,monthly,2015.416667,DIESEL,72502,ACEA / DGT / asierlizarraga
2016M06,monthly,2015.416667,HEV,2667,ACEA / DGT / asierlizarraga
2016M06,monthly,2015.416667,OTHER,1297,ACEA / DGT / asierlizarraga
2016M06,monthly,2015.416667,PETROL,52921,ACEA / DGT / asierlizarraga
2016M06,monthly,2015.416667,PHEV,156,ACEA / DGT / asierlizarraga
2016M06,monthly,2015.416667,TOTAL,129644,ACEA / DGT / asierlizarraga
2016M07,monthly,2015.5,BEV,145,ACEA / DGT / asierlizarraga
2016M07,monthly,2015.5,DIESEL,63786,ACEA / DGT / asierlizarraga
2016M07,monthly,2015.5,HEV,2902,ACEA / DGT / asierlizarraga
2016M07,monthly,2015.5,OTHER,1142,ACEA / DGT / asierlizarraga
2016M07,monthly,2015.5,PETROL,44512,ACEA / DGT / asierlizarraga
2016M07,monthly,2015.5,PHEV,125,ACEA / DGT / asierlizarraga
2016M07,monthly,2015.5,TOTAL,112612,ACEA / DGT / asierlizarraga
2016M08,monthly,2015.583333,BEV,74,ACEA / DGT / asierlizarraga
2016M08,monthly,2015.583333,DIESEL,38972,ACEA / DGT / asierlizarraga
2016M08,monthly,2015.583333,HEV,2300,ACEA / DGT / asierlizarraga
2016M08,monthly,2015.583333,OTHER,995,ACEA / DGT / asierlizarraga
2016M08,monthly,2015.583333,PETROL,25297,ACEA / DGT / asierlizarraga
2016M08,monthly,2015.583333,PHEV,93,ACEA / DGT / asierlizarraga
2016M08,monthly,2015.583333,TOTAL,67731,ACEA / DGT / asierlizarraga
2016M09,monthly,2015.666667,BEV,112,ACEA / DGT / asierlizarraga
2016M09,monthly,2015.666667,DIESEL,48980,ACEA / DGT / asierlizarraga
2016M09,monthly,2015.666667,HEV,2399,ACEA / DGT / asierlizarraga
2016M09,monthly,2015.666667,OTHER,985,ACEA / DGT / asierlizarraga
2016M09,monthly,2015.666667,PETROL,31652,ACEA / DGT / asierlizarraga
2016M09,monthly,2015.666667,PHEV,147,ACEA / DGT / asierlizarraga
2016M09,monthly,2015.666667,TOTAL,84275,ACEA / DGT / asierlizarraga
2016M10,monthly,2015.75,BEV,118,ACEA / DGT / asierlizarraga
2016M10,monthly,2015.75,DIESEL,50180,ACEA / DGT / asierlizarraga
2016M10,monthly,2015.75,HEV,2745,ACEA / DGT / asierlizarraga
2016M10,monthly,2015.75,OTHER,1102,ACEA / DGT / asierlizarraga
2016M10,monthly,2015.75,PETROL,33354,ACEA / DGT / asierlizarraga
2016M10,monthly,2015.75,PHEV,91,ACEA / DGT / asierlizarraga
2016M10,monthly,2015.75,TOTAL,87590,ACEA / DGT / asierlizarraga
2016M11,monthly,2015.833333,BEV,401,ACEA / DGT / asierlizarraga
2016M11,monthly,2015.833333,DIESEL,55415,ACEA / DGT / asierlizarraga
2016M11,monthly,2015.833333,HEV,3146,ACEA / DGT / asierlizarraga
2016M11,monthly,2015.833333,OTHER,1119,ACEA / DGT / asierlizarraga
2016M11,monthly,2015.833333,PETROL,37394,ACEA / DGT / asierlizarraga
2016M11,monthly,2015.833333,PHEV,120,ACEA / DGT / asierlizarraga
2016M11,monthly,2015.833333,TOTAL,97595,ACEA / DGT / asierlizarraga
2016M12,monthly,2015.916667,BEV,352,ACEA / DGT / asierlizarraga
2016M12,monthly,2015.916667,DIESEL,58118,ACEA / DGT / asierlizarraga
2016M12,monthly,2015.916667,HEV,3102,ACEA / DGT / asierlizarraga
2016M12,monthly,2015.916667,OTHER,1173,ACEA / DGT / asierlizarraga
2016M12,monthly,2015.916667,PETROL,39666,ACEA / DGT / asierlizarraga
2016M12,monthly,2015.916667,PHEV,97,ACEA / DGT / asierlizarraga
2016M12,monthly,2015.916667,TOTAL,102508,ACEA / DGT / asierlizarraga
2017M01,monthly,2016,BEV,94,ACEA / DGT / asierlizarraga
2017M01,monthly,2016,DIESEL,48552,ACEA / DGT / asierlizarraga
2017M01,monthly,2016,HEV,4246,ACEA / DGT / asierlizarraga
2017M01,monthly,2016,OTHER,1396,ACEA / DGT / asierlizarraga
2017M01,monthly,2016,PETROL,35918,ACEA / DGT / asierlizarraga
2017M01,monthly,2016,PHEV,127,ACEA / DGT / asierlizarraga
2017M01,monthly,2016,TOTAL,90333,ACEA / DGT / asierlizarraga
2017M02,monthly,2016.083333,BEV,207,ACEA / DGT / asierlizarraga
2017M02,monthly,2016.083333,DIESEL,54880,ACEA / DGT / asierlizarraga
2017M02,monthly,2016.083333,HEV,3934,ACEA / DGT / asierlizarraga
2017M02,monthly,2016.083333,OTHER,1542,ACEA / DGT / asierlizarraga
2017M02,monthly,2016.083333,PETROL,43172,ACEA / DGT / asierlizarraga
2017M02,monthly,2016.083333,PHEV,112,ACEA / DGT / asierlizarraga
2017M02,monthly,2016.083333,TOTAL,103847,ACEA / DGT / asierlizarraga
2017M03,monthly,2016.166667,BEV,295,ACEA / DGT / asierlizarraga
2017M03,monthly,2016.166667,DIESEL,67129,ACEA / DGT / asierlizarraga
2017M03,monthly,2016.166667,HEV,4490,ACEA / DGT / asierlizarraga
2017M03,monthly,2016.166667,OTHER,1599,ACEA / DGT / asierlizarraga
2017M03,monthly,2016.166667,PETROL,58604,ACEA / DGT / asierlizarraga
2017M03,monthly,2016.166667,PHEV,180,ACEA / DGT / asierlizarraga
2017M03,monthly,2016.166667,TOTAL,132297,ACEA / DGT / asierlizarraga
2017M04,monthly,2016.25,BEV,159,ACEA / DGT / asierlizarraga
2017M04,monthly,2016.25,DIESEL,54359,ACEA / DGT / asierlizarraga
2017M04,monthly,2016.25,HEV,3659,ACEA / DGT / asierlizarraga
2017M04,monthly,2016.25,OTHER,1319,ACEA / DGT / asierlizarraga
2017M04,monthly,2016.25,PETROL,47309,ACEA / DGT / asierlizarraga
2017M04,monthly,2016.25,PHEV,180,ACEA / DGT / asierlizarraga
2017M04,monthly,2016.25,TOTAL,106985,ACEA / DGT / asierlizarraga
2017M05,monthly,2016.333333,BEV,213,ACEA / DGT / asierlizarraga
2017M05,monthly,2016.333333,DIESEL,66412,ACEA / DGT / asierlizarraga
2017M05,monthly,2016.333333,HEV,4960,ACEA / DGT / asierlizarraga
2017M05,monthly,2016.333333,OTHER,1683,ACEA / DGT / asierlizarraga
2017M05,monthly,2016.333333,PETROL,59747,ACEA / DGT / asierlizarraga
2017M05,monthly,2016.333333,PHEV,257,ACEA / DGT / asierlizarraga
2017M05,monthly,2016.333333,TOTAL,133272,ACEA / DGT / asierlizarraga
2017M06,monthly,2016.416667,BEV,332,ACEA / DGT / asierlizarraga
2017M06,monthly,2016.416667,DIESEL,67314,ACEA / DGT / asierlizarraga
2017M06,monthly,2016.416667,HEV,5577,ACEA / DGT / asierlizarraga
2017M06,monthly,2016.416667,OTHER,1621,ACEA / DGT / asierlizarraga
2017M06,monthly,2016.416667,PETROL,63244,ACEA / DGT / asierlizarraga
2017M06,monthly,2016.416667,PHEV,355,ACEA / DGT / asierlizarraga
2017M06,monthly,2016.416667,TOTAL,138443,ACEA / DGT / asierlizarraga
2017M07,monthly,2016.5,BEV,259,ACEA / DGT / asierlizarraga
2017M07,monthly,2016.5,DIESEL,56563,ACEA / DGT / asierlizarraga
2017M07,monthly,2016.5,HEV,5077,ACEA / DGT / asierlizarraga
2017M07,monthly,2016.5,OTHER,1535,ACEA / DGT / asierlizarraga
2017M07,monthly,2016.5,PETROL,52817,ACEA / DGT / asierlizarraga
2017M07,monthly,2016.5,PHEV,349,ACEA / DGT / asierlizarraga
2017M07,monthly,2016.5,TOTAL,116600,ACEA / DGT / asierlizarraga
2017M08,monthly,2016.583333,BEV,312,ACEA / DGT / asierlizarraga
2017M08,monthly,2016.583333,DIESEL,38107,ACEA / DGT / asierlizarraga
2017M08,monthly,2016.583333,HEV,4344,ACEA / DGT / asierlizarraga
2017M08,monthly,2016.583333,OTHER,1270,ACEA / DGT / asierlizarraga
2017M08,monthly,2016.583333,PETROL,32605,ACEA / DGT / asierlizarraga
2017M08,monthly,2016.583333,PHEV,338,ACEA / DGT / asierlizarraga
2017M08,monthly,2016.583333,TOTAL,76976,ACEA / DGT / asierlizarraga
2017M09,monthly,2016.666667,BEV,545,ACEA / DGT / asierlizarraga
2017M09,monthly,2016.666667,DIESEL,45424,ACEA / DGT / asierlizarraga
2017M09,monthly,2016.666667,HEV,4179,ACEA / DGT / asierlizarraga
