period,interval,year,category,registrations,source
2006M01,monthly,2005,BEV,2,statistikdatabasen.scb.se
2006M01,monthly,2005,DIESEL,3521,statistikdatabasen.scb.se
2006M01,monthly,2005,FLEXFUEL,1646,statistikdatabasen.scb.se
2006M01,monthly,2005,HEV,216,statistikdatabasen.scb.se
2006M01,monthly,2005,OTHER,171,statistikdatabasen.scb.se
2006M01,monthly,2005,PETROL,13617,statistikdatabasen.scb.se
2006M01,monthly,2005,PHEV,0,statistikdatabasen.scb.se
2006M01,monthly,2005,TOTAL,19173,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,BEV,0,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,DIESEL,3444,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,FLEXFUEL,1798,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,HEV,163,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,OTHER,234,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,PETROL,14687,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,PHEV,0,statistikdatabasen.scb.se
2006M02,monthly,2005.083333,TOTAL,20326,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,BEV,0,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,DIESEL,4764,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,FLEXFUEL,3165,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,HEV,214,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,OTHER,255,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,PETROL,19609,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,PHEV,0,statistikdatabasen.scb.se
2006M03,monthly,2005.166667,TOTAL,28007,statistikdatabasen.scb.se
2006M04,monthly,2005.25,BEV,0,statistikdatabasen.scb.se
2006M04,monthly,2005.25,DIESEL,4598,statistikdatabasen.scb.se
2006M04,monthly,2005.25,FLEXFUEL,2105,statistikdatabasen.scb.se
2006M04,monthly,2005.25,HEV,239,statistikdatabasen.scb.se
2006M04,monthly,2005.25,OTHER,370,statistikdatabasen.scb.se
2006M04,monthly,2005.25,PETROL,21439,statistikdatabasen.scb.se
2006M04,monthly,2005.25,PHEV,0,statistikdatabasen.scb.se
2006M04,monthly,2005.25,TOTAL,28751,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,BEV,0,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,DIESEL,5168,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,FLEXFUEL,2481,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,HEV,260,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,OTHER,530,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,PETROL,24117,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,PHEV,0,statistikdatabasen.scb.se
2006M05,monthly,2005.333333,TOTAL,32556,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,BEV,0,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,DIESEL,5340,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,FLEXFUEL,2469,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,HEV,307,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,OTHER,398,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,PETROL,23148,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,PHEV,0,statistikdatabasen.scb.se
2006M06,monthly,2005.416667,TOTAL,31662,statistikdatabasen.scb.se
2006M07,monthly,2005.5,BEV,0,statistikdatabasen.scb.se
2006M07,monthly,2005.5,DIESEL,4089,statistikdatabasen.scb.se
2006M07,monthly,2005.5,FLEXFUEL,1686,statistikdatabasen.scb.se
2006M07,monthly,2005.5,HEV,224,statistikdatabasen.scb.se
2006M07,monthly,2005.5,OTHER,199,statistikdatabasen.scb.se
2006M07,monthly,2005.5,PETROL,15593,statistikdatabasen.scb.se
2006M07,monthly,2005.5,PHEV,0,statistikdatabasen.scb.se
2006M07,monthly,2005.5,TOTAL,21791,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,BEV,0,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,DIESEL,4619,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,FLEXFUEL,2086,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,HEV,277,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,OTHER,181,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,PETROL,17504,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,PHEV,0,statistikdatabasen.scb.se
2006M08,monthly,2005.583333,TOTAL,24667,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,BEV,0,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,DIESEL,5438,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,FLEXFUEL,2061,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,HEV,293,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,OTHER,321,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,PETROL,19129,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,PHEV,0,statistikdatabasen.scb.se
2006M09,monthly,2005.666667,TOTAL,27242,statistikdatabasen.scb.se
2006M10,monthly,2005.75,BEV,0,statistikdatabasen.scb.se
2006M10,monthly,2005.75,DIESEL,6176,statistikdatabasen.scb.se
2006M10,monthly,2005.75,FLEXFUEL,1819,statistikdatabasen.scb.se
2006M10,monthly,2005.75,HEV,166,statistikdatabasen.scb.se
2006M10,monthly,2005.75,OTHER,364,statistikdatabasen.scb.se
2006M10,monthly,2005.75,PETROL,18271,statistikdatabasen.scb.se
2006M10,monthly,2005.75,PHEV,0,statistikdatabasen.scb.se
2006M10,monthly,2005.75,TOTAL,26796,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,BEV,0,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,DIESEL,7046,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,FLEXFUEL,2465,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,HEV,256,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,OTHER,348,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,PETROL,17054,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,PHEV,0,statistikdatabasen.scb.se
2006M11,monthly,2005.833333,TOTAL,27169,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,BEV,0,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,DIESEL,7000,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,FLEXFUEL,2337,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,HEV,236,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,OTHER,265,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,PETROL,15834,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,PHEV,0,statistikdatabasen.scb.se
2006M12,monthly,2005.916667,TOTAL,25672,statistikdatabasen.scb.se
2007M01,monthly,2006,BEV,0,statistikdatabasen.scb.se
2007M01,monthly,2006,DIESEL,6965,statistikdatabasen.scb.se
2007M01,monthly,2006,FLEXFUEL,1891,statistikdatabasen.scb.se
2007M01,monthly,2006,HEV,287,statistikdatabasen.scb.se
2007M01,monthly,2006,OTHER,201,statistikdatabasen.scb.se
2007M01,monthly,2006,PETROL,13521,statistikdatabasen.scb.se
2007M01,monthly,2006,PHEV,0,statistikdatabasen.scb.se
2007M01,monthly,2006,TOTAL,22865,statistikdatabasen.scb.se
2007M02,monthly,2006.083333,BEV,0,statistikdatabasen.scb.se
2007M02,monthly,2006.083333,DIESEL,6615,statistikdatabasen.scb.se
