period,interval,year,category,registrations,source
2010M01,monthly,2009,BEV,10,pxweb.bfs.admin.ch / ACEA
2010M01,monthly,2009,DIESEL,6295,pxweb.bfs.admin.ch / ACEA
2010M01,monthly,2009,HEV,307,pxweb.bfs.admin.ch / ACEA
2010M01,monthly,2009,OTHER,106,pxweb.bfs.admin.ch / ACEA
2010M01,monthly,2009,PETROL,12561,pxweb.bfs.admin.ch / ACEA
2010M01,monthly,2009,PHEV,2,pxweb.bfs.admin.ch / ACEA
2010M01,monthly,2009,TOTAL,19281,pxweb.bfs.admin.ch / ACEA
2010M02,monthly,2009.083333,BEV,7,pxweb.bfs.admin.ch / ACEA
2010M02,monthly,2009.083333,DIESEL,5923,pxweb.bfs.admin.ch / ACEA
2010M02,monthly,2009.083333,HEV,245,pxweb.bfs.admin.ch / ACEA
2010M02,monthly,2009.083333,OTHER,78,pxweb.bfs.admin.ch / ACEA
2010M02,monthly,2009.083333,PETROL,12645,pxweb.bfs.admin.ch / ACEA
2010M02,monthly,2009.083333,PHEV,1,pxweb.bfs.admin.ch / ACEA
2010M02,monthly,2009.083333,TOTAL,18899,pxweb.bfs.admin.ch / ACEA
2010M03,monthly,2009.166667,BEV,10,pxweb.bfs.admin.ch / ACEA
2010M03,monthly,2009.166667,DIESEL,8160,pxweb.bfs.admin.ch / ACEA
2010M03,monthly,2009.166667,HEV,354,pxweb.bfs.admin.ch / ACEA
2010M03,monthly,2009.166667,OTHER,149,pxweb.bfs.admin.ch / ACEA
2010M03,monthly,2009.166667,PETROL,20136,pxweb.bfs.admin.ch / ACEA
2010M03,monthly,2009.166667,PHEV,1,pxweb.bfs.admin.ch / ACEA
2010M03,monthly,2009.166667,TOTAL,28810,pxweb.bfs.admin.ch / ACEA
2010M04,monthly,2009.25,BEV,6,pxweb.bfs.admin.ch / ACEA
2010M04,monthly,2009.25,DIESEL,7087,pxweb.bfs.admin.ch / ACEA
2010M04,monthly,2009.25,HEV,308,pxweb.bfs.admin.ch / ACEA
2010M04,monthly,2009.25,OTHER,70,pxweb.bfs.admin.ch / ACEA
2010M04,monthly,2009.25,PETROL,18581,pxweb.bfs.admin.ch / ACEA
2010M04,monthly,2009.25,PHEV,3,pxweb.bfs.admin.ch / ACEA
2010M04,monthly,2009.25,TOTAL,26055,pxweb.bfs.admin.ch / ACEA
2010M05,monthly,2009.333333,BEV,5,pxweb.bfs.admin.ch / ACEA
2010M05,monthly,2009.333333,DIESEL,7008,pxweb.bfs.admin.ch / ACEA
2010M05,monthly,2009.333333,HEV,446,pxweb.bfs.admin.ch / ACEA
2010M05,monthly,2009.333333,OTHER,97,pxweb.bfs.admin.ch / ACEA
2010M05,monthly,2009.333333,PETROL,17554,pxweb.bfs.admin.ch / ACEA
2010M05,monthly,2009.333333,PHEV,2,pxweb.bfs.admin.ch / ACEA
2010M05,monthly,2009.333333,TOTAL,25112,pxweb.bfs.admin.ch / ACEA
2010M06,monthly,2009.416667,BEV,65,pxweb.bfs.admin.ch / ACEA
2010M06,monthly,2009.416667,DIESEL,9035,pxweb.bfs.admin.ch / ACEA
2010M06,monthly,2009.416667,HEV,400,pxweb.bfs.admin.ch / ACEA
2010M06,monthly,2009.416667,OTHER,100,pxweb.bfs.admin.ch / ACEA
2010M06,monthly,2009.416667,PETROL,22357,pxweb.bfs.admin.ch / ACEA
2010M06,monthly,2009.416667,PHEV,3,pxweb.bfs.admin.ch / ACEA
2010M06,monthly,2009.416667,TOTAL,31960,pxweb.bfs.admin.ch / ACEA
2010M07,monthly,2009.5,BEV,13,pxweb.bfs.admin.ch / ACEA
2010M07,monthly,2009.5,DIESEL,7834,pxweb.bfs.admin.ch / ACEA
2010M07,monthly,2009.5,HEV,377,pxweb.bfs.admin.ch / ACEA
2010M07,monthly,2009.5,OTHER,80,pxweb.bfs.admin.ch / ACEA
2010M07,monthly,2009.5,PETROL,17350,pxweb.bfs.admin.ch / ACEA
2010M07,monthly,2009.5,PHEV,5,pxweb.bfs.admin.ch / ACEA
2010M07,monthly,2009.5,TOTAL,25659,pxweb.bfs.admin.ch / ACEA
2010M08,monthly,2009.583333,BEV,19,pxweb.bfs.admin.ch / ACEA
2010M08,monthly,2009.583333,DIESEL,6035,pxweb.bfs.admin.ch / ACEA
2010M08,monthly,2009.583333,HEV,354,pxweb.bfs.admin.ch / ACEA
2010M08,monthly,2009.583333,OTHER,65,pxweb.bfs.admin.ch / ACEA
2010M08,monthly,2009.583333,PETROL,13650,pxweb.bfs.admin.ch / ACEA
2010M08,monthly,2009.583333,PHEV,1,pxweb.bfs.admin.ch / ACEA
2010M08,monthly,2009.583333,TOTAL,20124,pxweb.bfs.admin.ch / ACEA
2010M09,monthly,2009.666667,BEV,9,pxweb.bfs.admin.ch / ACEA
2010M09,monthly,2009.666667,DIESEL,6931,pxweb.bfs.admin.ch / ACEA
2010M09,monthly,2009.666667,HEV,313,pxweb.bfs.admin.ch / ACEA
2010M09,monthly,2009.666667,OTHER,75,pxweb.bfs.admin.ch / ACEA
2010M09,monthly,2009.666667,PETROL,15016,pxweb.bfs.admin.ch / ACEA
2010M09,monthly,2009.666667,PHEV,5,pxweb.bfs.admin.ch / ACEA
2010M09,monthly,2009.666667,TOTAL,22349,pxweb.bfs.admin.ch / ACEA
2010M10,monthly,2009.75,BEV,15,pxweb.bfs.admin.ch / ACEA
2010M10,monthly,2009.75,DIESEL,8069,pxweb.bfs.admin.ch / ACEA
2010M10,monthly,2009.75,HEV,349,pxweb.bfs.admin.ch / ACEA
2010M10,monthly,2009.75,OTHER,49,pxweb.bfs.admin.ch / ACEA
2010M10,monthly,2009.75,PETROL,16251,pxweb.bfs.admin.ch / ACEA
2010M10,monthly,2009.75,PHEV,3,pxweb.bfs.admin.ch / ACEA
2010M10,monthly,2009.75,TOTAL,24736,pxweb.bfs.admin.ch / ACEA
2010M11,monthly,2009.833333,BEV,16,pxweb.bfs.admin.ch / ACEA
2010M11,monthly,2009.833333,DIESEL,8449,pxweb.bfs.admin.ch / ACEA
2010M11,monthly,2009.833333,HEV,389,pxweb.bfs.admin.ch / ACEA
2010M11,monthly,2009.833333,OTHER,64,pxweb.bfs.admin.ch / ACEA
2010M11,monthly,2009.833333,PETROL,16223,pxweb.bfs.admin.ch / ACEA
2010M11,monthly,2009.833333,PHEV,1,pxweb.bfs.admin.ch / ACEA
2010M11,monthly,2009.833333,TOTAL,25142,pxweb.bfs.admin.ch / ACEA
2010M12,monthly,2009.916667,BEV,26,pxweb.bfs.admin.ch / ACEA
2010M12,monthly,2009.916667,DIESEL,9721,pxweb.bfs.admin.ch / ACEA
2010M12,monthly,2009.916667,HEV,375,pxweb.bfs.admin.ch / ACEA
2010M12,monthly,2009.916667,OTHER,90,pxweb.bfs.admin.ch / ACEA
2010M12,monthly,2009.916667,PETROL,18252,pxweb.bfs.admin.ch / ACEA
2010M12,monthly,2009.916667,PHEV,6,pxweb.bfs.admin.ch / ACEA
2010M12,monthly,2009.916667,TOTAL,28470,pxweb.bfs.admin.ch / ACEA
2011M01,monthly,2010,BEV,38,pxweb.bfs.admin.ch / ACEA
2011M01,monthly,2010,DIESEL,7583,pxweb.bfs.admin.ch / ACEA
2011M01,monthly,2010,HEV,300,pxweb.bfs.admin.ch / ACEA
2011M01,monthly,2010,OTHER,75,pxweb.bfs.admin.ch / ACEA
2011M01,monthly,2010,PETROL,13435,pxweb.bfs.admin.ch / ACEA
2011M01,monthly,2010,PHEV,6,pxweb.bfs.admin.ch / ACEA
2011M01,monthly,2010,TOTAL,21437,pxweb.bfs.admin.ch / ACEA
2011M02,monthly,2010.083333,BEV,32,pxweb.bfs.admin.ch / ACEA
2011M02,monthly,2010.083333,DIESEL,7653,pxweb.bfs.admin.ch / ACEA
2011M02,monthly,2010.083333,HEV,404,pxweb.bfs.admin.ch / ACEA
2011M02,monthly,2010.083333,OTHER,88,pxweb.bfs.admin.ch / ACEA
2011M02,monthly,2010.083333,PETROL,15101,pxweb.bfs.admin.ch / ACEA
2011M02,monthly,2010.083333,PHEV,8,pxweb.bfs.admin.ch / ACEA
2011M02,monthly,2010.083333,TOTAL,23286,pxweb.bfs.admin.ch / ACEA
2011M03,monthly,2010.166667,BEV,67,pxweb.bfs.admin.ch / ACEA
2011M03,monthly,2010.166667,DIESEL,9821,pxweb.bfs.admin.ch / ACEA
2011M03,monthly,2010.166667,HEV,551,pxweb.bfs.admin.ch / ACEA
2011M03,monthly,2010.166667,OTHER,149,pxweb.bfs.admin.ch / ACEA
2011M03,monthly,2010.166667,PETROL,20779,pxweb.bfs.admin.ch / ACEA
2011M03,monthly,2010.166667,PHEV,15,pxweb.bfs.admin.ch / ACEA
2011M03,monthly,2010.166667,TOTAL,31382,pxweb.bfs.admin.ch / ACEA
2011M04,monthly,2010.25,BEV,39,pxweb.bfs.admin.ch / ACEA
2011M04,monthly,2010.25,DIESEL,8706,pxweb.bfs.admin.ch / ACEA
2011M04,monthly,2010.25,HEV,586,pxweb.bfs.admin.ch / ACEA
2011M04,monthly,2010.25,OTHER,87,pxweb.bfs.admin.ch / ACEA
2011M04,monthly,2010.25,PETROL,19068,pxweb.bfs.admin.ch / ACEA
2011M04,monthly,2010.25,PHEV,10,pxweb.bfs.admin.ch / ACEA
2011M04,monthly,2010.25,TOTAL,28496,pxweb.bfs.admin.ch / ACEA
2011M05,monthly,2010.333333,BEV,39,pxweb.bfs.admin.ch / ACEA
2011M05,monthly,2010.333333,DIESEL,10069,pxweb.bfs.admin.ch / ACEA
2011M05,monthly,2010.333333,HEV,396,pxweb.bfs.admin.ch / ACEA
2011M05,monthly,2010.333333,OTHER,141,pxweb.bfs.admin.ch / ACEA
2011M05,monthly,2010.333333,PETROL,19668,pxweb.bfs.admin.ch / ACEA
2011M05,monthly,2010.333333,PHEV,11,pxweb.bfs.admin.ch / ACEA
2011M05,monthly,2010.333333,TOTAL,30324,pxweb.bfs.admin.ch / ACEA
2011M06,monthly,2010.416667,BEV,40,pxweb.bfs.admin.ch / ACEA
