period,interval,year,category,registrations,source
2010M01,monthly,2009,BEV,0,pxweb.bfs.admin.ch
2010M01,monthly,2009,DIESEL,1637,pxweb.bfs.admin.ch
2010M01,monthly,2009,HEV,0,pxweb.bfs.admin.ch
2010M01,monthly,2009,OTHER,19,pxweb.bfs.admin.ch
2010M01,monthly,2009,PETROL,311,pxweb.bfs.admin.ch
2010M01,monthly,2009,PHEV,0,pxweb.bfs.admin.ch
2010M01,monthly,2009,TOTAL,1967,pxweb.bfs.admin.ch
2010M02,monthly,2009.083333,BEV,0,pxweb.bfs.admin.ch
2010M02,monthly,2009.083333,DIESEL,1606,pxweb.bfs.admin.ch
2010M02,monthly,2009.083333,HEV,0,pxweb.bfs.admin.ch
2010M02,monthly,2009.083333,OTHER,16,pxweb.bfs.admin.ch
2010M02,monthly,2009.083333,PETROL,279,pxweb.bfs.admin.ch
2010M02,monthly,2009.083333,PHEV,0,pxweb.bfs.admin.ch
2010M02,monthly,2009.083333,TOTAL,1901,pxweb.bfs.admin.ch
2010M03,monthly,2009.166667,BEV,1,pxweb.bfs.admin.ch
2010M03,monthly,2009.166667,DIESEL,2360,pxweb.bfs.admin.ch
2010M03,monthly,2009.166667,HEV,0,pxweb.bfs.admin.ch
2010M03,monthly,2009.166667,OTHER,30,pxweb.bfs.admin.ch
2010M03,monthly,2009.166667,PETROL,315,pxweb.bfs.admin.ch
2010M03,monthly,2009.166667,PHEV,0,pxweb.bfs.admin.ch
2010M03,monthly,2009.166667,TOTAL,2706,pxweb.bfs.admin.ch
2010M04,monthly,2009.25,BEV,0,pxweb.bfs.admin.ch
2010M04,monthly,2009.25,DIESEL,2210,pxweb.bfs.admin.ch
2010M04,monthly,2009.25,HEV,0,pxweb.bfs.admin.ch
2010M04,monthly,2009.25,OTHER,26,pxweb.bfs.admin.ch
2010M04,monthly,2009.25,PETROL,281,pxweb.bfs.admin.ch
2010M04,monthly,2009.25,PHEV,0,pxweb.bfs.admin.ch
2010M04,monthly,2009.25,TOTAL,2517,pxweb.bfs.admin.ch
2010M05,monthly,2009.333333,BEV,0,pxweb.bfs.admin.ch
2010M05,monthly,2009.333333,DIESEL,1984,pxweb.bfs.admin.ch
2010M05,monthly,2009.333333,HEV,0,pxweb.bfs.admin.ch
2010M05,monthly,2009.333333,OTHER,22,pxweb.bfs.admin.ch
2010M05,monthly,2009.333333,PETROL,300,pxweb.bfs.admin.ch
2010M05,monthly,2009.333333,PHEV,0,pxweb.bfs.admin.ch
2010M05,monthly,2009.333333,TOTAL,2306,pxweb.bfs.admin.ch
2010M06,monthly,2009.416667,BEV,5,pxweb.bfs.admin.ch
2010M06,monthly,2009.416667,DIESEL,2210,pxweb.bfs.admin.ch
2010M06,monthly,2009.416667,HEV,0,pxweb.bfs.admin.ch
2010M06,monthly,2009.416667,OTHER,19,pxweb.bfs.admin.ch
2010M06,monthly,2009.416667,PETROL,313,pxweb.bfs.admin.ch
2010M06,monthly,2009.416667,PHEV,0,pxweb.bfs.admin.ch
2010M06,monthly,2009.416667,TOTAL,2547,pxweb.bfs.admin.ch
