period,interval,year,category,registrations,source
2018M01,monthly,2017,BEV,0,data.thaiauto.or.th
2018M01,monthly,2017,HEV,930.100517748708,data.thaiauto.or.th
2018M01,monthly,2017,ICE,89115,data.thaiauto.or.th
2018M01,monthly,2017,OTHER,2,data.thaiauto.or.th
2018M01,monthly,2017,PHEV,118.89948225129206,data.thaiauto.or.th
2018M01,monthly,2017,TOTAL,90166,data.thaiauto.or.th
2018M02,monthly,2017.083333,BEV,3,data.thaiauto.or.th
2018M02,monthly,2017.083333,HEV,1127.1671837471915,data.thaiauto.or.th
2018M02,monthly,2017.083333,ICE,87839,data.thaiauto.or.th
2018M02,monthly,2017.083333,OTHER,2,data.thaiauto.or.th
2018M02,monthly,2017.083333,PHEV,143.83281625280847,data.thaiauto.or.th
2018M02,monthly,2017.083333,TOTAL,89115,data.thaiauto.or.th
2018M03,monthly,2017.166667,BEV,1,data.thaiauto.or.th
2018M03,monthly,2017.166667,HEV,1362.627604609769,data.thaiauto.or.th
2018M03,monthly,2017.166667,ICE,93722,data.thaiauto.or.th
2018M03,monthly,2017.166667,OTHER,1,data.thaiauto.or.th
2018M03,monthly,2017.166667,PHEV,173.37239539023108,data.thaiauto.or.th
2018M03,monthly,2017.166667,TOTAL,95260,data.thaiauto.or.th
2018M04,monthly,2017.25,BEV,2,data.thaiauto.or.th
2018M04,monthly,2017.25,HEV,1385.411710707784,data.thaiauto.or.th
2018M04,monthly,2017.25,ICE,73858,data.thaiauto.or.th
2018M04,monthly,2017.25,OTHER,2,data.thaiauto.or.th
2018M04,monthly,2017.25,PHEV,175.5882892922159,data.thaiauto.or.th
2018M04,monthly,2017.25,TOTAL,75423,data.thaiauto.or.th
2018M05,monthly,2017.333333,BEV,10,data.thaiauto.or.th
2018M05,monthly,2017.333333,HEV,1683.7106723893858,data.thaiauto.or.th
2018M05,monthly,2017.333333,ICE,89397,data.thaiauto.or.th
2018M05,monthly,2017.333333,OTHER,0,data.thaiauto.or.th
2018M05,monthly,2017.333333,PHEV,212.28932761061424,data.thaiauto.or.th
2018M05,monthly,2017.333333,TOTAL,91303,data.thaiauto.or.th
2018M06,monthly,2017.416667,BEV,4,data.thaiauto.or.th
2018M06,monthly,2017.416667,HEV,2000.9657586272938,data.thaiauto.or.th
2018M06,monthly,2017.416667,ICE,87586,data.thaiauto.or.th
2018M06,monthly,2017.416667,OTHER,0,data.thaiauto.or.th
2018M06,monthly,2017.416667,PHEV,251.03424137270622,data.thaiauto.or.th
2018M06,monthly,2017.416667,TOTAL,89842,data.thaiauto.or.th
2018M07,monthly,2017.5,BEV,22,data.thaiauto.or.th
2018M07,monthly,2017.5,HEV,1793.1383069506644,data.thaiauto.or.th
2018M07,monthly,2017.5,ICE,77906,data.thaiauto.or.th
