period,interval,year,category,registrations,source
2018M01,monthly,2017,BEV,0,data.thaiauto.or.th
2018M01,monthly,2017,ICE,4227,data.thaiauto.or.th
2018M01,monthly,2017,OTHER,1504,data.thaiauto.or.th
2018M01,monthly,2017,PHEV,0,data.thaiauto.or.th
2018M01,monthly,2017,TOTAL,5731,data.thaiauto.or.th
2018M02,monthly,2017.083333,BEV,0,data.thaiauto.or.th
2018M02,monthly,2017.083333,ICE,4321,data.thaiauto.or.th
2018M02,monthly,2017.083333,OTHER,1350,data.thaiauto.or.th
2018M02,monthly,2017.083333,PHEV,0,data.thaiauto.or.th
2018M02,monthly,2017.083333,TOTAL,5671,data.thaiauto.or.th
2018M03,monthly,2017.166667,BEV,0,data.thaiauto.or.th
2018M03,monthly,2017.166667,ICE,4450,data.thaiauto.or.th
2018M03,monthly,2017.166667,OTHER,1440,data.thaiauto.or.th
2018M03,monthly,2017.166667,PHEV,0,data.thaiauto.or.th
2018M03,monthly,2017.166667,TOTAL,5890,data.thaiauto.or.th
2018M04,monthly,2017.25,BEV,0,data.thaiauto.or.th
2018M04,monthly,2017.25,ICE,4084,data.thaiauto.or.th
2018M04,monthly,2017.25,OTHER,1396,data.thaiauto.or.th
2018M04,monthly,2017.25,PHEV,0,data.thaiauto.or.th
2018M04,monthly,2017.25,TOTAL,5480,data.thaiauto.or.th
2018M05,monthly,2017.333333,BEV,0,data.thaiauto.or.th
2018M05,monthly,2017.333333,ICE,4557,data.thaiauto.or.th
2018M05,monthly,2017.333333,OTHER,1697,data.thaiauto.or.th
2018M05,monthly,2017.333333,PHEV,0,data.thaiauto.or.th
2018M05,monthly,2017.333333,TOTAL,6254,data.thaiauto.or.th
2018M06,monthly,2017.416667,BEV,0,data.thaiauto.or.th
2018M06,monthly,2017.416667,ICE,4265,data.thaiauto.or.th
2018M06,monthly,2017.416667,OTHER,1464,data.thaiauto.or.th
2018M06,monthly,2017.416667,PHEV,0,data.thaiauto.or.th
2018M06,monthly,2017.416667,TOTAL,5729,data.thaiauto.or.th
2018M07,monthly,2017.5,BEV,0,data.thaiauto.or.th
2018M07,monthly,2017.5,ICE,4499,data.thaiauto.or.th
2018M07,monthly,2017.5,OTHER,1679,data.thaiauto.or.th
2018M07,monthly,2017.5,PHEV,0,data.thaiauto.or.th
2018M07,monthly,2017.5,TOTAL,6178,data.thaiauto.or.th
2018M08,monthly,2017.583333,BEV,0,data.thaiauto.or.th
2018M08,monthly,2017.583333,ICE,4713,data.thaiauto.or.th
2018M08,monthly,2017.583333,OTHER,1633,data.thaiauto.or.th
2018M08,monthly,2017.583333,PHEV,0,data.thaiauto.or.th
2018M08,monthly,2017.583333,TOTAL,6346,data.thaiauto.or.th
2018M09,monthly,2017.666667,BEV,0,data.thaiauto.or.th
2018M09,monthly,2017.666667,ICE,4031,data.thaiauto.or.th
2018M09,monthly,2017.666667,OTHER,1342,data.thaiauto.or.th
2018M09,monthly,2017.666667,PHEV,0,data.thaiauto.or.th
2018M09,monthly,2017.666667,TOTAL,5373,data.thaiauto.or.th
2018M10,monthly,2017.75,BEV,0,data.thaiauto.or.th
2018M10,monthly,2017.75,ICE,4762,data.thaiauto.or.th
2018M10,monthly,2017.75,OTHER,1860,data.thaiauto.or.th
2018M10,monthly,2017.75,PHEV,0,data.thaiauto.or.th
2018M10,monthly,2017.75,TOTAL,6622,data.thaiauto.or.th
2018M11,monthly,2017.833333,BEV,0,data.thaiauto.or.th
2018M11,monthly,2017.833333,ICE,4632,data.thaiauto.or.th
2018M11,monthly,2017.833333,OTHER,1746,data.thaiauto.or.th
2018M11,monthly,2017.833333,PHEV,0,data.thaiauto.or.th
2018M11,monthly,2017.833333,TOTAL,6378,data.thaiauto.or.th
2018M12,monthly,2017.916667,BEV,0,data.thaiauto.or.th
2018M12,monthly,2017.916667,ICE,3646,data.thaiauto.or.th
2018M12,monthly,2017.916667,OTHER,1110,data.thaiauto.or.th
