period,interval,year,category,registrations,source
2015M01,monthly,2014,BEV,512,SMMT
2015M01,monthly,2014,DIESEL,0,SMMT
2015M01,monthly,2014,HEV,2883,SMMT
2015M01,monthly,2014,PETROL,0,SMMT
2015M01,monthly,2014,PHEV,1203,SMMT
2015M01,monthly,2014,TOTAL,164856,SMMT
2015M02,monthly,2014.083333,BEV,216,SMMT
2015M02,monthly,2014.083333,DIESEL,0,SMMT
2015M02,monthly,2014.083333,HEV,1134,SMMT
2015M02,monthly,2014.083333,PETROL,0,SMMT
2015M02,monthly,2014.083333,PHEV,512,SMMT
2015M02,monthly,2014.083333,TOTAL,76958,SMMT
2015M03,monthly,2014.166667,BEV,1905,SMMT
2015M03,monthly,2014.166667,DIESEL,0,SMMT
2015M03,monthly,2014.166667,HEV,8221,SMMT
2015M03,monthly,2014.166667,PETROL,0,SMMT
2015M03,monthly,2014.166667,PHEV,4209,SMMT
2015M03,monthly,2014.166667,TOTAL,492774,SMMT
2015M04,monthly,2014.25,BEV,515,SMMT
2015M04,monthly,2014.25,DIESEL,0,SMMT
2015M04,monthly,2014.25,HEV,3523,SMMT
2015M04,monthly,2014.25,PETROL,0,SMMT
2015M04,monthly,2014.25,PHEV,975,SMMT
2015M04,monthly,2014.25,TOTAL,185778,SMMT
2015M05,monthly,2014.333333,BEV,624,SMMT
2015M05,monthly,2014.333333,DIESEL,0,SMMT
2015M05,monthly,2014.333333,HEV,3153,SMMT
2015M05,monthly,2014.333333,PETROL,0,SMMT
2015M05,monthly,2014.333333,PHEV,1248,SMMT
2015M05,monthly,2014.333333,TOTAL,198706,SMMT
2015M06,monthly,2014.416667,BEV,909,SMMT
2015M06,monthly,2014.416667,DIESEL,0,SMMT
2015M06,monthly,2014.416667,HEV,4807,SMMT
2015M06,monthly,2014.416667,PETROL,0,SMMT
2015M06,monthly,2014.416667,PHEV,1394,SMMT
2015M06,monthly,2014.416667,TOTAL,257817,SMMT
2015M07,monthly,2014.5,BEV,420,SMMT
2015M07,monthly,2014.5,DIESEL,0,SMMT
2015M07,monthly,2014.5,HEV,2725,SMMT
2015M07,monthly,2014.5,PETROL,0,SMMT
2015M07,monthly,2014.5,PHEV,1169,SMMT
2015M07,monthly,2014.5,TOTAL,178420,SMMT
2015M08,monthly,2014.583333,BEV,301,SMMT
2015M08,monthly,2014.583333,DIESEL,0,SMMT
2015M08,monthly,2014.583333,HEV,1039,SMMT
2015M08,monthly,2014.583333,PETROL,0,SMMT
2015M08,monthly,2014.583333,PHEV,578,SMMT
2015M08,monthly,2014.583333,TOTAL,79060,SMMT
2015M09,monthly,2014.666667,BEV,1549,SMMT
2015M09,monthly,2014.666667,DIESEL,0,SMMT
2015M09,monthly,2014.666667,HEV,8201,SMMT
2015M09,monthly,2014.666667,PETROL,0,SMMT
2015M09,monthly,2014.666667,PHEV,2363,SMMT
2015M09,monthly,2014.666667,TOTAL,462517,SMMT
2015M10,monthly,2014.75,BEV,686,SMMT
2015M10,monthly,2014.75,DIESEL,0,SMMT
2015M10,monthly,2014.75,HEV,3532,SMMT
2015M10,monthly,2014.75,PETROL,0,SMMT
2015M10,monthly,2014.75,PHEV,1142,SMMT
2015M10,monthly,2014.75,TOTAL,177664,SMMT
2015M11,monthly,2014.833333,BEV,780,SMMT
2015M11,monthly,2014.833333,DIESEL,0,SMMT
2015M11,monthly,2014.833333,HEV,3050,SMMT
2015M11,monthly,2014.833333,PETROL,0,SMMT
2015M11,monthly,2014.833333,PHEV,1496,SMMT
2015M11,monthly,2014.833333,TOTAL,178876,SMMT
2015M12,monthly,2014.916667,BEV,1517,SMMT
2015M12,monthly,2014.916667,DIESEL,0,SMMT
2015M12,monthly,2014.916667,HEV,2713,SMMT
2015M12,monthly,2014.916667,PETROL,0,SMMT
2015M12,monthly,2014.916667,PHEV,1573,SMMT
2015M12,monthly,2014.916667,TOTAL,180077,SMMT
2016M01,monthly,2015,BEV,584,SMMT
2016M01,monthly,2015,DIESEL,0,SMMT
2016M01,monthly,2015,HEV,3800,SMMT
2016M01,monthly,2015,PETROL,0,SMMT
2016M01,monthly,2015,PHEV,1683,SMMT
2016M01,monthly,2015,TOTAL,169678,SMMT
2016M02,monthly,2015.083333,BEV,239,SMMT
2016M02,monthly,2015.083333,DIESEL,0,SMMT
2016M02,monthly,2015.083333,HEV,983,SMMT
2016M02,monthly,2015.083333,PETROL,0,SMMT
2016M02,monthly,2015.083333,PHEV,999,SMMT
2016M02,monthly,2015.083333,TOTAL,83395,SMMT
2016M03,monthly,2015.166667,BEV,2341,SMMT
2016M03,monthly,2015.166667,DIESEL,0,SMMT
2016M03,monthly,2015.166667,HEV,9878,SMMT
2016M03,monthly,2015.166667,PETROL,0,SMMT
2016M03,monthly,2015.166667,PHEV,5193,SMMT
2016M03,monthly,2015.166667,TOTAL,518707,SMMT
2016M04,monthly,2015.25,BEV,580,SMMT
2016M04,monthly,2015.25,DIESEL,0,SMMT
2016M04,monthly,2015.25,HEV,3499,SMMT
2016M04,monthly,2015.25,PETROL,0,SMMT
2016M04,monthly,2015.25,PHEV,2282,SMMT
2016M04,monthly,2015.25,TOTAL,189505,SMMT
2016M05,monthly,2015.333333,BEV,517,SMMT
2016M05,monthly,2015.333333,DIESEL,0,SMMT
2016M05,monthly,2015.333333,HEV,3267,SMMT
2016M05,monthly,2015.333333,PETROL,0,SMMT
2016M05,monthly,2015.333333,PHEV,1846,SMMT
2016M05,monthly,2015.333333,TOTAL,203585,SMMT
2016M06,monthly,2015.416667,BEV,1006,SMMT
2016M06,monthly,2015.416667,DIESEL,0,SMMT
2016M06,monthly,2015.416667,HEV,5079,SMMT
2016M06,monthly,2015.416667,PETROL,0,SMMT
2016M06,monthly,2015.416667,PHEV,2226,SMMT
2016M06,monthly,2015.416667,TOTAL,255766,SMMT
2016M07,monthly,2015.5,BEV,419,SMMT
2016M07,monthly,2015.5,DIESEL,0,SMMT
2016M07,monthly,2015.5,HEV,3110,SMMT
2016M07,monthly,2015.5,PETROL,0,SMMT
2016M07,monthly,2015.5,PHEV,1850,SMMT
2016M07,monthly,2015.5,TOTAL,178523,SMMT
2016M08,monthly,2015.583333,BEV,293,SMMT
2016M08,monthly,2015.583333,DIESEL,0,SMMT
2016M08,monthly,2015.583333,HEV,1337,SMMT
2016M08,monthly,2015.583333,PETROL,0,SMMT
2016M08,monthly,2015.583333,PHEV,877,SMMT
2016M08,monthly,2015.583333,TOTAL,81640,SMMT
2016M09,monthly,2015.666667,BEV,2128,SMMT
2016M09,monthly,2015.666667,DIESEL,0,SMMT
2016M09,monthly,2015.666667,HEV,9731,SMMT
2016M09,monthly,2015.666667,PETROL,0,SMMT
2016M09,monthly,2015.666667,PHEV,4192,SMMT
2016M09,monthly,2015.666667,TOTAL,469696,SMMT
2016M10,monthly,2015.75,BEV,394,SMMT
2016M10,monthly,2015.75,DIESEL,0,SMMT
2016M10,monthly,2015.75,HEV,3745,SMMT
2016M10,monthly,2015.75,PETROL,0,SMMT
2016M10,monthly,2015.75,PHEV,1882,SMMT
2016M10,monthly,2015.75,TOTAL,180168,SMMT
2016M11,monthly,2015.833333,BEV,605,SMMT
2016M11,monthly,2015.833333,DIESEL,0,SMMT
2016M11,monthly,2015.833333,HEV,4098,SMMT
2016M11,monthly,2015.833333,PETROL,0,SMMT
2016M11,monthly,2015.833333,PHEV,1958,SMMT
2016M11,monthly,2015.833333,TOTAL,184101,SMMT
2016M12,monthly,2015.916667,BEV,1158,SMMT
2016M12,monthly,2015.916667,DIESEL,0,SMMT
2016M12,monthly,2015.916667,HEV,3270,SMMT
2016M12,monthly,2015.916667,PETROL,0,SMMT
2016M12,monthly,2015.916667,PHEV,1838,SMMT
2016M12,monthly,2015.916667,TOTAL,178022,SMMT
2017M01,monthly,2016,BEV,1010,SMMT
2017M01,monthly,2016,DIESEL,0,SMMT
2017M01,monthly,2016,HEV,4688,SMMT
2017M01,monthly,2016,PETROL,0,SMMT
2017M01,monthly,2016,PHEV,1563,SMMT
2017M01,monthly,2016,TOTAL,176470,SMMT
2017M02,monthly,2016.083333,BEV,483,SMMT
2017M02,monthly,2016.083333,DIESEL,0,SMMT
2017M02,monthly,2016.083333,HEV,1996,SMMT
2017M02,monthly,2016.083333,PETROL,0,SMMT
2017M02,monthly,2016.083333,PHEV,829,SMMT
2017M02,monthly,2016.083333,TOTAL,83115,SMMT
2017M03,monthly,2016.166667,BEV,3141,SMMT
2017M03,monthly,2016.166667,DIESEL,0,SMMT
2017M03,monthly,2016.166667,HEV,14729,SMMT
2017M03,monthly,2016.166667,PETROL,0,SMMT
2017M03,monthly,2016.166667,PHEV,4946,SMMT
2017M03,monthly,2016.166667,TOTAL,562337,SMMT
2017M04,monthly,2016.25,BEV,668,SMMT
2017M04,monthly,2016.25,DIESEL,0,SMMT
2017M04,monthly,2016.25,HEV,3557,SMMT
2017M04,monthly,2016.25,PETROL,0,SMMT
2017M04,monthly,2016.25,PHEV,2048,SMMT
