period,interval,year,category,registrations,source
2021M06,yearly,2020.416667,BEV,613.5,ACAU
2021M06,yearly,2020.416667,PHEV,0,ACAU
2021M06,yearly,2020.416667,TOTAL,33975,ACAU
2022M06,yearly,2021.416667,BEV,1044,ACAU
2022M06,yearly,2021.416667,PHEV,0,ACAU
2022M06,yearly,2021.416667,TOTAL,37020,ACAU
2023M01,monthly,2022,BEV,105,ACAU
2023M01,monthly,2022,DIESEL,75,ACAU
2023M01,monthly,2022,HEV,230,ACAU
2023M01,monthly,2022,PETROL,2352,ACAU
2023M01,monthly,2022,PHEV,9,ACAU
2023M01,monthly,2022,TOTAL,2771,ACAU
2023M02,monthly,2022.083333,BEV,51,ACAU
2023M02,monthly,2022.083333,DIESEL,59,ACAU
2023M02,monthly,2022.083333,HEV,278,ACAU
2023M02,monthly,2022.083333,PETROL,1862,ACAU
2023M02,monthly,2022.083333,PHEV,5,ACAU
2023M02,monthly,2022.083333,TOTAL,2255,ACAU
2023M03,monthly,2022.166667,BEV,87,ACAU
2023M03,monthly,2022.166667,DIESEL,55,ACAU
2023M03,monthly,2022.166667,HEV,270,ACAU
2023M03,monthly,2022.166667,PETROL,3123,ACAU
2023M03,monthly,2022.166667,PHEV,8,ACAU
2023M03,monthly,2022.166667,TOTAL,3543,ACAU
2023M04,monthly,2022.25,BEV,66,ACAU
2023M04,monthly,2022.25,DIESEL,154,ACAU
2023M04,monthly,2022.25,HEV,172,ACAU
2023M04,monthly,2022.25,PETROL,2234,ACAU
2023M04,monthly,2022.25,PHEV,6,ACAU
2023M04,monthly,2022.25,TOTAL,2632,ACAU
2023M05,monthly,2022.333333,BEV,123,ACAU
2023M05,monthly,2022.333333,DIESEL,133,ACAU
2023M05,monthly,2022.333333,HEV,158,ACAU
2023M05,monthly,2022.333333,PETROL,2296,ACAU
2023M05,monthly,2022.333333,PHEV,5,ACAU
2023M05,monthly,2022.333333,TOTAL,2715,ACAU
2023M06,monthly,2022.416667,BEV,83,ACAU
2023M06,monthly,2022.416667,DIESEL,102,ACAU
2023M06,monthly,2022.416667,HEV,179,ACAU
2023M06,monthly,2022.416667,PETROL,2566,ACAU
2023M06,monthly,2022.416667,PHEV,8,ACAU
2023M06,monthly,2022.416667,TOTAL,2938,ACAU
2023M07,monthly,2022.5,BEV,57,ACAU
2023M07,monthly,2022.5,DIESEL,100,ACAU
2023M07,monthly,2022.5,HEV,201,ACAU
2023M07,monthly,2022.5,PETROL,2766,ACAU
2023M07,monthly,2022.5,PHEV,17,ACAU
2023M07,monthly,2022.5,TOTAL,3141,ACAU
2023M08,monthly,2022.583333,BEV,185,ACAU
2023M08,monthly,2022.583333,DIESEL,67,ACAU
2023M08,monthly,2022.583333,HEV,233,ACAU
2023M08,monthly,2022.583333,PETROL,2371,ACAU
2023M08,monthly,2022.583333,PHEV,9,ACAU
2023M08,monthly,2022.583333,TOTAL,2865,ACAU
2023M09,monthly,2022.666667,BEV,118,ACAU
2023M09,monthly,2022.666667,DIESEL,66,ACAU
2023M09,monthly,2022.666667,HEV,221,ACAU
2023M09,monthly,2022.666667,PETROL,2721,ACAU
2023M09,monthly,2022.666667,PHEV,3,ACAU
2023M09,monthly,2022.666667,TOTAL,3129,ACAU
2023M10,monthly,2022.75,BEV,129,ACAU
2023M10,monthly,2022.75,DIESEL,69,ACAU
2023M10,monthly,2022.75,HEV,281,ACAU
2023M10,monthly,2022.75,PETROL,2800,ACAU
2023M10,monthly,2022.75,PHEV,6,ACAU
2023M10,monthly,2022.75,TOTAL,3285,ACAU
2023M11,monthly,2022.833333,BEV,190,ACAU
2023M11,monthly,2022.833333,DIESEL,70,ACAU
2023M11,monthly,2022.833333,HEV,240,ACAU
2023M11,monthly,2022.833333,PETROL,2857,ACAU
2023M11,monthly,2022.833333,PHEV,5,ACAU
2023M11,monthly,2022.833333,TOTAL,3362,ACAU
2023M12,monthly,2022.916667,BEV,162,ACAU
2023M12,monthly,2022.916667,DIESEL,61,ACAU
2023M12,monthly,2022.916667,HEV,386,ACAU
2023M12,monthly,2022.916667,PETROL,3097,ACAU
2023M12,monthly,2022.916667,PHEV,5,ACAU
2023M12,monthly,2022.916667,TOTAL,3711,ACAU
2024M01,monthly,2023,BEV,128,ACAU
2024M01,monthly,2023,DIESEL,111,ACAU
2024M01,monthly,2023,HEV,230,ACAU
2024M01,monthly,2023,OTHER,0,ACAU
2024M01,monthly,2023,PETROL,1729,ACAU
2024M01,monthly,2023,PHEV,4,ACAU
2024M01,monthly,2023,TOTAL,2202,ACAU
2024M02,monthly,2023.083333,BEV,210,ACAU
2024M02,monthly,2023.083333,DIESEL,65,ACAU
2024M02,monthly,2023.083333,HEV,409,ACAU
2024M02,monthly,2023.083333,OTHER,0,ACAU
2024M02,monthly,2023.083333,PETROL,2184,ACAU
2024M02,monthly,2023.083333,PHEV,2,ACAU
2024M02,monthly,2023.083333,TOTAL,2870,ACAU
2024M03,monthly,2023.166667,BEV,235,ACAU
2024M03,monthly,2023.166667,DIESEL,74,ACAU
2024M03,monthly,2023.166667,HEV,247,ACAU
