period,interval,year,category,registrations,source
2011M01,monthly,2010,BEV,103,ANL
2011M01,monthly,2010,HEV,19540,ANL
2011M01,monthly,2010,ICE,799974,ANL
2011M01,monthly,2010,OTHER,0,ANL
2011M01,monthly,2010,PHEV,321,ANL
2011M01,monthly,2010,TOTAL,819938,ANL
2011M02,monthly,2010.083333,BEV,83,ANL
2011M02,monthly,2010.083333,HEV,23306,ANL
2011M02,monthly,2010.083333,ICE,969865,ANL
2011M02,monthly,2010.083333,OTHER,0,ANL
2011M02,monthly,2010.083333,PHEV,281,ANL
2011M02,monthly,2010.083333,TOTAL,993535,ANL
2011M03,monthly,2010.166667,BEV,298,ANL
2011M03,monthly,2010.166667,HEV,34533,ANL
2011M03,monthly,2010.166667,ICE,1211229,ANL
2011M03,monthly,2010.166667,OTHER,0,ANL
2011M03,monthly,2010.166667,PHEV,608,ANL
2011M03,monthly,2010.166667,TOTAL,1246668,ANL
2011M04,monthly,2010.25,BEV,573,ANL
2011M04,monthly,2010.25,HEV,25602,ANL
2011M04,monthly,2010.25,ICE,1131260,ANL
2011M04,monthly,2010.25,OTHER,0,ANL
2011M04,monthly,2010.25,PHEV,493,ANL
2011M04,monthly,2010.25,TOTAL,1157928,ANL
2011M05,monthly,2010.333333,BEV,1150,ANL
2011M05,monthly,2010.333333,HEV,17419,ANL
2011M05,monthly,2010.333333,ICE,1042791,ANL
2011M05,monthly,2010.333333,OTHER,0,ANL
2011M05,monthly,2010.333333,PHEV,481,ANL
2011M05,monthly,2010.333333,TOTAL,1061841,ANL
2011M06,monthly,2010.416667,BEV,1708,ANL
2011M06,monthly,2010.416667,HEV,12655,ANL
2011M06,monthly,2010.416667,ICE,1038490,ANL
2011M06,monthly,2010.416667,OTHER,0,ANL
2011M06,monthly,2010.416667,PHEV,561,ANL
2011M06,monthly,2010.416667,TOTAL,1053414,ANL
2011M07,monthly,2010.5,BEV,932,ANL
2011M07,monthly,2010.5,HEV,19621,ANL
2011M07,monthly,2010.5,ICE,1039052,ANL
2011M07,monthly,2010.5,OTHER,0,ANL
2011M07,monthly,2010.5,PHEV,125,ANL
2011M07,monthly,2010.5,TOTAL,1059730,ANL
2011M08,monthly,2010.583333,BEV,1363,ANL
2011M08,monthly,2010.583333,HEV,21181,ANL
2011M08,monthly,2010.583333,ICE,1049533,ANL
2011M08,monthly,2010.583333,OTHER,0,ANL
2011M08,monthly,2010.583333,PHEV,302,ANL
2011M08,monthly,2010.583333,TOTAL,1072379,ANL
2011M09,monthly,2010.666667,BEV,1031,ANL
2011M09,monthly,2010.666667,HEV,17625,ANL
2011M09,monthly,2010.666667,ICE,1034382,ANL
2011M09,monthly,2010.666667,OTHER,0,ANL
2011M09,monthly,2010.666667,PHEV,723,ANL
2011M09,monthly,2010.666667,TOTAL,1053761,ANL
2011M10,monthly,2010.75,BEV,866,ANL
2011M10,monthly,2010.75,HEV,20257,ANL
2011M10,monthly,2010.75,ICE,998954,ANL
2011M10,monthly,2010.75,OTHER,0,ANL
2011M10,monthly,2010.75,PHEV,1108,ANL
2011M10,monthly,2010.75,TOTAL,1021185,ANL
2011M11,monthly,2010.833333,BEV,773,ANL
2011M11,monthly,2010.833333,HEV,26110,ANL
2011M11,monthly,2010.833333,ICE,966764,ANL
2011M11,monthly,2010.833333,OTHER,0,ANL
2011M11,monthly,2010.833333,PHEV,1139,ANL
2011M11,monthly,2010.833333,TOTAL,994786,ANL
2011M12,monthly,2010.916667,BEV,1212,ANL
2011M12,monthly,2010.916667,HEV,31100,ANL
2011M12,monthly,2010.916667,ICE,1209943,ANL
2011M12,monthly,2010.916667,OTHER,0,ANL
2011M12,monthly,2010.916667,PHEV,1529,ANL
2011M12,monthly,2010.916667,TOTAL,1243784,ANL
2012M01,monthly,2011,BEV,824,ANL
2012M01,monthly,2011,HEV,21779,ANL
2012M01,monthly,2011,ICE,890078,ANL
2012M01,monthly,2011,OTHER,0,ANL
2012M01,monthly,2011,PHEV,603,ANL
2012M01,monthly,2011,TOTAL,913284,ANL
2012M02,monthly,2011.083333,BEV,639,ANL
2012M02,monthly,2011.083333,HEV,36222,ANL
2012M02,monthly,2011.083333,ICE,1111548,ANL
2012M02,monthly,2011.083333,OTHER,0,ANL
2012M02,monthly,2011.083333,PHEV,1023,ANL
2012M02,monthly,2011.083333,TOTAL,1149432,ANL
2012M03,monthly,2011.166667,BEV,961,ANL
2012M03,monthly,2011.166667,HEV,48206,ANL
2012M03,monthly,2011.166667,ICE,1352256,ANL
2012M03,monthly,2011.166667,OTHER,0,ANL
2012M03,monthly,2011.166667,PHEV,3200,ANL
2012M03,monthly,2011.166667,TOTAL,1404623,ANL
2012M04,monthly,2011.25,BEV,479,ANL
2012M04,monthly,2011.25,HEV,39901,ANL
2012M04,monthly,2011.25,ICE,1141071,ANL
2012M04,monthly,2011.25,OTHER,0,ANL
2012M04,monthly,2011.25,PHEV,3116,ANL
2012M04,monthly,2011.25,TOTAL,1184567,ANL
2012M05,monthly,2011.333333,BEV,612,ANL
2012M05,monthly,2011.333333,HEV,37184,ANL
2012M05,monthly,2011.333333,ICE,1294080,ANL
2012M05,monthly,2011.333333,OTHER,0,ANL
2012M05,monthly,2011.333333,PHEV,2766,ANL
2012M05,monthly,2011.333333,TOTAL,1334642,ANL
2012M06,monthly,2011.416667,BEV,863,ANL
2012M06,monthly,2011.416667,HEV,34558,ANL
2012M06,monthly,2011.416667,ICE,1247623,ANL
2012M06,monthly,2011.416667,OTHER,0,ANL
2012M06,monthly,2011.416667,PHEV,2455,ANL
2012M06,monthly,2011.416667,TOTAL,1285499,ANL
2012M07,monthly,2011.5,BEV,479,ANL
2012M07,monthly,2011.5,HEV,31611,ANL
2012M07,monthly,2011.5,ICE,1119132,ANL
2012M07,monthly,2011.5,OTHER,0,ANL
2012M07,monthly,2011.5,PHEV,2537,ANL
2012M07,monthly,2011.5,TOTAL,1153759,ANL
2012M08,monthly,2011.583333,BEV,866,ANL
2012M08,monthly,2011.583333,HEV,38369,ANL
2012M08,monthly,2011.583333,ICE,1242179,ANL
2012M08,monthly,2011.583333,OTHER,0,ANL
2012M08,monthly,2011.583333,PHEV,3878,ANL
2012M08,monthly,2011.583333,TOTAL,1285292,ANL
2012M09,monthly,2011.666667,BEV,1306,ANL
2012M09,monthly,2011.666667,HEV,34836,ANL
2012M09,monthly,2011.666667,ICE,1148254,ANL
2012M09,monthly,2011.666667,OTHER,0,ANL
2012M09,monthly,2011.666667,PHEV,4503,ANL
2012M09,monthly,2011.666667,TOTAL,1188899,ANL
2012M10,monthly,2011.75,BEV,2240,ANL
2012M10,monthly,2011.75,HEV,33290,ANL
2012M10,monthly,2011.75,ICE,1051770,ANL
2012M10,monthly,2011.75,OTHER,0,ANL
2012M10,monthly,2011.75,PHEV,4994,ANL
2012M10,monthly,2011.75,TOTAL,1092294,ANL
2012M11,monthly,2011.833333,BEV,2614,ANL
2012M11,monthly,2011.833333,HEV,35002,ANL
2012M11,monthly,2011.833333,ICE,1101756,ANL
2012M11,monthly,2011.833333,OTHER,0,ANL
2012M11,monthly,2011.833333,PHEV,4544,ANL
2012M11,monthly,2011.833333,TOTAL,1143916,ANL
2012M12,monthly,2011.916667,BEV,2704,ANL
2012M12,monthly,2011.916667,HEV,43690,ANL
2012M12,monthly,2011.916667,ICE,1304711,ANL
2012M12,monthly,2011.916667,OTHER,0,ANL
2012M12,monthly,2011.916667,PHEV,4965,ANL
2012M12,monthly,2011.916667,TOTAL,1356070,ANL
2013M01,monthly,2012,BEV,2372,ANL
2013M01,monthly,2012,HEV,34611,ANL
2013M01,monthly,2012,ICE,1003901,ANL
2013M01,monthly,2012,OTHER,0,ANL
2013M01,monthly,2012,PHEV,2354,ANL
2013M01,monthly,2012,TOTAL,1043238,ANL
2013M02,monthly,2012.083333,BEV,2666,ANL
2013M02,monthly,2012.083333,HEV,40173,ANL
2013M02,monthly,2012.083333,ICE,1146671,ANL
2013M02,monthly,2012.083333,OTHER,0,ANL
2013M02,monthly,2012.083333,PHEV,2789,ANL
2013M02,monthly,2012.083333,TOTAL,1192299,ANL
2013M03,monthly,2012.166667,BEV,4553,ANL
2013M03,monthly,2012.166667,HEV,46327,ANL
2013M03,monthly,2012.166667,ICE,1399079,ANL
2013M03,monthly,2012.166667,OTHER,0,ANL
2013M03,monthly,2012.166667,PHEV,3079,ANL
2013M03,monthly,2012.166667,TOTAL,1453038,ANL
2013M04,monthly,2012.25,BEV,4403,ANL
2013M04,monthly,2012.25,HEV,42804,ANL
2013M04,monthly,2012.25,ICE,1235504,ANL
2013M04,monthly,2012.25,OTHER,0,ANL
2013M04,monthly,2012.25,PHEV,2735,ANL
2013M04,monthly,2012.25,TOTAL,1285446,ANL
2013M05,monthly,2012.333333,BEV,4545,ANL
2013M05,monthly,2012.333333,HEV,48796,ANL
2013M05,monthly,2012.333333,ICE,1386761,ANL
2013M05,monthly,2012.333333,OTHER,0,ANL
2013M05,monthly,2012.333333,PHEV,3209,ANL
2013M05,monthly,2012.333333,TOTAL,1443311,ANL
2013M06,monthly,2012.416667,BEV,4573,ANL
2013M06,monthly,2012.416667,HEV,44924,ANL
2013M06,monthly,2012.416667,ICE,1349455,ANL
2013M06,monthly,2012.416667,OTHER,0,ANL
2013M06,monthly,2012.416667,PHEV,4169,ANL
2013M06,monthly,2012.416667,TOTAL,1403121,ANL
2013M07,monthly,2012.5,BEV,3943,ANL
2013M07,monthly,2012.5,HEV,45494,ANL
2013M07,monthly,2012.5,ICE,1260908,ANL
2013M07,monthly,2012.5,OTHER,0,ANL
2013M07,monthly,2012.5,PHEV,3499,ANL
2013M07,monthly,2012.5,TOTAL,1313844,ANL
2013M08,monthly,2012.583333,BEV,4956,ANL
2013M08,monthly,2012.583333,HEV,53020,ANL
2013M08,monthly,2012.583333,ICE,1436911,ANL
2013M08,monthly,2012.583333,OTHER,0,ANL
2013M08,monthly,2012.583333,PHEV,6407,ANL
2013M08,monthly,2012.583333,TOTAL,1501294,ANL
2013M09,monthly,2012.666667,BEV,3650,ANL
2013M09,monthly,2012.666667,HEV,33576,ANL
2013M09,monthly,2012.666667,ICE,1095503,ANL
2013M09,monthly,2012.666667,OTHER,0,ANL
2013M09,monthly,2012.666667,PHEV,4477,ANL
2013M09,monthly,2012.666667,TOTAL,1137206,ANL
2013M10,monthly,2012.75,BEV,3733,ANL
2013M10,monthly,2012.75,HEV,33570,ANL
2013M10,monthly,2012.75,ICE,1162512,ANL
2013M10,monthly,2012.75,OTHER,0,ANL
2013M10,monthly,2012.75,PHEV,6367,ANL
2013M10,monthly,2012.75,TOTAL,1206182,ANL
2013M11,monthly,2012.833333,BEV,3930,ANL
2013M11,monthly,2012.833333,HEV,36085,ANL
2013M11,monthly,2012.833333,ICE,1198934,ANL
2013M11,monthly,2012.833333,OTHER,0,ANL
2013M11,monthly,2012.833333,PHEV,4903,ANL
2013M11,monthly,2012.833333,TOTAL,1243852,ANL
2013M12,monthly,2012.916667,BEV,4770,ANL
2013M12,monthly,2012.916667,HEV,36155,ANL
2013M12,monthly,2012.916667,ICE,1312789,ANL
2013M12,monthly,2012.916667,OTHER,0,ANL
