"year","country","bev_exp_usd","car_exp_usd","ev_export_share"
2021,"China",8593978894,24385291658,0.352424691676001
2022,"China",20088878232,44687898713,0.449537320181851
2023,"China",34129969037,77648806293,0.439542739500901
2024,"China",31972937186,90220553898,0.354386398715169
2025,"China",NA,NA,NA
2021,"Germany",15684298177.105,140320723649.224,0.111774638622253
2022,"Germany",26869677945.603,158186958670.867,0.169860260108481
2023,"Germany",40538439054.186,180713070858.301,0.224324886194716
2024,"Germany",39744459865.683,170914763066.799,0.232539653992029
2025,"Germany",45206799269.013,177153860225.813,0.255183822759432
2021,"Japan",1018406397.14,85544977953.198,0.0119049232521537
2022,"Japan",2199574324.938,86572809829.902,0.0254072188399535
2023,"Japan",7646375030.811,110654497401.223,0.0691013488867601
2024,"Japan",6717840340.938,106736176350.714,0.0629387389601114
2025,"Japan",4993971790.935,105295353156.284,0.0474282258545895
2021,"South Korea",5649031211,44317180103,0.127468200771592
2022,"South Korea",8175751051,51680333532,0.158198496260432
2023,"South Korea",14334772460,68260793413,0.21000008560214
2024,"South Korea",10102714067,68323531720,0.147865805713944
2025,"South Korea",8724685644,68548281912,0.127277962344854
2021,"USA",4634087881,54681914607,0.0847462623484434
2022,"USA",5784449825,57850860661,0.0999890020460762
2023,"USA",7258069968,63034755898,0.115143937096301
2024,"USA",5515265622,59195338633,0.0931706068309468
2025,"USA",3748210323,53494759355,0.0700668695063429
2021,"Thailand",1104910.614,10875748558.288,0.000101593982986853
2022,"Thailand",2373688.115,11201802875.375,0.000211902328706221
2023,"Thailand",7349257.154,12847928002.736,0.000572018861907924
2024,"Thailand",363695795.63,12222350711.2,0.0297566159099596
2025,"Thailand",NA,NA,NA
