country,variant,year,source,BEV,PHEV,EREV,HEV,MHEV,PETROL,DIESEL,GAS,CNG,LPG,FLEXFUEL,ETHANOL,OTHERS,TOTAL,notes
New Zealand,Whole,2015,,586,480,,14693,,2969140,631750,,,,,,1611,,
New Zealand,Whole,2016,,1602,898,,18690,,3059119,672934,,,,,,1575,,
New Zealand,Whole,2017,,4497,1668,,24768,,3162449,724956,,,,,,1502,,
New Zealand,Whole,2018,,8798,2949,,34081,,3226221,775329,,,,,,1433,,
New Zealand,Whole,2019,,14092,4666,,52074,,3257721,818684,,,,,,1358,,
New Zealand,Whole,2020,,18023,6186,,76016,,3245376,846421,,,,,,1283,,
New Zealand,Whole,2021,,27507,9782,,113155,,3248847,889542,,,,,,1196,,
New Zealand,Whole,2022,,47226,19027,,162963,,3217263,924697,,,,,,1112,,
New Zealand,Whole,2023,,73165,30838,,247652,,3127647,939951,,,,,,1034,,
New Zealand,Whole,2024,,80159,35248,,322319,,3062938,955500,,,,,,988,,
New Zealand,Whole,2025,,88511,42828,,401729,,2995967,966850,,,,,,939,,
China,Whole,2017,,1250000,280000,,,,,,,,,,,215470000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2018,,2110000,500000,,,,,,,,,,,237390000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2019,,3100000,710000,,,,,,,,,,,256190000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2020,,4000000,920000,,,,,,,,,,,276080000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2021,,6400000,1440000,,,,,,,,,,,294160000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2022,,10450000,2650000,,,,,,,,,,,305900000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2023,,15520000,4890000,,,,,,,,,,,315590000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2024,,22090000,9310000,,,,,,,,,,,321600000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
China,Whole,2025,,25540000,11350000,,,,,,,,,,,322110000,,HYBRID column = PHEV (China NEV = BEV+PHEV); HEV & ICE aggregated in OTHERS
Austria,Whole,2000,,156,,,0,,2597888,1499101,,,,,,0,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2001,,153,,,0,,2544585,1637289,,,,,,0,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2002,,148,,,0,,2243847,1743098,,,,,,0,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2003,,135,,,0,,2168945,1885228,,,,,,0,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2004,,128,,,0,,2087180,2021821,,,,,,0,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2005,,127,,,0,,2028873,2127533,,,,,,210,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2006,,127,,,481,,1983337,2220804,,,,,,220,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2007,,131,,,1264,,1960380,2283302,,,,,,506,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2008,,146,,,2592,,1957751,2323016,,,,,,1414,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2009,,223,,,3559,,1972352,2381906,,,,,,1904,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2010,,353,,,4792,,1988079,2445506,,,,,,2297,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2011,,989,,,6060,,1997066,2506511,,,,,,2795,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2012,,1389,,,8100,,2001295,2570124,,,,,,3294,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2013,,2070,,,10504,,2003699,2621133,,,,,,3902,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2014,,3386,,,12823,,2011104,2663063,,,,,,4545,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2015,,5032,,,15862,,2019139,2702922,,,,,,5093,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2016,,9073,,,20033,,2038019,2749046,,,,,,5386,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2017,,14618,,,27494,,2080434,2770470,,,,,,5562,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2018,,20831,,,36549,,2139239,2776332,,,,,,5901,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2019,,29523,,,51817,,2179235,2772854,,,,,,6119,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2020,,44507,,,83361,,2195578,2762273,,,,,,6108,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2021,,76539,,,136974,,2197006,2717475,,,,,,5842,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2022,,110225,,,189686,,2194125,2651280,,,,,,5574,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2023,,155490,,,250982,,2188368,2584985,,,,,,5181,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2024,,200603,,,329935,,2186500,2510099,,,,,,4756,,HYBRID = combined PHEV+HEV (source did not split)
Austria,Whole,2025,,257717,,,440722,,2175898,2407428,,,,,,4336,,HYBRID = combined PHEV+HEV (source did not split)
India,Whole,2018,,2000,0,,0,,22000000,9000000,,,,,,0,,
India,Whole,2019,,4500,0,,0,,23000000,10000000,,,,,,0,,
India,Whole,2020,,7000,0,,0,,24500000,10500000,,,,,,0,,
India,Whole,2021,,14000,0,,0,,26000000,11000000,,,,,,0,,
India,Whole,2022,,35000,0,,0,,28000000,12000000,,,,,,0,,
India,Whole,2023,,70000,0,,0,,30000000,13000000,,,,,,0,,
India,Whole,2024,,120000,0,,0,,32000000,14000000,,,,,,0,,
Georgia,Whole,2017,,852,,,23665,,499931,142292,,,,,,561383,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2018,,1285,,,48640,,542135,168402,,,,,,528552,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2019,,1902,,,67487,,585134,197320,,,,,,487439,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2020,,2164,,,85733,,630641,220728,,,,,,465205,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2021,,2393,,,100782,,745444,273991,,,,,,361653,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2022,,3283,,,113893,,789692,300836,,,,,,355461,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2023,,5052,,,136499,,855365,330158,,,,,,353362,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2024,,9045,,,160083,,912065,356195,,,,,,353199,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
Georgia,Whole,2025,,15581,,,188899,,983266,373633,,,,,,353529,,HYBRID = combined PHEV+HEV (source did not split); source unconfirmed
United Kingdom,Whole,2014,,12400,9900,,184600,,18936800,11142700,,,,,,44000,,
United Kingdom,Whole,2015,,21000,27600,,224400,,18817100,11857100,,,,,,40400,,
United Kingdom,Whole,2016,,29700,55100,,272500,,18824600,12574100,,,,,,36400,,
United Kingdom,Whole,2017,,42000,87000,,337700,,18759600,12901400,,,,,,32300,,
United Kingdom,Whole,2018,,56300,126300,,418400,,18912400,12951300,,,,,,28600,,
United Kingdom,Whole,2019,,90900,156100,,519200,,19240000,12852100,,,,,,26100,,
United Kingdom,Whole,2020,,194000,214700,,668700,,19097100,12498900,,,,,,24100,,
United Kingdom,Whole,2021,,379200,321500,,932900,,19084900,12146200,,,,,,24700,,
United Kingdom,Whole,2022,,629000,413800,,1271200,,19099800,11746600,,,,,,27100,,
United Kingdom,Whole,2023,,930600,540000,,1702500,,19151000,11227800,,,,,,27900,,
United Kingdom,Whole,2024,,1287200,686900,,2253300,,19035500,10677000,,,,,,26800,,
Germany,Whole,2025,KBA FZ 13.2.1 (Stand 1.1.2026),2034260,1122958,,3239605,,29343732,13385662,,66396,284455,,,9419,49486487,Stand 1.1.2026; HEV incl. MHEV
Germany,Whole,2024,KBA FZ 13.2.1 (Stand 1.1.2025),1651643,967423,,2589533,,29918520,13829261,,73123,299922,,,9741,49339166,Stand 1.1.2025; HEV incl. MHEV
Germany,Whole,2023,KBA FZ 13.2.1 (Stand 1.1.2024),1408681,921886,,1989376,,30235032,14142184,,77421,313723,,,10382,49098685,Stand 1.1.2024; HEV incl. MHEV
Germany,Whole,2022,KBA FZ 13.2.1 (Stand 1.1.2023),1013009,864712,,1473185,,30556538,14437489,,80630,326853,,,10620,48763036,Stand 1.1.2023; HEV incl. MHEV
Germany,Whole,2021,KBA FZ 13.2.1 (Stand 1.1.2022),618460,565956,,1103095,,31005134,14824262,,82309,331481,,,10181,48540878,Stand 1.1.2022; HEV incl. MHEV
Germany,Whole,2020,KBA FZ 13.2.1 (Stand 1.1.2021),309083,279861,,724228,,31435340,15060124,,83067,346765,,,10116,48248584,Stand 1.1.2021; HEV incl. MHEV
Germany,Whole,2019,KBA FZ 13.2.1 (Stand 1.1.2020),136617,102175,,437208,,31464680,15111382,,82198,371472,,,10245,47715977,Stand 1.1.2020; HEV incl. MHEV
Germany,Whole,2018,KBA FZ 13.2.1 (Stand 1.1.2019),83175,66997,,274414,,31031021,15153364,,80776,395592,,,10445,47095784,Stand 1.1.2019; HEV incl. MHEV
Germany,Whole,2017,KBA FZ 13.2.1 (Stand 1.1.2018),53861,44419,,192291,,30451268,15225296,,75459,421283,,,10717,46474594,Stand 1.1.2018; HEV incl. MHEV
Germany,Whole,2016,KBA FZ 13.2.1 (Stand 1.1.2017),34022,20975,,144430,,29978635,15089392,,77187,448025,,,10894,45803560,Stand 1.1.2017; HEV incl. MHEV
Germany,Whole,2015,KBA FZ 13.2.1 (Stand 1.1.2016),25502,,,130365,,29825223,14532426,,80300,475711,,,1682,45071209,Stand 1.1.2016; HEV = combined PHEV+HEV (source did not split); PETROL incl. ethanol (pre-2017)
