year,op,name,kind,n
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,АВТОБУС,351
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,ВАНТАЖНИЙ,327
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,ЛЕГКОВИЙ,1336
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,МОПЕД,5
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,МОТОЦИКЛ,47
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,НАПІВПРИЧІП,51
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,ПРИЧІП,84
2013,10,10 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ДЕРЖБЮДЖ. ОРГ.,СПЕЦІАЛІЗОВАНІ,25
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",АВТОБУС,535
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",ВАНТАЖНИЙ,3041
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",ЛЕГКОВИЙ,21203
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",МОПЕД,3
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",МОТОЦИКЛ,139
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",НАПІВПРИЧІП,565
