country,variant,weight,data_per,model_date
Albania,2-Wheelers,8897,2026-06,2026-07-10
Albania,Buses,351,2026-06,2026-07-10
Albania,HDV,968,2026-06,2026-07-10
Albania,Whole,80784,2026-06,2026-07-10
Australia,Whole,1205675,2026-06,2026-07-08
Austria,Vans,39384,2026-06,2026-07-09
Austria,Whole,306456,2026-06,2026-07-09
Belgium,Whole,410836,2026-06,2026-07-23
Brazil,Whole,2780876,2026-06,2026-07-10
Bulgaria,Whole,51378,2026-06,2026-07-23
Canada,Non-Passenger,1631780,2025-12,2026-05-30
Canada,Pickups,359057,2026-03,2026-06-12
Canada,Vans,83380,2026-03,2026-06-12
Canada,Whole,1396089,2026-03,2026-06-12
Chile,Whole,316249,2026-05,2026-07-27
China,Whole,21512000,2026-06,2026-07-08
Colombia,Whole,295819,2026-05,2026-07-05
Croatia,Whole,72054,2026-06,2026-07-23
Cyprus,Whole,13713,2026-06,2026-07-23
Czechia,Whole,255888,2026-06,2026-07-23
Denmark,HDV,2265,2026-06,2026-07-09
Denmark,Industry,73103,2026-06,2026-07-10
Denmark,Private,123869,2026-06,2026-07-09
Denmark,Vans,25936,2026-05,2026-06-10
Denmark,Whole,196972,2026-06,2026-07-10
Estonia,Whole,16878,2026-06,2026-07-23
Finland,Buses,437,2026-06,2026-07-06
Finland,HDV,2984,2026-06,2026-07-06
Finland,Industry,33593,2026-06,2026-07-06
Finland,Private,38292,2026-06,2026-07-06
Finland,Vans,9827,2026-06,2026-07-06
Finland,Whole,71885,2026-06,2026-07-06
France,Whole,1647113,2026-06,2026-07-23
Georgia,Whole,167010,2026-06,2026-07-25
Germany,Custom,2857591,2025-12,2026-01-09
Germany,Whole,2939195,2026-06,2026-07-03
Greece,Whole,150034,2026-06,2026-07-23
Hungary,Whole,138231,2026-06,2026-07-23
Iceland,Whole,14171,2026-06,2026-07-23
India,2-Wheelers,20280166,2025-10,2026-01-04
India,3-Wheelers,1250452,2025-10,2026-01-04
India,4-Wheelers,4145538,2026-01,2026-03-15
India,Whole,5270406,2026-03,2026-03-29
Indonesia,Whole,630257,2026-06,2026-07-16
Ireland,Buses,518,2026-06,2026-07-01
Ireland,HDV,2621,2026-06,2026-08-01
Ireland,Vans,35452,2026-06,2026-08-01
Ireland,Whole,128403,2026-06,2026-08-01
Israel,Vans,10199,2026-06,2026-07-10
Israel,Whole,304794,2026-06,2026-07-10
Italy,NonRental,1130013,2026-05,2026-06-07
Italy,Rental,482837,2026-06,2026-07-01
Italy,Whole,1622597,2026-06,2026-07-01
Japan,Whole,2543647,2026-06,2026-07-06
Latvia,Whole,22619,2026-06,2026-07-23
Lithuania,Whole,45292,2026-06,2026-07-23
Luxembourg,HDV,1246,2026-06,2026-07-11
Luxembourg,Vans,5280,2026-06,2026-07-11
Luxembourg,Whole,48422,2026-06,2026-07-11
Malaysia,Whole,882808,2026-06,2026-07-10
Malta,Whole,6862,2026-06,2026-07-23
Nepal,3-Wheelers,24687,2026-07,2026-07-23
Nepal,Whole,17413,2026-07,2026-07-23
Netherlands,HDV,12523,2026-06,2026-07-16
Netherlands,Used,326445,2026-06,2026-07-16
Netherlands,Whole,372637,2026-06,2026-07-16
New Zealand,Whole,236189,2026-06,2026-07-08
Norway,Whole,177512,2026-06,2026-07-23
Poland,Whole,624157,2026-06,2026-07-07
Portugal,Whole,238098,2026-06,2026-07-01
Romania,Whole,156833,2026-06,2026-07-23
Singapore,Whole,55865,2026-06,2026-07-24
Slovakia,Whole,91457,2026-06,2026-07-23
Slovenia,Whole,64160,2026-06,2026-07-23
South Korea,Whole,1701113,2026-06,2026-07-24
Spain,2-Wheelers,280901,2026-06,2026-07-15
Spain,Buses,4239,2026-06,2026-07-15
Spain,HDV,31848,2026-06,2026-07-15
Spain,NonRental,772308,2026-06,2026-07-15
Spain,Rental,440565,2026-06,2026-07-15
Spain,Used,155665,2026-06,2026-07-15
Spain,Vans,133157,2026-06,2026-07-15
Spain,Whole,1212873,2026-06,2026-07-15
Sweden,Whole,284834,2026-06,2026-07-02
Switzerland,HDV,34165,2025-11,2026-01-14
Switzerland,Whole,238568,2026-06,2026-07-23
Thailand,3-Wheelers,117,2026-06,2026-08-01
Thailand,Buses,2858,2026-05,2026-07-11
Thailand,HDV,28003,2026-05,2026-07-11
Thailand,Whole,659513,2026-06,2026-08-01
Türkiye,Whole,1068636,2026-06,2026-07-25
UK,Whole,2116233,2026-06,2026-07-07
USA,Whole,15990718,2026-06,2026-07-21
Uruguay,Buses,87,2026-06,2026-07-08
Uruguay,HDV,3161,2026-05,2026-06-11
Uruguay,Vans,19863,2026-06,2026-07-08
Uruguay,Whole,54454,2026-06,2026-07-08
